Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
AURashid,England,Pakistan,3,2,0,0,150.0,23,3,18,2,0,6.0,Dubai International Cricket Stadium,53
AURashid,England,South Africa,2,4,0,0,50.0,23,3,32,1,0,10.666666666666666,New Wanderers Stadium,19
AURashid,England,South Africa,9,19,0,0,47.368421052631575,23,3,24,1,0,8.0,Trent Bridge,28
AURashid,England,Netherlands,0,0,0,0,0,23,3,36,1,0,12.0,Lord's,19
AURashid,England,Sri Lanka,0,0,0,0,0,11,1,31,0,0,31.0,Feroz Shah Kotla,0
AURashid,England,India,0,0,0,0,0,17,2,24,1,0,12.0,Vidarbha Cricket Association Stadium Jamtha,19
AURashid,England,Pakistan,0,0,0,0,0,23,3,29,1,0,9.666666666666666,Sharjah Cricket Stadium,23
AURashid,England,Sri Lanka,0,0,0,0,0,23,3,27,0,0,9.0,The Rose Bowl,0
AURashid,England,South Africa,2,6,0,0,33.33333333333333,23,3,24,1,0,8.0,Newlands,21
AURashid,England,South Africa,0,0,0,0,0,23,3,35,1,0,11.666666666666666,Wankhede Stadium,19
AURashid,England,West Indies,4,4,0,0,100.0,23,3,23,1,0,7.666666666666667,Eden Gardens,29
AURashid,England,Australia,0,0,0,0,0,17,2,32,0,0,16.0,Sophia Gardens,-6
AURashid,England,New Zealand,0,0,0,0,0,25,4,33,0,0,8.25,Feroz Shah Kotla,0
AURashid,England,India,0,0,0,0,0,11,1,23,0,0,23.0,M Chinnaswamy Stadium,0
AURashid,England,Pakistan,0,0,0,0,0,23,3,29,1,0,9.666666666666666,Old Trafford,23
AURashid,England,New Zealand,7,3,1,0,233.33333333333334,23,3,33,1,0,11.0,Old Trafford,29
AURashid,England,Afghanistan,0,0,0,0,0,18,3,18,2,0,6.0,Feroz Shah Kotla,50
AURashid,England,Pakistan,0,0,0,0,0,23,3,25,0,0,8.333333333333334,Kennington Oval,0
AURashid,England,West Indies,0,0,0,0,0,5,0,11,1,0,0,Kennington Oval,25
AURashid,England,West Indies,0,0,0,0,0,11,1,20,1,0,20.0,Wankhede Stadium,25
AURashid,England,South Africa,1,2,0,0,50.0,5,0,25,0,0,0,SuperSport Park,-3
