Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
NNOdhiambo,Kenya,Netherlands,3,1,0,0,300.0,24,4,35,0,0,8.75,Wanderers Cricket Ground,3
NNOdhiambo,Kenya,Scotland,26,14,3,1,185.71428571428572,13,2,13,1,1,6.5,ICC Academy,64
NNOdhiambo,Kenya,Ireland,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Civil Service Cricket Club Stormont,-5
NNOdhiambo,Kenya,Netherlands,0,0,0,0,0,11,1,15,2,0,15.0,Wanderers Cricket Ground,50
NNOdhiambo,Kenya,Netherlands,0,1,0,0,0.0,19,3,28,1,0,9.333333333333334,ICC Academy,15
NNOdhiambo,Kenya,Canada,15,15,3,0,100.0,12,2,14,0,0,7.0,Sharjah Cricket Stadium,18
NNOdhiambo,Kenya,Afghanistan,0,1,0,0,0.0,11,1,23,0,0,23.0,Sharjah Cricket Stadium,-8
NNOdhiambo,Kenya,Canada,0,0,0,0,0,11,1,16,3,0,16.0,Dubai International Cricket Stadium,75
NNOdhiambo,Kenya,Ireland,1,1,0,0,100.0,17,2,30,0,0,15.0,Mombasa Sports Club Ground,-5
NNOdhiambo,Kenya,New Zealand,0,6,0,0,0.0,5,0,8,0,0,0,Kingsmead,-8
NNOdhiambo,Kenya,Afghanistan,7,4,0,0,175.0,20,3,33,1,0,11.0,Sharjah Cricket Stadium,28
NNOdhiambo,Kenya,Canada,1,4,0,0,25.0,17,2,26,0,0,13.0,ICC Global Cricket Academy,-11
NNOdhiambo,Kenya,Ireland,13,13,1,0,100.0,11,1,17,1,0,17.0,Mombasa Sports Club Ground,39
NNOdhiambo,Kenya,Ireland,4,13,1,0,30.76923076923077,12,2,21,0,0,10.5,Dubai International Cricket Stadium,-5
NNOdhiambo,Kenya,Afghanistan,41,33,4,2,124.24242424242425,18,3,20,1,0,6.666666666666667,Sharjah Cricket Stadium,74
NNOdhiambo,Kenya,Sri Lanka,5,9,1,0,55.55555555555556,25,4,57,1,0,14.25,New Wanderers Stadium,21
