Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
ADMascarenhas,England,South Africa,15,9,2,0,166.66666666666669,17,2,24,1,0,12.0,Newlands,0,1,2007,44
ADMascarenhas,England,South Africa,1,3,0,0,33.33333333333333,23,3,22,0,0,7.333333333333333,Trent Bridge,0,0,2009,-5
ADMascarenhas,England,West Indies,0,3,0,0,0.0,23,3,17,0,0,5.666666666666667,Queen's Park Oval Port of Spain,0,1,2009,2
ADMascarenhas,England,New Zealand,0,1,0,0,0.0,23,3,43,0,0,14.333333333333334,Kingsmead,0,1,2007,-6
ADMascarenhas,England,New Zealand,0,0,0,0,0,11,1,11,0,0,11.0,Old Trafford,0,0,2008,0
ADMascarenhas,England,New Zealand,11,4,1,0,275.0,23,3,27,2,0,9.0,Jade Stadium,0,0,2008,62
ADMascarenhas,England,New Zealand,31,15,1,4,206.66666666666669,23,3,25,2,0,8.333333333333334,Eden Park,0,1,2008,98
ADMascarenhas,England,Zimbabwe,0,1,0,0,0.0,23,3,18,3,0,6.0,Newlands,0,0,2007,67
ADMascarenhas,England,West Indies,2,4,0,0,50.0,24,4,39,2,0,9.75,Kennington Oval,0,2,2007,62
ADMascarenhas,England,West Indies,18,18,1,0,100.0,18,3,33,0,0,11.0,Kennington Oval,0,1,2007,23
ADMascarenhas,England,Australia,4,6,0,0,66.66666666666666,11,1,22,0,0,22.0,Newlands,0,0,2007,2
ADMascarenhas,England,Pakistan,16,12,1,0,133.33333333333331,11,1,14,1,0,14.0,Kennington Oval,0,0,2009,42
ADMascarenhas,England,India,25,31,2,0,80.64516129032258,5,0,9,1,0,0,Lord's,0,0,2009,52
ADMascarenhas,England,India,0,0,0,0,0,5,0,15,0,0,0,Kingsmead,0,0,2007,0
ADMascarenhas,England,New Zealand,29,12,1,2,241.66666666666666,29,4,25,0,0,6.25,AMI Stadium,0,0,2008,34
ADMascarenhas,England,West Indies,0,0,0,0,0,36,6,26,0,0,4.333333333333333,County Ground,0,0,2009,4
ADMascarenhas,England,New Zealand,0,0,0,0,0,43,7,55,0,0,7.857142857142857,Eden Park,0,2,2008,16
ADMascarenhas,England,Australia,11,20,0,1,55.00000000000001,59,9,49,1,0,5.444444444444445,Trent Bridge,0,0,2009,36
ADMascarenhas,England,West Indies,2,7,0,0,28.57142857142857,23,3,21,0,0,7.0,Lord's,0,0,2007,-4
ADMascarenhas,England,Australia,19,13,3,0,146.15384615384613,59,9,50,1,0,5.555555555555555,Trent Bridge,0,1,2009,57
ADMascarenhas,England,West Indies,0,0,0,0,0,23,3,16,0,0,5.333333333333333,Beausejour Stadium Gros Islet,0,0,2009,2
ADMascarenhas,England,West Indies,36,78,3,0,46.15384615384615,5,0,24,0,0,0,Kensington Oval Bridgetown,0,0,2009,33
ADMascarenhas,England,India,0,0,0,0,0,60,10,28,1,2,2.8,The Rose Bowl,1,0,2007,59
ADMascarenhas,England,India,0,0,0,0,0,59,9,26,3,1,2.888888888888889,Lord's,0,0,2007,89
ADMascarenhas,England,New Zealand,0,0,0,0,0,11,1,14,0,0,14.0,McLean Park,0,0,2008,0
ADMascarenhas,England,West Indies,29,37,1,0,78.37837837837837,59,9,53,2,0,5.888888888888889,Providence Stadium,0,0,2009,82
ADMascarenhas,England,New Zealand,23,14,3,0,164.28571428571428,5,0,10,0,0,0,Edgbaston,0,0,2008,26
ADMascarenhas,England,West Indies,0,3,0,0,0.0,47,7,38,0,0,5.428571428571429,Providence Stadium,0,0,2009,-6
ADMascarenhas,England,India,52,39,1,5,133.33333333333331,24,4,31,0,0,7.75,County Ground,0,0,2007,71
ADMascarenhas,England,West Indies,5,12,0,0,41.66666666666667,47,7,33,0,0,4.714285714285714,Trent Bridge,0,0,2007,3
ADMascarenhas,England,West Indies,0,0,0,0,0,59,9,26,3,2,2.888888888888889,Kensington Oval Bridgetown,1,0,2009,109
ADMascarenhas,England,India,36,15,0,5,240.0,61,10,59,2,1,5.9,Kennington Oval,0,0,2007,106
ADMascarenhas,England,West Indies,0,1,0,0,0.0,41,6,43,0,0,7.166666666666667,Edgbaston,0,0,2009,-8
