Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
ADSFletcher,West Indies,Pakistan,2,7,0,0,28.57142857142857,0,0,0,0,0,0,Dubai International Cricket Stadium,-4
ADSFletcher,West Indies,South Africa,2,6,0,0,33.33333333333333,0,0,0,0,0,0,Kingsmead,-4
ADSFletcher,West Indies,England,6,7,1,0,85.71428571428571,0,0,0,0,0,0,Queen's Park Oval Port of Spain,7
ADSFletcher,West Indies,Pakistan,1,5,0,0,20.0,0,0,0,0,0,0,Beausejour Stadium Gros Islet,-5
ADSFletcher,West Indies,South Africa,11,12,0,1,91.66666666666666,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,13
ADSFletcher,West Indies,Sri Lanka,23,22,4,0,104.54545454545455,0,0,0,0,0,0,R Premadasa Stadium,27
ADSFletcher,West Indies,Pakistan,9,17,1,0,52.94117647058824,0,0,0,0,0,0,Sheikh Zayed Stadium,6
ADSFletcher,West Indies,Afghanistan,11,13,2,0,84.61538461538461,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,13
ADSFletcher,West Indies,Bangladesh,8,14,1,0,57.14285714285714,0,0,0,0,0,0,Warner Park Basseterre,5
ADSFletcher,West Indies,Sri Lanka,13,13,1,1,100.0,0,0,0,0,0,0,Trent Bridge,16
ADSFletcher,West Indies,England,12,10,1,0,120.0,0,0,0,0,0,0,Providence Stadium,13
ADSFletcher,West Indies,New Zealand,40,36,3,1,111.11111111111111,0,0,0,0,0,0,Westpac Stadium,45
ADSFletcher,West Indies,Ireland,19,23,1,0,82.6086956521739,0,0,0,0,0,0,Providence Stadium,20
ADSFletcher,West Indies,South Africa,0,3,0,0,0.0,0,0,0,0,0,0,Sir Vivian Richards Stadium North Sound,-8
ADSFletcher,West Indies,Sri Lanka,57,26,2,6,219.23076923076925,0,0,0,0,0,0,Pallekele International Cricket Stadium,79
ADSFletcher,West Indies,Australia,6,8,1,0,75.0,0,0,0,0,0,0,Kensington Oval Bridgetown,7
ADSFletcher,West Indies,New Zealand,23,25,0,1,92.0,0,0,0,0,0,0,Eden Park,25
ADSFletcher,West Indies,India,0,3,0,0,0.0,0,0,0,0,0,0,Lord's,-8
ADSFletcher,West Indies,India,11,17,0,1,64.70588235294117,0,0,0,0,0,0,Queen's Park Oval Port of Spain,11
