Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
AJRedmond,New Zealand,Sri Lanka,8,10,1,0,80.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,9
AJRedmond,New Zealand,Ireland,63,30,12,0,210.0,0,0,0,0,0,0,Trent Bridge,83
AJRedmond,New Zealand,Sri Lanka,8,10,1,0,80.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,9
AJRedmond,New Zealand,Ireland,63,30,12,0,210.0,0,0,0,0,0,0,Trent Bridge,83
AJRedmond,New Zealand,Sri Lanka,8,10,1,0,80.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,9
AJRedmond,New Zealand,Ireland,63,30,12,0,210.0,0,0,0,0,0,0,Trent Bridge,83
AJRedmond,New Zealand,Sri Lanka,1,2,0,0,50.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,-3
AJRedmond,New Zealand,England,16,15,0,1,106.66666666666667,0,0,0,0,0,0,Beausejour Stadium Gros Islet,18
AJRedmond,New Zealand,Pakistan,0,0,0,0,0,17,2,24,2,0,12.0,Dubai International Cricket Stadium,44
AJRedmond,New Zealand,Pakistan,15,14,2,0,107.14285714285714,0,0,0,0,0,0,Kennington Oval,17
AJRedmond,New Zealand,Sri Lanka,23,13,3,1,176.9230769230769,0,0,0,0,0,0,Trent Bridge,28
AJRedmond,New Zealand,Sri Lanka,8,10,1,0,80.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,9
AJRedmond,New Zealand,Ireland,63,30,12,0,210.0,0,0,0,0,0,0,Trent Bridge,83
