Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
AMEllis,New Zealand,Sri Lanka,2,1,0,0,200.0,11,1,15,0,0,15.0,Pallekele International Cricket Stadium,2
AMEllis,New Zealand,Zimbabwe,2,2,0,0,100.0,5,0,10,0,0,0,Seddon Park,2
AMEllis,New Zealand,England,4,5,0,0,80.0,18,3,40,2,0,13.333333333333334,Eden Park,48
AMEllis,New Zealand,Sri Lanka,16,10,1,1,160.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,19
AMEllis,New Zealand,West Indies,1,3,0,0,33.33333333333333,24,4,41,0,0,10.25,Central Broward Regional Park Stadium Turf Ground,-9
AMEllis,New Zealand,Zimbabwe,2,2,0,0,100.0,5,0,10,0,0,0,Seddon Park,2
AMEllis,New Zealand,Sri Lanka,16,10,1,1,160.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,19
AMEllis,New Zealand,Sri Lanka,2,1,0,0,200.0,11,1,15,0,0,15.0,Pallekele International Cricket Stadium,2
AMEllis,New Zealand,West Indies,1,3,0,0,33.33333333333333,24,4,41,0,0,10.25,Central Broward Regional Park Stadium Turf Ground,-9
AMEllis,New Zealand,England,4,5,0,0,80.0,18,3,40,2,0,13.333333333333334,Eden Park,48
AMEllis,New Zealand,Zimbabwe,2,2,0,0,100.0,5,0,10,0,0,0,Seddon Park,2
AMEllis,New Zealand,Sri Lanka,16,10,1,1,160.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,19
AMEllis,New Zealand,Sri Lanka,2,1,0,0,200.0,11,1,15,0,0,15.0,Pallekele International Cricket Stadium,2
AMEllis,New Zealand,West Indies,1,3,0,0,33.33333333333333,24,4,41,0,0,10.25,Central Broward Regional Park Stadium Turf Ground,-9
AMEllis,New Zealand,England,4,5,0,0,80.0,18,3,40,2,0,13.333333333333334,Eden Park,48
AMEllis,New Zealand,Zimbabwe,2,2,0,0,100.0,5,0,10,0,0,0,Seddon Park,2
AMEllis,New Zealand,Zimbabwe,2,2,0,0,100.0,5,0,10,0,0,0,Seddon Park,2
AMEllis,New Zealand,Zimbabwe,2,2,0,0,100.0,5,0,10,0,0,0,Seddon Park,2
AMEllis,New Zealand,Zimbabwe,2,2,0,0,100.0,5,0,10,0,0,0,Seddon Park,2
