Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
AMishra,India,England,0,0,0,0,0,24,4,26,1,0,6.5,Vidarbha Cricket Association Stadium Jamtha,0,0,2017,25
AMishra,India,Pakistan,0,0,0,0,0,23,3,23,2,1,7.666666666666667,Shere Bangla National Stadium,0,0,2014,58
AMishra,India,Australia,0,0,0,0,0,17,2,13,2,0,6.5,Shere Bangla National Stadium,0,0,2014,50
AMishra,India,Sri Lanka,0,0,0,0,0,24,4,33,1,0,8.25,Shere Bangla National Stadium,0,0,2014,25
AMishra,India,Bangladesh,0,0,0,0,0,23,3,30,3,0,10.0,Shere Bangla National Stadium,0,0,2014,73
AMishra,India,England,0,0,0,0,0,24,4,23,1,0,5.75,M Chinnaswamy Stadium,0,0,2017,27
AMishra,India,West Indies,0,0,0,0,0,24,4,24,3,0,6.0,Central Broward Regional Park Stadium Turf Ground,0,1,2016,83
AMishra,India,Zimbabwe,0,0,0,0,0,23,3,21,1,0,7.0,Harare Sports Club,0,0,2010,25
AMishra,India,West Indies,0,0,0,0,0,24,4,18,2,0,4.5,Shere Bangla National Stadium,0,0,2014,54
AMishra,India,South Africa,0,0,0,0,0,18,3,36,0,0,12.0,Shere Bangla National Stadium,0,0,2014,-6
