Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
ANKervezee,Netherlands,England,1,4,0,0,25.0,0,0,0,0,0,0,Lord's,0,1,2009,3
ANKervezee,Netherlands,Ireland,56,48,3,1,116.66666666666667,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2012,69
ANKervezee,Netherlands,Pakistan,21,29,1,0,72.41379310344827,0,0,0,0,0,0,Lord's,0,0,2009,22
ANKervezee,Netherlands,Canada,29,33,0,0,87.87878787878788,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2012,29
ANKervezee,Netherlands,Canada,39,31,6,0,125.80645161290323,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2010,45
ANKervezee,Netherlands,Afghanistan,39,33,5,0,118.18181818181819,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2010,44
ANKervezee,Netherlands,Ireland,2,4,0,0,50.0,0,0,0,0,0,0,Dubai International Cricket Stadium,0,1,2010,6
ANKervezee,Netherlands,Afghanistan,58,44,1,3,131.8181818181818,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2012,73
ANKervezee,Netherlands,England,16,25,2,0,64.0,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2011,16
ANKervezee,Netherlands,India,11,23,1,0,47.82608695652174,0,0,0,0,0,0,Feroz Shah Kotla,0,1,2011,14
ANKervezee,Netherlands,Bermuda,12,22,1,0,54.54545454545454,0,0,0,0,0,0,Willowmoore Park,0,0,2006,9
ANKervezee,Netherlands,South Africa,10,20,1,0,50.0,0,0,0,0,0,0,Punjab Cricket Association Stadium Mohali,0,0,2011,7
ANKervezee,Netherlands,Afghanistan,83,64,13,2,129.6875,0,0,0,0,0,0,Sharjah Cricket Stadium,0,1,2012,116
ANKervezee,Netherlands,Australia,0,2,0,0,0.0,0,0,0,0,0,0,Warner Park Basseterre,0,0,2007,-8
ANKervezee,Netherlands,Ireland,12,16,2,0,75.0,0,0,0,0,0,0,Eden Gardens,0,1,2011,22
ANKervezee,Netherlands,Bangladesh,18,24,2,0,75.0,0,0,0,0,0,0,Zahur Ahmed Chowdhury Stadium,0,0,2011,20
ANKervezee,Netherlands,West Indies,14,20,2,0,70.0,0,0,0,0,0,0,Feroz Shah Kotla,0,3,2011,40
ANKervezee,Netherlands,South Africa,17,52,2,0,32.69230769230769,0,0,0,0,0,0,Warner Park Basseterre,0,0,2007,13
