Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
CHGayle,West Indies,Sri Lanka,63,54,8,2,116.66666666666667,18,3,36,0,0,12.0,Kennington Oval,0,0,2009,77
CHGayle,West Indies,Bangladesh,0,3,0,0,0.0,23,3,22,0,0,7.333333333333333,New Wanderers Stadium,0,1,2007,0
CHGayle,West Indies,England,36,31,1,4,116.12903225806453,0,0,0,0,0,0,Kensington Oval Bridgetown,0,0,2014,45
CHGayle,West Indies,India,18,20,1,1,90.0,0,0,0,0,0,0,Sabina Park Kingston,0,0,2017,21
CHGayle,West Indies,Australia,12,17,1,1,70.58823529411765,0,0,0,0,0,0,Sydney Cricket Ground,0,0,2010,15
CHGayle,West Indies,Bangladesh,48,49,3,2,97.95918367346938,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2014,55
CHGayle,West Indies,Australia,5,6,1,0,83.33333333333334,11,1,15,2,0,15.0,Bellerive Oval,0,0,2010,56
CHGayle,West Indies,New Zealand,85,62,7,5,137.09677419354838,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,0,0,2012,110
CHGayle,West Indies,England,58,35,6,4,165.71428571428572,23,3,27,1,0,9.0,Pallekele International Cricket Stadium,0,1,2012,113
CHGayle,West Indies,Sri Lanka,2,9,0,0,22.22222222222222,1,0,2,0,0,0,Pallekele International Cricket Stadium,0,0,2012,-4
CHGayle,West Indies,New Zealand,1,4,0,0,25.0,23,3,31,2,0,10.333333333333334,Seddon Park,0,0,2008,41
CHGayle,West Indies,India,98,68,5,7,144.11764705882354,12,2,22,1,0,11.0,Kensington Oval Bridgetown,0,0,2010,146
CHGayle,West Indies,Australia,54,35,5,4,154.2857142857143,0,0,0,0,0,0,R Premadasa Stadium,0,0,2012,75
CHGayle,West Indies,New Zealand,92,48,6,8,191.66666666666669,18,3,17,2,0,5.666666666666667,Eden Park,0,0,2008,174
CHGayle,West Indies,Pakistan,5,5,1,0,100.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,1,2014,14
CHGayle,West Indies,South Africa,77,31,5,8,248.38709677419354,0,0,0,0,0,0,Newlands,0,1,2015,114
CHGayle,West Indies,Australia,4,3,1,0,133.33333333333331,2,0,5,1,0,0,Beausejour Stadium Gros Islet,0,1,2010,38
CHGayle,West Indies,England,2,9,0,0,22.22222222222222,0,0,0,0,0,0,Trent Bridge,0,0,2012,-4
CHGayle,West Indies,South Africa,4,2,0,0,200.0,17,2,17,2,0,8.5,Vidarbha Cricket Association Stadium Jamtha,0,0,2016,54
CHGayle,West Indies,Pakistan,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Arnos Vale Ground Kingstown,0,0,2013,-5
CHGayle,West Indies,Ireland,0,0,0,0,0,18,3,23,2,0,7.666666666666667,R Premadasa Stadium,0,1,2012,58
CHGayle,West Indies,Sri Lanka,3,15,0,0,20.0,5,0,9,0,0,0,Shere Bangla National Stadium,0,0,2014,-3
CHGayle,West Indies,England,4,2,0,0,200.0,0,0,0,0,0,0,Eden Gardens,0,1,2016,12
CHGayle,West Indies,England,25,15,2,2,166.66666666666669,5,0,11,1,0,0,Providence Stadium,0,0,2010,56
CHGayle,West Indies,Ireland,18,21,3,0,85.71428571428571,0,0,0,0,0,0,Sabina Park Kingston,0,0,2014,21
CHGayle,West Indies,India,5,6,1,0,83.33333333333334,0,0,0,0,0,0,Wankhede Stadium,0,0,2016,6
CHGayle,West Indies,New Zealand,10,13,2,0,76.92307692307693,23,3,22,2,0,7.333333333333333,Eden Park,0,0,2006,62
CHGayle,West Indies,England,43,35,5,2,122.85714285714286,0,0,0,0,0,0,Kensington Oval Bridgetown,0,0,2014,52
