Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
CNAckermann,Netherlands,Singapore,34,37,2,0,91.8918918918919,24,4,17,0,0,4.25,ICC Academy,40
CNAckermann,Netherlands,Singapore,34,37,2,0,91.8918918918919,24,4,17,0,0,4.25,ICC Academy,40
CNAckermann,Netherlands,Singapore,34,37,2,0,91.8918918918919,24,4,17,0,0,4.25,ICC Academy,40
CNAckermann,Netherlands,Papua New Guinea,10,9,1,0,111.11111111111111,24,4,22,1,0,5.5,ICC Academy,38
CNAckermann,Netherlands,Nepal,29,20,1,2,145.0,5,0,9,1,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),59
CNAckermann,Netherlands,Bermuda,43,20,5,2,215.0,11,1,6,1,0,6.0,Dubai International Cricket Stadium,77
CNAckermann,Netherlands,Scotland,22,15,2,1,146.66666666666666,11,1,22,1,0,22.0,Dubai International Cricket Stadium,51
CNAckermann,Netherlands,Oman,15,11,2,0,136.36363636363635,11,1,13,0,0,13.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),17
CNAckermann,Netherlands,Hong Kong,9,10,0,0,90.0,24,4,15,1,0,3.75,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),40
CNAckermann,Netherlands,Ireland,27,22,3,0,122.72727272727273,11,1,16,0,0,16.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),30
CNAckermann,Netherlands,Singapore,34,37,2,0,91.8918918918919,24,4,17,0,0,4.25,ICC Academy,40
CNAckermann,Netherlands,Papua New Guinea,10,9,1,0,111.11111111111111,24,4,22,1,0,5.5,ICC Academy,38
