Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
DBishoo,West Indies,Pakistan,0,0,0,0,0,24,4,17,4,0,4.25,Beausejour Stadium Gros Islet,112
DBishoo,West Indies,England,0,2,0,0,0.0,25,4,28,0,0,7.0,Kennington Oval,-8
DBishoo,West Indies,Sri Lanka,6,5,1,0,120.0,5,0,11,0,0,0,Pallekele International Cricket Stadium,7
DBishoo,West Indies,India,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Queen's Park Oval Port of Spain,21
DBishoo,West Indies,England,0,0,0,0,0,21,3,22,1,0,7.333333333333333,Kennington Oval,25
DBishoo,West Indies,India,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Queen's Park Oval Port of Spain,21
DBishoo,West Indies,Sri Lanka,6,5,1,0,120.0,5,0,11,0,0,0,Pallekele International Cricket Stadium,7
DBishoo,West Indies,England,0,0,0,0,0,21,3,22,1,0,7.333333333333333,Kennington Oval,25
DBishoo,West Indies,England,0,2,0,0,0.0,25,4,28,0,0,7.0,Kennington Oval,-8
DBishoo,West Indies,Pakistan,0,0,0,0,0,24,4,17,4,0,4.25,Beausejour Stadium Gros Islet,112
DBishoo,West Indies,India,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Queen's Park Oval Port of Spain,21
DBishoo,West Indies,Sri Lanka,6,5,1,0,120.0,5,0,11,0,0,0,Pallekele International Cricket Stadium,7
DBishoo,West Indies,England,0,0,0,0,0,21,3,22,1,0,7.333333333333333,Kennington Oval,25
DBishoo,West Indies,England,0,2,0,0,0.0,25,4,28,0,0,7.0,Kennington Oval,-8
DBishoo,West Indies,Pakistan,0,0,0,0,0,24,4,17,4,0,4.25,Beausejour Stadium Gros Islet,112
DBishoo,West Indies,India,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Queen's Park Oval Port of Spain,21
DBishoo,West Indies,India,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Queen's Park Oval Port of Spain,21
DBishoo,West Indies,India,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Queen's Park Oval Port of Spain,21
DBishoo,West Indies,Sri Lanka,6,5,1,0,120.0,5,0,11,0,0,0,Pallekele International Cricket Stadium,7
