Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
DRMartyn,Australia,England,4,4,1,0,100.0,0,0,0,0,0,0,The Rose Bowl,0,0,2005,5
DRMartyn,Australia,South Africa,96,59,6,5,162.71186440677968,0,0,0,0,0,0,Brisbane Cricket Ground Woolloongabba,0,1,2006,128
DRMartyn,Australia,New Zealand,3,5,0,0,60.0,0,0,0,0,0,0,Eden Park,0,0,2005,1
DRMartyn,Australia,South Africa,17,9,3,0,188.88888888888889,0,0,0,0,0,0,New Wanderers Stadium,0,0,2006,20
DRMartyn,Australia,West Indies,52,80,5,0,65.0,0,0,0,0,0,0,Kinrara Academy Oval,0,0,2006,63
DRMartyn,Australia,South Africa,4,9,0,0,44.44444444444444,0,0,0,0,0,0,Newlands,0,1,2006,6
DRMartyn,Australia,South Africa,51,69,1,1,73.91304347826086,0,0,0,0,0,0,St George's Park,0,0,2006,62
DRMartyn,Australia,India,4,10,1,0,40.0,0,0,0,0,0,0,Kinrara Academy Oval,0,1,2006,7
DRMartyn,Australia,West Indies,47,74,6,0,63.51351351351351,0,0,0,0,0,0,Brabourne Stadium,0,0,2006,51
DRMartyn,Australia,Sri Lanka,8,18,1,0,44.44444444444444,0,0,0,0,0,0,Sydney Cricket Ground,0,0,2006,3
DRMartyn,Australia,India,19,38,1,1,50.0,0,0,0,0,0,0,Kinrara Academy Oval,0,1,2006,26
DRMartyn,Australia,South Africa,34,47,2,0,72.3404255319149,0,0,0,0,0,0,Docklands Stadium,0,0,2006,36
DRMartyn,Australia,Sri Lanka,8,5,2,0,160.0,0,0,0,0,0,0,Sydney Cricket Ground,0,0,2006,10
DRMartyn,Australia,Sri Lanka,1,7,0,0,14.285714285714285,0,0,0,0,0,0,Adelaide Oval,0,0,2006,-5
DRMartyn,Australia,South Africa,11,9,1,0,122.22222222222223,0,0,0,0,0,0,Docklands Stadium,0,0,2006,12
DRMartyn,Australia,West Indies,17,25,3,0,68.0,0,0,0,0,0,0,Brabourne Stadium,0,0,2006,18
DRMartyn,Australia,England,78,96,12,0,81.25,0,0,0,0,0,0,Sawai Mansingh Stadium,0,0,2006,98
DRMartyn,Australia,South Africa,1,7,0,0,14.285714285714285,0,0,0,0,0,0,Kingsmead,0,0,2006,-5
DRMartyn,Australia,India,73,108,8,0,67.5925925925926,0,0,0,0,0,0,Punjab Cricket Association Stadium Mohali,0,1,2006,95
DRMartyn,Australia,South Africa,79,75,5,0,105.33333333333333,0,0,0,0,0,0,Sydney Cricket Ground,0,0,2006,92
DRMartyn,Australia,South Africa,1,3,0,0,33.33333333333333,0,0,0,0,0,0,SuperSport Park,0,0,2006,-5
DRMartyn,Australia,New Zealand,26,58,4,0,44.827586206896555,0,0,0,0,0,0,Punjab Cricket Association Stadium Mohali,0,1,2006,32
DRMartyn,Australia,South Africa,12,18,2,0,66.66666666666666,0,0,0,0,0,0,Brisbane Cricket Ground Woolloongabba,0,1,2006,20
