Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
EChigumbura,Zimbabwe,Netherlands,36,21,1,3,171.42857142857142,0,0,0,0,0,0,Hazelaarweg,0,0,2019,43
EChigumbura,Zimbabwe,Pakistan,24,20,3,1,120.0,25,4,28,1,0,7.0,Harare Sports Club,0,2,2011,70
EChigumbura,Zimbabwe,Bangladesh,3,3,0,0,100.0,0,0,0,0,0,0,Sheikh Abu Naser Stadium,0,0,2016,3
EChigumbura,Zimbabwe,South Africa,0,1,0,0,0.0,0,0,0,0,0,0,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,0,0,2012,-8
EChigumbura,Zimbabwe,Sri Lanka,19,20,1,1,95.0,6,1,13,0,0,13.0,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,0,0,2012,22
EChigumbura,Zimbabwe,India,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Harare Sports Club,0,0,2015,-5
EChigumbura,Zimbabwe,Pakistan,35,19,2,2,184.21052631578948,7,1,13,0,0,13.0,Harare Sports Club,0,1,2013,49
EChigumbura,Zimbabwe,Hong Kong,30,13,0,3,230.76923076923075,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2016,36
EChigumbura,Zimbabwe,New Zealand,48,25,3,4,192.0,5,0,16,0,0,0,Eden Park,0,1,2012,67
EChigumbura,Zimbabwe,New Zealand,39,23,4,2,169.56521739130434,12,2,17,0,0,8.5,Harare Sports Club,0,0,2011,47
EChigumbura,Zimbabwe,Afghanistan,10,10,0,1,100.0,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2016,12
EChigumbura,Zimbabwe,Sri Lanka,0,0,0,0,0,11,1,21,1,0,21.0,Providence Stadium,0,1,2010,33
EChigumbura,Zimbabwe,New Zealand,2,6,0,0,33.33333333333333,0,0,0,0,0,0,Harare Sports Club,0,0,2015,-4
EChigumbura,Zimbabwe,Bangladesh,0,1,0,0,0.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2015,-8
EChigumbura,Zimbabwe,New Zealand,14,15,1,0,93.33333333333333,18,3,28,0,0,9.333333333333334,Harare Sports Club,0,0,2011,13
EChigumbura,Zimbabwe,New Zealand,29,16,5,0,181.25,17,2,23,2,0,11.5,Seddon Park,0,1,2012,86
EChigumbura,Zimbabwe,Scotland,20,18,1,1,111.11111111111111,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2016,23
EChigumbura,Zimbabwe,Pakistan,21,9,0,3,233.33333333333334,0,0,0,0,0,0,Gaddafi Stadium,0,0,2015,27
EChigumbura,Zimbabwe,Pakistan,17,8,0,2,212.5,0,0,0,0,0,0,Harare Sports Club,0,1,2015,29
EChigumbura,Zimbabwe,Afghanistan,0,2,0,0,0.0,0,0,0,0,0,0,Sharjah Cricket Stadium,0,0,2016,-8
EChigumbura,Zimbabwe,India,54,28,1,7,192.85714285714286,0,0,0,0,0,0,Harare Sports Club,0,0,2016,77
EChigumbura,Zimbabwe,England,8,5,0,1,160.0,24,4,31,4,1,7.75,Newlands,0,0,2007,126
EChigumbura,Zimbabwe,Australia,4,3,0,0,133.33333333333331,17,2,20,3,0,10.0,Newlands,0,2,2007,93
EChigumbura,Zimbabwe,South Africa,26,15,3,1,173.33333333333334,0,0,0,0,0,0,De Beers Diamond Oval,0,0,2010,31
EChigumbura,Zimbabwe,New Zealand,3,4,0,0,75.0,0,0,0,0,0,0,Providence Stadium,0,0,2010,3
EChigumbura,Zimbabwe,Bangladesh,5,9,0,0,55.55555555555556,5,0,16,0,0,0,Sheikh Abu Naser Stadium,0,1,2016,9
EChigumbura,Zimbabwe,South Africa,10,9,1,0,111.11111111111111,0,0,0,0,0,0,OUTsurance Oval,0,0,2010,11
EChigumbura,Zimbabwe,India,16,16,2,0,100.0,0,0,0,0,0,0,Harare Sports Club,1,2,2016,46
EChigumbura,Zimbabwe,Ireland,22,13,0,2,169.23076923076923,0,0,0,0,0,0,Sylhet Stadium,0,1,2014,34
EChigumbura,Zimbabwe,India,3,9,0,0,33.33333333333333,5,0,10,0,0,0,Harare Sports Club,0,1,2010,5
EChigumbura,Zimbabwe,India,8,20,1,0,40.0,0,0,0,0,0,0,Harare Sports Club,0,0,2016,3
EChigumbura,Zimbabwe,Bangladesh,0,2,0,0,0.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,1,2015,0
EChigumbura,Zimbabwe,Netherlands,0,2,0,0,0.0,0,0,0,0,0,0,Sylhet Stadium,0,1,2014,0
EChigumbura,Zimbabwe,Pakistan,31,29,2,1,106.89655172413792,0,0,0,0,0,0,Harare Sports Club,0,0,2015,35
EChigumbura,Zimbabwe,Pakistan,54,37,8,1,145.94594594594594,0,0,0,0,0,0,Gaddafi Stadium,0,0,2015,72
EChigumbura,Zimbabwe,India,18,6,1,2,300.0,5,0,12,0,0,0,Harare Sports Club,0,0,2010,23
EChigumbura,Zimbabwe,Pakistan,1,3,0,0,33.33333333333333,18,3,33,0,0,11.0,Harare Sports Club,0,0,2011,-9
EChigumbura,Zimbabwe,Afghanistan,12,7,0,0,171.42857142857142,0,0,0,0,0,0,Queens Sports Club,0,0,2015,12
EChigumbura,Zimbabwe,West Indies,34,20,2,2,170.0,5,0,7,0,0,0,Queen's Park Oval Port of Spain,0,0,2010,40
