Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
FayyazButt,Oman,Ireland,14,4,0,2,350.0,12,2,28,0,0,14.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),12
FayyazButt,Oman,Canada,0,0,0,0,0,19,3,28,0,0,9.333333333333334,Sheikh Zayed Stadium,-2
FayyazButt,Oman,Hong Kong,0,0,0,0,0,18,3,16,2,0,5.333333333333333,Sheikh Zayed Stadium,52
FayyazButt,Oman,Ireland,14,4,0,2,350.0,12,2,28,0,0,14.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),12
FayyazButt,Oman,Canada,0,0,0,0,0,19,3,28,0,0,9.333333333333334,Sheikh Zayed Stadium,-2
FayyazButt,Oman,Hong Kong,0,0,0,0,0,18,3,16,2,0,5.333333333333333,Sheikh Zayed Stadium,52
FayyazButt,Oman,Ireland,14,4,0,2,350.0,12,2,28,0,0,14.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),12
FayyazButt,Oman,Canada,0,0,0,0,0,19,3,28,0,0,9.333333333333334,Sheikh Zayed Stadium,-2
FayyazButt,Oman,Hong Kong,0,0,0,0,0,18,3,16,2,0,5.333333333333333,Sheikh Zayed Stadium,52
FayyazButt,Oman,Ireland,9,11,1,0,81.81818181818183,25,4,36,0,0,9.0,Tolerance Oval,10
FayyazButt,Oman,United Arab Emirates,0,0,0,0,0,17,2,16,3,0,8.0,Sheikh Zayed Stadium,75
FayyazButt,Oman,Netherlands,0,0,0,0,0,18,3,28,0,0,9.333333333333334,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),-2
FayyazButt,Oman,Nepal,0,0,0,0,0,5,0,12,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),0
FayyazButt,Oman,Ireland,14,4,0,2,350.0,12,2,28,0,0,14.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),12
FayyazButt,Oman,Canada,0,0,0,0,0,19,3,28,0,0,9.333333333333334,Sheikh Zayed Stadium,-2
FayyazButt,Oman,Hong Kong,0,0,0,0,0,18,3,16,2,0,5.333333333333333,Sheikh Zayed Stadium,52
