Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
GCWilson,Ireland,Kenya,22,22,2,1,100.0,0,0,0,0,0,0,Mombasa Sports Club Ground,26
GCWilson,Ireland,Bangladesh,10,15,0,0,66.66666666666666,0,0,0,0,0,0,Trent Bridge,8
GCWilson,Ireland,Oman,5,8,0,0,62.5,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),3
GCWilson,Ireland,India,19,23,1,0,82.6086956521739,0,0,0,0,0,0,Trent Bridge,20
GCWilson,Ireland,Scotland,26,27,1,1,96.29629629629629,0,0,0,0,0,0,Dubai International Cricket Stadium,29
GCWilson,Ireland,Afghanistan,41,27,3,1,151.85185185185185,0,0,0,0,0,0,Greater Noida Sports Complex Ground,46
GCWilson,Ireland,Afghanistan,32,39,2,0,82.05128205128204,0,0,0,0,0,0,Dubai International Cricket Stadium,34
GCWilson,Ireland,United Arab Emirates,0,3,0,0,0.0,0,0,0,0,0,0,Sheikh Zayed Stadium,-8
GCWilson,Ireland,West Indies,21,22,3,0,95.45454545454545,0,0,0,0,0,0,R Premadasa Stadium,24
GCWilson,Ireland,Afghanistan,3,6,0,0,50.0,0,0,0,0,0,0,Dubai International Cricket Stadium,-1
GCWilson,Ireland,Hong Kong,16,17,2,0,94.11764705882352,0,0,0,0,0,0,The Village Malahide,18
GCWilson,Ireland,Bangladesh,41,36,4,1,113.88888888888889,0,0,0,0,0,0,Civil Service Cricket Club Stormont,47
GCWilson,Ireland,Nepal,6,9,0,0,66.66666666666666,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4
GCWilson,Ireland,New Zealand,23,29,2,0,79.3103448275862,0,0,0,0,0,0,Trent Bridge,25
GCWilson,Ireland,Netherlands,4,4,1,0,100.0,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,5
GCWilson,Ireland,United Arab Emirates,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Sheikh Zayed Stadium,-5
GCWilson,Ireland,Kenya,22,22,2,1,100.0,0,0,0,0,0,0,Mombasa Sports Club Ground,26
GCWilson,Ireland,Bangladesh,10,15,0,0,66.66666666666666,0,0,0,0,0,0,Trent Bridge,8
GCWilson,Ireland,Kenya,22,22,2,1,100.0,0,0,0,0,0,0,Mombasa Sports Club Ground,26
GCWilson,Ireland,Bangladesh,10,15,0,0,66.66666666666666,0,0,0,0,0,0,Trent Bridge,8
GCWilson,Ireland,Oman,5,8,0,0,62.5,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),3
GCWilson,Ireland,India,19,23,1,0,82.6086956521739,0,0,0,0,0,0,Trent Bridge,20
GCWilson,Ireland,Scotland,26,27,1,1,96.29629629629629,0,0,0,0,0,0,Dubai International Cricket Stadium,29
GCWilson,Ireland,Afghanistan,41,27,3,1,151.85185185185185,0,0,0,0,0,0,Greater Noida Sports Complex Ground,46
GCWilson,Ireland,Afghanistan,32,39,2,0,82.05128205128204,0,0,0,0,0,0,Dubai International Cricket Stadium,34
GCWilson,Ireland,United Arab Emirates,0,3,0,0,0.0,0,0,0,0,0,0,Sheikh Zayed Stadium,-8
GCWilson,Ireland,West Indies,21,22,3,0,95.45454545454545,0,0,0,0,0,0,R Premadasa Stadium,24
GCWilson,Ireland,Afghanistan,3,6,0,0,50.0,0,0,0,0,0,0,Dubai International Cricket Stadium,-1
GCWilson,Ireland,Hong Kong,16,17,2,0,94.11764705882352,0,0,0,0,0,0,The Village Malahide,18
GCWilson,Ireland,Bangladesh,41,36,4,1,113.88888888888889,0,0,0,0,0,0,Civil Service Cricket Club Stormont,47
GCWilson,Ireland,Nepal,6,9,0,0,66.66666666666666,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4
GCWilson,Ireland,New Zealand,23,29,2,0,79.3103448275862,0,0,0,0,0,0,Trent Bridge,25
GCWilson,Ireland,Netherlands,4,4,1,0,100.0,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,5
GCWilson,Ireland,United Arab Emirates,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Sheikh Zayed Stadium,-5
GCWilson,Ireland,Kenya,22,22,2,1,100.0,0,0,0,0,0,0,Mombasa Sports Club Ground,26
GCWilson,Ireland,Bangladesh,10,15,0,0,66.66666666666666,0,0,0,0,0,0,Trent Bridge,8
GCWilson,Ireland,Oman,5,8,0,0,62.5,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),3
GCWilson,Ireland,India,19,23,1,0,82.6086956521739,0,0,0,0,0,0,Trent Bridge,20
GCWilson,Ireland,Scotland,26,27,1,1,96.29629629629629,0,0,0,0,0,0,Dubai International Cricket Stadium,29
GCWilson,Ireland,Afghanistan,41,27,3,1,151.85185185185185,0,0,0,0,0,0,Greater Noida Sports Complex Ground,46
GCWilson,Ireland,Afghanistan,32,39,2,0,82.05128205128204,0,0,0,0,0,0,Dubai International Cricket Stadium,34
GCWilson,Ireland,United Arab Emirates,0,3,0,0,0.0,0,0,0,0,0,0,Sheikh Zayed Stadium,-8
GCWilson,Ireland,West Indies,21,22,3,0,95.45454545454545,0,0,0,0,0,0,R Premadasa Stadium,24
GCWilson,Ireland,Afghanistan,3,6,0,0,50.0,0,0,0,0,0,0,Dubai International Cricket Stadium,-1
GCWilson,Ireland,Hong Kong,16,17,2,0,94.11764705882352,0,0,0,0,0,0,The Village Malahide,18
GCWilson,Ireland,Bangladesh,41,36,4,1,113.88888888888889,0,0,0,0,0,0,Civil Service Cricket Club Stormont,47
GCWilson,Ireland,Nepal,6,9,0,0,66.66666666666666,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4
GCWilson,Ireland,New Zealand,23,29,2,0,79.3103448275862,0,0,0,0,0,0,Trent Bridge,25
GCWilson,Ireland,Netherlands,4,4,1,0,100.0,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,5
GCWilson,Ireland,United Arab Emirates,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Sheikh Zayed Stadium,-5
GCWilson,Ireland,Australia,5,5,0,0,100.0,0,0,0,0,0,0,R Premadasa Stadium,5
GCWilson,Ireland,Zimbabwe,47,47,4,1,100.0,0,0,0,0,0,0,Bready,53
GCWilson,Ireland,Netherlands,29,24,4,0,120.83333333333333,0,0,0,0,0,0,Dubai International Cricket Stadium,33
GCWilson,Ireland,Papua New Guinea,10,12,0,0,83.33333333333334,0,0,0,0,0,0,Civil Service Cricket Club Stormont,10
GCWilson,Ireland,Kenya,0,9,0,0,0.0,0,0,0,0,0,0,Civil Service Cricket Club Stormont,-8
GCWilson,Ireland,Scotland,19,22,2,0,86.36363636363636,0,0,0,0,0,0,Dubai International Cricket Stadium,21
GCWilson,Ireland,Zimbabwe,0,2,0,0,0.0,0,0,0,0,0,0,Sylhet Stadium,-8
GCWilson,Ireland,Afghanistan,8,10,0,0,80.0,0,0,0,0,0,0,Dubai International Cricket Stadium,8
GCWilson,Ireland,United Arab Emirates,4,7,0,0,57.14285714285714,0,0,0,0,0,0,Sheikh Zayed Stadium,0
GCWilson,Ireland,Oman,38,34,4,0,111.76470588235294,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,42
GCWilson,Ireland,United Arab Emirates,1,1,0,0,100.0,0,0,0,0,0,0,Sylhet Stadium,1
GCWilson,Ireland,West Indies,35,39,4,0,89.74358974358975,0,0,0,0,0,0,Sabina Park Kingston,39
GCWilson,Ireland,Scotland,65,29,8,3,224.13793103448273,0,0,0,0,0,0,Dubai International Cricket Stadium,87
GCWilson,Ireland,Canada,24,18,0,0,133.33333333333331,0,0,0,0,0,0,Sheikh Zayed Stadium,24
GCWilson,Ireland,Papua New Guinea,15,16,2,0,93.75,0,0,0,0,0,0,Tony Ireland Stadium,17
GCWilson,Ireland,Afghanistan,59,35,5,2,168.57142857142858,0,0,0,0,0,0,Greater Noida Sports Complex Ground,76
GCWilson,Ireland,Hong Kong,1,1,0,0,100.0,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),1
GCWilson,Ireland,Afghanistan,5,8,1,0,62.5,0,0,0,0,0,0,Dubai International Cricket Stadium,4
GCWilson,Ireland,West Indies,17,37,0,0,45.94594594594595,0,0,0,0,0,0,Providence Stadium,11
GCWilson,Ireland,Afghanistan,2,3,0,0,66.66666666666666,0,0,0,0,0,0,Sheikh Zayed Stadium,0
GCWilson,Ireland,Afghanistan,23,19,2,0,121.05263157894737,0,0,0,0,0,0,Sheikh Zayed Stadium,25
GCWilson,Ireland,Scotland,13,9,2,0,144.44444444444443,0,0,0,0,0,0,The Village Malahide,15
GCWilson,Ireland,Afghanistan,1,2,0,0,50.0,0,0,0,0,0,0,Greater Noida Sports Complex Ground,-3
GCWilson,Ireland,Netherlands,20,25,1,0,80.0,0,0,0,0,0,0,The Village Malahide,21
GCWilson,Ireland,Papua New Guinea,13,12,0,0,108.33333333333333,0,0,0,0,0,0,Tony Ireland Stadium,13
GCWilson,Ireland,Canada,16,14,1,0,114.28571428571428,0,0,0,0,0,0,Sheikh Zayed Stadium,17
GCWilson,Ireland,United Arab Emirates,26,17,2,2,152.94117647058823,0,0,0,0,0,0,Dubai International Cricket Stadium,32
GCWilson,Ireland,Netherlands,0,1,0,0,0.0,0,0,0,0,0,0,Dubai International Cricket Stadium,-8
GCWilson,Ireland,Kenya,32,38,4,0,84.21052631578947,0,0,0,0,0,0,Mombasa Sports Club Ground,36
GCWilson,Ireland,West Indies,18,18,2,0,100.0,0,0,0,0,0,0,Sabina Park Kingston,20
GCWilson,Ireland,Kenya,22,22,2,1,100.0,0,0,0,0,0,0,Mombasa Sports Club Ground,26
GCWilson,Ireland,Bangladesh,10,15,0,0,66.66666666666666,0,0,0,0,0,0,Trent Bridge,8
GCWilson,Ireland,Oman,5,8,0,0,62.5,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),3
GCWilson,Ireland,India,19,23,1,0,82.6086956521739,0,0,0,0,0,0,Trent Bridge,20
GCWilson,Ireland,Scotland,26,27,1,1,96.29629629629629,0,0,0,0,0,0,Dubai International Cricket Stadium,29
GCWilson,Ireland,Afghanistan,41,27,3,1,151.85185185185185,0,0,0,0,0,0,Greater Noida Sports Complex Ground,46
GCWilson,Ireland,Afghanistan,32,39,2,0,82.05128205128204,0,0,0,0,0,0,Dubai International Cricket Stadium,34
GCWilson,Ireland,United Arab Emirates,0,3,0,0,0.0,0,0,0,0,0,0,Sheikh Zayed Stadium,-8
GCWilson,Ireland,West Indies,21,22,3,0,95.45454545454545,0,0,0,0,0,0,R Premadasa Stadium,24
GCWilson,Ireland,Afghanistan,3,6,0,0,50.0,0,0,0,0,0,0,Dubai International Cricket Stadium,-1
GCWilson,Ireland,Hong Kong,16,17,2,0,94.11764705882352,0,0,0,0,0,0,The Village Malahide,18
GCWilson,Ireland,Bangladesh,41,36,4,1,113.88888888888889,0,0,0,0,0,0,Civil Service Cricket Club Stormont,47
GCWilson,Ireland,Nepal,6,9,0,0,66.66666666666666,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),4
GCWilson,Ireland,New Zealand,23,29,2,0,79.3103448275862,0,0,0,0,0,0,Trent Bridge,25
GCWilson,Ireland,Netherlands,4,4,1,0,100.0,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,5
GCWilson,Ireland,United Arab Emirates,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Sheikh Zayed Stadium,-5
GCWilson,Ireland,Australia,5,5,0,0,100.0,0,0,0,0,0,0,R Premadasa Stadium,5
GCWilson,Ireland,Zimbabwe,47,47,4,1,100.0,0,0,0,0,0,0,Bready,53
GCWilson,Ireland,Netherlands,29,24,4,0,120.83333333333333,0,0,0,0,0,0,Dubai International Cricket Stadium,33
GCWilson,Ireland,Papua New Guinea,10,12,0,0,83.33333333333334,0,0,0,0,0,0,Civil Service Cricket Club Stormont,10
GCWilson,Ireland,Kenya,0,9,0,0,0.0,0,0,0,0,0,0,Civil Service Cricket Club Stormont,-8
