Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
GHDockrell,Ireland,Netherlands,0,1,0,0,0.0,11,1,9,3,0,9.0,Himachal Pradesh Cricket Association Stadium,0,0,2016,67
GHDockrell,Ireland,Hong Kong,0,0,0,0,0,17,2,23,0,0,11.5,Sheikh Zayed Stadium,0,0,2019,-6
GHDockrell,Ireland,Afghanistan,8,15,0,0,53.333333333333336,17,2,20,0,0,10.0,Dubai International Cricket Stadium,0,0,2017,2
GHDockrell,Ireland,United Arab Emirates,7,4,0,0,175.0,25,4,24,0,0,6.0,Dubai International Cricket Stadium,0,2,2017,23
GHDockrell,Ireland,Scotland,10,6,1,0,166.66666666666669,23,3,22,3,0,7.333333333333333,Bready Cricket Club Magheramason,0,0,2015,86
GHDockrell,Ireland,Afghanistan,0,0,0,0,0,25,4,27,0,0,6.75,Dubai International Cricket Stadium,0,0,2010,0
GHDockrell,Ireland,Nigeria,0,0,0,0,0,23,3,16,1,0,5.333333333333333,Sheikh Zayed Stadium,0,1,2019,35
GHDockrell,Ireland,Canada,13,11,1,0,118.18181818181819,11,1,22,0,0,22.0,Sheikh Zayed Stadium,0,0,2019,14
GHDockrell,Ireland,Netherlands,0,0,0,0,0,23,3,29,1,0,9.666666666666666,Dubai International Cricket Stadium,0,0,2012,23
GHDockrell,Ireland,Papua New Guinea,0,0,0,0,0,17,2,18,3,0,9.0,Tony Ireland Stadium,0,1,2016,83
GHDockrell,Ireland,United Arab Emirates,0,0,0,0,0,5,0,10,0,0,0,Sylhet Stadium,0,1,2014,8
GHDockrell,Ireland,Oman,5,6,0,0,83.33333333333334,11,1,19,0,0,19.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),0,0,2019,5
GHDockrell,Ireland,Netherlands,8,5,0,1,160.0,24,4,35,0,0,8.75,The Village Malahide,0,2,2015,26
GHDockrell,Ireland,Zimbabwe,1,1,0,0,100.0,12,2,16,1,0,8.0,Bready,0,0,2019,26
GHDockrell,Ireland,Oman,0,0,0,0,0,19,3,25,2,0,8.333333333333334,Tolerance Oval,1,1,2019,70
GHDockrell,Ireland,Netherlands,0,0,0,0,0,5,0,15,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),1,0,2019,12
GHDockrell,Ireland,Hong Kong,0,2,0,0,0.0,24,4,23,2,0,5.75,The Village Malahide,0,0,2015,44
GHDockrell,Ireland,Afghanistan,2,3,0,0,66.66666666666666,25,4,39,0,0,9.75,Greater Noida Sports Complex Ground,0,3,2017,22
GHDockrell,Ireland,Canada,0,0,0,0,0,23,3,19,3,0,6.333333333333333,Dubai International Cricket Stadium,0,1,2012,83
GHDockrell,Ireland,Jersey,0,0,0,0,0,14,2,16,1,0,8.0,Tolerance Oval,0,0,2019,25
GHDockrell,Ireland,Australia,0,0,0,0,0,18,3,31,1,0,10.333333333333334,R Premadasa Stadium,0,0,2012,21
GHDockrell,Ireland,West Indies,0,0,0,0,0,23,3,15,1,0,5.0,Sabina Park Kingston,0,1,2014,35
GHDockrell,Ireland,Kenya,0,0,0,0,0,24,4,27,1,0,6.75,Mombasa Sports Club Ground,0,0,2012,25
GHDockrell,Ireland,Scotland,0,0,0,0,0,11,1,13,0,0,13.0,Dubai International Cricket Stadium,0,0,2012,0
GHDockrell,Ireland,Afghanistan,0,0,0,0,0,18,3,31,1,0,10.333333333333334,Dubai International Cricket Stadium,0,0,2010,21
GHDockrell,Ireland,Zimbabwe,0,0,0,0,0,23,3,19,2,0,6.333333333333333,Sylhet Stadium,0,0,2014,50
GHDockrell,Ireland,Scotland,0,0,0,0,0,11,1,9,2,0,9.0,Dubai International Cricket Stadium,0,0,2010,50
GHDockrell,Ireland,Afghanistan,5,2,0,0,250.0,23,3,37,0,0,12.333333333333334,Greater Noida Sports Complex Ground,0,0,2017,-1
GHDockrell,Ireland,England,0,0,0,0,0,23,3,19,0,0,6.333333333333333,Providence Stadium,0,0,2010,0
GHDockrell,Ireland,United Arab Emirates,5,5,0,0,100.0,26,4,38,0,0,9.5,Sheikh Zayed Stadium,1,0,2016,15
GHDockrell,Ireland,United Arab Emirates,1,1,0,0,100.0,5,0,17,0,0,0,Sheikh Zayed Stadium,0,0,2019,1
GHDockrell,Ireland,Bangladesh,0,0,0,0,0,12,2,18,1,0,9.0,Himachal Pradesh Cricket Association Stadium,0,0,2016,25
GHDockrell,Ireland,Kenya,0,0,0,0,0,23,3,15,3,0,5.0,Mombasa Sports Club Ground,0,0,2012,77
GHDockrell,Ireland,Afghanistan,0,0,0,0,0,23,3,35,0,0,11.666666666666666,Greater Noida Sports Complex Ground,1,2,2017,22
GHDockrell,Ireland,Scotland,3,3,0,0,100.0,18,3,28,3,0,9.333333333333334,Dubai International Cricket Stadium,0,2,2017,92
GHDockrell,Ireland,Kenya,0,0,0,0,0,23,3,16,2,0,5.333333333333333,Dubai International Cricket Stadium,0,0,2012,52
GHDockrell,Ireland,Canada,0,0,0,0,0,23,3,30,0,0,10.0,Sheikh Zayed Stadium,0,0,2013,-2
GHDockrell,Ireland,Netherlands,0,0,0,0,0,17,2,43,1,0,21.5,Sylhet Stadium,0,1,2014,27
GHDockrell,Ireland,Afghanistan,0,0,0,0,0,17,2,37,2,0,18.5,Sheikh Zayed Stadium,0,0,2013,44
GHDockrell,Ireland,Netherlands,0,0,0,0,0,20,3,20,4,0,6.666666666666667,Dubai International Cricket Stadium,0,0,2010,108
GHDockrell,Ireland,Afghanistan,0,0,0,0,0,17,2,26,0,0,13.0,Dubai International Cricket Stadium,0,0,2012,-6
GHDockrell,Ireland,Papua New Guinea,8,8,0,0,100.0,5,0,9,0,0,0,Civil Service Cricket Club Stormont,0,2,2015,24
GHDockrell,Ireland,Afghanistan,13,10,1,0,130.0,24,4,20,1,0,5.0,Sheikh Zayed Stadium,0,0,2017,41
GHDockrell,Ireland,Kenya,2,2,0,0,100.0,23,3,13,2,0,4.333333333333333,Mombasa Sports Club Ground,0,0,2012,56
GHDockrell,Ireland,Papua New Guinea,7,6,1,0,116.66666666666667,23,3,16,2,0,5.333333333333333,Tony Ireland Stadium,0,1,2016,68
GHDockrell,Ireland,West Indies,0,0,0,0,0,17,2,14,0,0,7.0,Sabina Park Kingston,0,0,2014,0
GHDockrell,Ireland,Nepal,1,1,0,0,100.0,25,4,23,3,0,5.75,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),0,0,2019,78
GHDockrell,Ireland,West Indies,0,0,0,0,0,60,10,50,3,0,5.0,Saxton Oval,0,2,2015,93
GHDockrell,Ireland,New Zealand,16,28,1,0,57.14285714285714,59,9,66,1,0,7.333333333333333,Malahide,0,0,2017,38
GHDockrell,Ireland,Afghanistan,9,29,1,0,31.03448275862069,23,3,8,2,1,2.6666666666666665,Clontarf Cricket Club Ground,0,0,2012,68
GHDockrell,Ireland,Scotland,0,0,0,0,0,31,5,28,0,1,5.6,Dubai International Cricket Stadium,1,0,2015,22
GHDockrell,Ireland,England,24,42,1,0,57.14285714285714,53,8,27,0,0,3.375,The Village Malahide,0,1,2019,35
GHDockrell,Ireland,Sri Lanka,18,27,0,0,66.66666666666666,61,10,46,1,0,4.6,Clontarf Cricket Club Ground,0,1,2014,53
GHDockrell,Ireland,New Zealand,1,6,0,0,16.666666666666664,59,9,42,0,0,4.666666666666667,Malahide,0,0,2017,-1
GHDockrell,Ireland,Pakistan,3,2,0,0,150.0,60,10,33,1,1,3.3,Clontarf Cricket Club Ground,0,0,2013,42
GHDockrell,Ireland,Afghanistan,21,21,2,0,100.0,57,9,58,1,0,6.444444444444445,Greater Noida Sports Complex Ground,0,0,2017,48
GHDockrell,Ireland,Afghanistan,5,10,0,0,50.0,61,10,46,0,1,4.6,Greater Noida Sports Complex Ground,0,0,2017,13
GHDockrell,Ireland,Netherlands,0,0,0,0,0,48,8,20,0,3,2.5,Clontarf Cricket Club Ground,0,0,2010,30
GHDockrell,Ireland,Kenya,3,7,0,0,42.857142857142854,37,6,35,1,0,5.833333333333333,Mombasa Sports Club Ground,0,0,2012,24
