Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
HGMunsey,Scotland,Afghanistan,41,31,9,0,132.25806451612902,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,50
HGMunsey,Scotland,Netherlands,4,4,1,0,100.0,0,0,0,0,0,0,Sheikh Zayed Stadium,5
HGMunsey,Scotland,Afghanistan,41,31,9,0,132.25806451612902,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,50
HGMunsey,Scotland,Netherlands,4,4,1,0,100.0,0,0,0,0,0,0,Sheikh Zayed Stadium,5
HGMunsey,Scotland,Afghanistan,41,31,9,0,132.25806451612902,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,50
HGMunsey,Scotland,Netherlands,4,4,1,0,100.0,0,0,0,0,0,0,Sheikh Zayed Stadium,5
HGMunsey,Scotland,Singapore,46,26,7,1,176.9230769230769,0,0,0,0,0,0,ICC Academy,55
HGMunsey,Scotland,Zimbabwe,8,6,2,0,133.33333333333331,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,10
HGMunsey,Scotland,Afghanistan,6,9,1,0,66.66666666666666,0,0,0,0,0,0,Grange Cricket Club Ground Raeburn Place,5
HGMunsey,Scotland,Netherlands,127,60,5,14,211.66666666666666,0,0,0,0,0,0,The Village Malahide,176
HGMunsey,Scotland,Bermuda,51,42,3,3,121.42857142857142,0,0,0,0,0,0,Dubai International Cricket Stadium,68
HGMunsey,Scotland,Ireland,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Dubai International Cricket Stadium,-5
HGMunsey,Scotland,Namibia,11,5,1,0,220.00000000000003,0,0,0,0,0,0,ICC Academy,12
HGMunsey,Scotland,Netherlands,7,8,1,0,87.5,0,0,0,0,0,0,Dubai International Cricket Stadium,8
HGMunsey,Scotland,Oman,15,20,1,0,75.0,0,0,0,0,0,0,Dubai International Cricket Stadium,16
HGMunsey,Scotland,Papua New Guinea,14,14,1,1,100.0,0,0,0,0,0,0,ICC Academy,17
HGMunsey,Scotland,Ireland,0,3,0,0,0.0,0,0,0,0,0,0,Bready Cricket Club Magheramason,-8
HGMunsey,Scotland,Hong Kong,25,20,4,0,125.0,0,0,0,0,0,0,The Village Malahide,29
HGMunsey,Scotland,Netherlands,27,28,1,2,96.42857142857143,0,0,0,0,0,0,The Village Malahide,32
HGMunsey,Scotland,Ireland,34,23,6,1,147.82608695652172,0,0,0,0,0,0,The Village Malahide,42
HGMunsey,Scotland,Kenya,23,15,3,1,153.33333333333334,0,0,0,0,0,0,ICC Academy Ground No 2,28
HGMunsey,Scotland,Hong Kong,0,3,0,0,0.0,0,0,0,0,0,0,Mission Road Ground Mong Kok,-8
HGMunsey,Scotland,Netherlands,0,1,0,0,0.0,0,0,0,0,0,0,Grange Cricket Club Ground Raeburn Place,-8
HGMunsey,Scotland,Hong Kong,22,26,3,0,84.61538461538461,0,0,0,0,0,0,Sheikh Zayed Stadium,25
HGMunsey,Scotland,Hong Kong,19,11,4,0,172.72727272727272,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,23
HGMunsey,Scotland,Hong Kong,17,10,2,1,170.0,0,0,0,0,0,0,Mission Road Ground Mong Kok,21
HGMunsey,Scotland,United Arab Emirates,62,36,11,1,172.22222222222223,0,0,0,0,0,0,Grange Cricket Club Ground Raeburn Place,83
HGMunsey,Scotland,Afghanistan,41,31,9,0,132.25806451612902,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,50
HGMunsey,Scotland,Netherlands,4,4,1,0,100.0,0,0,0,0,0,0,Sheikh Zayed Stadium,5
HGMunsey,Scotland,Singapore,46,26,7,1,176.9230769230769,0,0,0,0,0,0,ICC Academy,55
HGMunsey,Scotland,Zimbabwe,8,6,2,0,133.33333333333331,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,10
