Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
ImadWasim,Pakistan,New Zealand,0,0,0,0,0,23,3,26,0,0,8.666666666666666,Punjab Cricket Association IS Bindra Stadium Mohali,0,0,2016,0
ImadWasim,Pakistan,West Indies,0,0,0,0,0,23,3,14,5,0,4.666666666666667,Dubai International Cricket Stadium,0,0,2016,145
ImadWasim,Pakistan,New Zealand,18,9,1,1,200.0,23,3,18,1,0,6.0,Eden Park,0,0,2016,46
ImadWasim,Pakistan,Bangladesh,0,0,0,0,0,11,1,13,1,0,13.0,Eden Gardens,0,1,2016,33
ImadWasim,Pakistan,West Indies,0,2,0,0,0.0,18,3,21,0,0,7.0,Queen's Park Oval Port of Spain,0,1,2017,0
ImadWasim,Pakistan,Zimbabwe,4,5,0,0,80.0,11,1,15,0,0,15.0,Gaddafi Stadium,0,0,2015,4
ImadWasim,Pakistan,Zimbabwe,13,9,2,0,144.44444444444443,24,4,14,1,0,3.5,Harare Sports Club,0,0,2015,46
ImadWasim,Pakistan,West Indies,0,0,0,0,0,23,3,22,3,0,7.333333333333333,Sheikh Zayed Stadium,0,0,2016,75
ImadWasim,Pakistan,Sri Lanka,7,5,1,0,140.0,24,4,24,0,0,6.0,Gaddafi Stadium,0,0,2019,8
ImadWasim,Pakistan,Sri Lanka,0,0,0,0,0,17,2,21,1,0,10.5,R Premadasa Stadium,0,0,2015,21
ImadWasim,Pakistan,Australia,0,1,0,0,0.0,23,3,31,2,0,10.333333333333334,Punjab Cricket Association IS Bindra Stadium Mohali,0,0,2016,38
ImadWasim,Pakistan,Sri Lanka,3,5,0,0,60.0,24,4,18,1,0,4.5,Gaddafi Stadium,0,0,2019,30
ImadWasim,Pakistan,England,0,0,0,0,0,23,3,17,2,0,5.666666666666667,Old Trafford,0,0,2016,52
ImadWasim,Pakistan,Zimbabwe,19,13,1,1,146.15384615384613,24,4,11,4,0,2.75,Harare Sports Club,2,0,2015,160
ImadWasim,Pakistan,West Indies,4,4,1,0,100.0,23,3,28,0,0,9.333333333333334,Queen's Park Oval Port of Spain,1,0,2017,15
ImadWasim,Pakistan,West Indies,0,0,0,0,0,23,3,25,1,0,8.333333333333334,Queen's Park Oval Port of Spain,0,0,2017,25
ImadWasim,Pakistan,New Zealand,8,4,0,1,200.0,23,3,32,0,0,10.666666666666666,Seddon Park,0,0,2016,6
ImadWasim,Pakistan,Sri Lanka,24,14,2,1,171.42857142857142,6,1,8,0,0,8.0,R Premadasa Stadium,0,1,2015,36
ImadWasim,Pakistan,West Indies,0,0,0,0,0,17,2,12,1,0,6.0,Kensington Oval Bridgetown,0,2,2017,41
ImadWasim,Pakistan,New Zealand,0,1,0,0,0.0,23,3,43,0,0,14.333333333333334,Westpac Stadium,0,0,2016,-14
ImadWasim,Pakistan,West Indies,0,0,0,0,0,23,3,18,1,0,6.0,Dubai International Cricket Stadium,0,0,2016,25
ImadWasim,Pakistan,Sri Lanka,47,32,8,0,146.875,23,3,28,1,0,9.333333333333334,Gaddafi Stadium,1,0,2019,90
ImadWasim,Pakistan,England,16,19,2,0,84.21052631578947,60,10,37,1,0,3.7,Sophia Gardens,0,0,2016,49
ImadWasim,Pakistan,Sri Lanka,12,8,1,0,150.0,41,6,38,1,1,6.333333333333333,National Stadium,0,1,2019,54
ImadWasim,Pakistan,England,17,20,1,0,85.0,29,4,24,0,0,6.0,The Rose Bowl,0,0,2016,18
ImadWasim,Pakistan,England,8,4,0,1,200.0,64,10,64,0,0,6.4,The Rose Bowl,0,1,2019,18
ImadWasim,Pakistan,Sri Lanka,0,0,0,0,0,43,7,28,2,0,4.0,R Premadasa Stadium,0,0,2015,54
ImadWasim,Pakistan,Australia,9,13,1,0,69.23076923076923,50,8,59,0,0,7.375,Western Australia Cricket Association Ground,0,0,2017,8
ImadWasim,Pakistan,England,63,70,5,1,90.0,41,6,38,2,0,6.333333333333333,Lord's,0,0,2016,128
ImadWasim,Pakistan,Sri Lanka,0,0,0,0,0,59,9,43,1,0,4.777777777777778,R Premadasa Stadium,0,1,2015,37
ImadWasim,Pakistan,Australia,25,17,3,0,147.05882352941177,53,8,69,0,0,8.625,Sydney Cricket Ground,0,1,2017,36
ImadWasim,Pakistan,India,0,1,0,0,0.0,55,9,66,0,0,7.333333333333333,Edgbaston,0,0,2017,-8
ImadWasim,Pakistan,Sri Lanka,4,4,1,0,100.0,47,7,33,0,1,4.714285714285714,Sophia Gardens,0,0,2017,17
ImadWasim,Pakistan,England,22,12,4,0,183.33333333333331,44,7,58,1,1,8.285714285714286,County Ground,0,0,2019,59
ImadWasim,Pakistan,West Indies,11,9,1,0,122.22222222222223,59,9,63,1,0,7.0,Sharjah Cricket Stadium,0,1,2016,45
ImadWasim,Pakistan,New Zealand,0,0,0,0,0,17,2,18,0,0,9.0,Edgbaston,0,0,2019,0
ImadWasim,Pakistan,Australia,0,0,0,0,0,61,10,38,2,0,3.8,Melbourne Cricket Ground,0,1,2017,64
ImadWasim,Pakistan,Afghanistan,49,57,5,0,85.96491228070175,59,9,48,2,0,5.333333333333333,Headingley,0,1,2019,114
ImadWasim,Pakistan,West Indies,43,35,2,2,122.85714285714286,42,7,29,0,0,4.142857142857143,Providence Stadium,0,0,2017,53
ImadWasim,Pakistan,Zimbabwe,61,63,5,0,96.82539682539682,42,7,24,1,0,3.4285714285714284,Harare Sports Club,0,1,2015,113
ImadWasim,Pakistan,England,57,41,7,1,139.02439024390242,61,10,50,1,1,5.0,Headingley,0,0,2016,109
ImadWasim,Pakistan,England,0,0,0,0,0,29,4,16,0,0,4.0,Sophia Gardens,0,0,2017,4
ImadWasim,Pakistan,Sri Lanka,15,17,2,0,88.23529411764706,18,3,29,0,0,9.666666666666666,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,0,0,2015,15
ImadWasim,Pakistan,West Indies,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Trent Bridge,0,0,2019,-5
ImadWasim,Pakistan,West Indies,24,24,2,0,100.0,47,7,36,1,0,5.142857142857143,Sharjah Cricket Stadium,0,1,2016,61
ImadWasim,Pakistan,South Africa,23,15,2,0,153.33333333333334,59,9,48,0,0,5.333333333333333,Lord's,0,0,2019,27
ImadWasim,Pakistan,India,25,21,1,1,119.04761904761905,2,0,3,0,0,0,Kennington Oval,0,1,2017,36
ImadWasim,Pakistan,Australia,29,36,1,1,80.55555555555556,59,9,36,2,0,4.0,Brisbane Cricket Ground Woolloongabba,0,0,2017,86
ImadWasim,Pakistan,West Indies,0,0,0,0,0,59,9,24,1,1,2.6666666666666665,Providence Stadium,0,0,2017,39
ImadWasim,Pakistan,Ireland,0,2,0,0,0.0,33,5,14,5,0,2.8,The Village Malahide,0,0,2016,139
ImadWasim,Pakistan,West Indies,4,6,0,0,66.66666666666666,47,7,29,1,1,4.142857142857143,Sheikh Zayed Stadium,0,0,2016,39
ImadWasim,Pakistan,Bangladesh,43,28,6,1,153.57142857142858,35,5,26,0,0,5.2,Lord's,0,0,2019,53
ImadWasim,Pakistan,India,46,41,6,0,112.19512195121952,61,10,49,0,0,4.9,Old Trafford,0,0,2019,56
ImadWasim,Pakistan,England,12,10,1,1,120.0,60,10,62,2,1,6.2,Trent Bridge,0,0,2019,73
ImadWasim,Pakistan,Zimbabwe,0,0,0,0,0,48,8,36,3,1,4.5,Harare Sports Club,0,0,2015,87
ImadWasim,Pakistan,New Zealand,1,4,0,0,25.0,49,8,48,0,0,6.0,Basin Reserve,0,0,2016,-5
