Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
JAMorkel,South Africa,Pakistan,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Sheikh Zayed Stadium,21
JAMorkel,South Africa,England,3,3,0,0,100.0,13,2,21,0,0,10.5,Zahur Ahmed Chowdhury Stadium,-1
JAMorkel,South Africa,Pakistan,9,6,1,0,150.0,12,2,26,0,0,13.0,R Premadasa Stadium,4
JAMorkel,South Africa,India,36,38,2,1,94.73684210526315,11,1,14,0,0,14.0,Kingsmead,40
JAMorkel,South Africa,India,0,0,0,0,0,11,1,17,0,0,17.0,Shere Bangla National Stadium,0
JAMorkel,South Africa,England,17,15,0,1,113.33333333333333,5,0,6,0,0,0,Edgbaston,19
JAMorkel,South Africa,Pakistan,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Sheikh Zayed Stadium,21
JAMorkel,South Africa,Pakistan,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Sheikh Zayed Stadium,21
JAMorkel,South Africa,England,3,3,0,0,100.0,13,2,21,0,0,10.5,Zahur Ahmed Chowdhury Stadium,-1
JAMorkel,South Africa,Pakistan,9,6,1,0,150.0,12,2,26,0,0,13.0,R Premadasa Stadium,4
JAMorkel,South Africa,India,36,38,2,1,94.73684210526315,11,1,14,0,0,14.0,Kingsmead,40
JAMorkel,South Africa,India,0,0,0,0,0,11,1,17,0,0,17.0,Shere Bangla National Stadium,0
JAMorkel,South Africa,England,17,15,0,1,113.33333333333333,5,0,6,0,0,0,Edgbaston,19
JAMorkel,South Africa,Pakistan,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Sheikh Zayed Stadium,21
JAMorkel,South Africa,England,3,3,0,0,100.0,13,2,21,0,0,10.5,Zahur Ahmed Chowdhury Stadium,-1
JAMorkel,South Africa,Pakistan,9,6,1,0,150.0,12,2,26,0,0,13.0,R Premadasa Stadium,4
JAMorkel,South Africa,India,36,38,2,1,94.73684210526315,11,1,14,0,0,14.0,Kingsmead,40
JAMorkel,South Africa,India,0,0,0,0,0,11,1,17,0,0,17.0,Shere Bangla National Stadium,0
JAMorkel,South Africa,England,17,15,0,1,113.33333333333333,5,0,6,0,0,0,Edgbaston,19
JAMorkel,South Africa,Sri Lanka,0,0,0,0,0,6,1,8,1,0,8.0,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,25
JAMorkel,South Africa,Bangladesh,6,6,0,0,100.0,11,1,20,0,0,20.0,New Wanderers Stadium,6
JAMorkel,South Africa,Pakistan,0,0,0,0,0,27,4,28,1,0,7.0,Sheikh Zayed Stadium,25
JAMorkel,South Africa,England,0,0,0,0,0,5,0,0,1,1,0,Trent Bridge,33
JAMorkel,South Africa,England,0,0,0,0,0,17,2,12,1,0,6.0,Riverside Ground,25
JAMorkel,South Africa,India,8,8,1,0,100.0,5,0,13,0,0,0,Trent Bridge,9
JAMorkel,South Africa,Pakistan,7,7,0,0,100.0,23,3,29,0,0,9.666666666666666,Beausejour Stadium Gros Islet,5
JAMorkel,South Africa,England,9,10,0,1,90.0,11,1,32,0,0,32.0,New Wanderers Stadium,11
JAMorkel,South Africa,New Zealand,0,0,0,0,0,18,3,30,1,0,10.0,Kingsmead,23
JAMorkel,South Africa,New Zealand,10,9,0,1,111.11111111111111,6,1,17,0,0,17.0,Eden Park,12
JAMorkel,South Africa,India,0,0,0,0,0,23,3,12,3,0,4.0,Barabati Stadium,79
