Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
JOAGordon,Canada,Oman,0,0,0,0,0,25,4,36,1,0,9.0,Sheikh Zayed Stadium,25
JOAGordon,Canada,Oman,0,0,0,0,0,25,4,36,1,0,9.0,Sheikh Zayed Stadium,25
JOAGordon,Canada,Oman,0,0,0,0,0,25,4,36,1,0,9.0,Sheikh Zayed Stadium,25
JOAGordon,Canada,Jersey,0,0,0,0,0,18,3,15,3,0,5.0,Tolerance Oval,77
JOAGordon,Canada,Kenya,2,4,0,0,50.0,21,3,31,2,0,10.333333333333334,Sharjah Cricket Stadium,44
JOAGordon,Canada,Nigeria,0,0,0,0,0,26,4,14,0,0,3.5,Sheikh Zayed Stadium,6
JOAGordon,Canada,Ireland,0,0,0,0,0,23,3,33,0,0,11.0,Sheikh Zayed Stadium,-4
JOAGordon,Canada,Hong Kong,1,2,0,0,50.0,26,4,31,1,0,7.75,Tolerance Oval,22
JOAGordon,Canada,Ireland,0,0,0,0,0,26,4,32,1,0,8.0,Sheikh Zayed Stadium,25
JOAGordon,Canada,Oman,0,0,0,0,0,25,4,36,1,0,9.0,Sheikh Zayed Stadium,25
JOAGordon,Canada,Jersey,0,0,0,0,0,18,3,15,3,0,5.0,Tolerance Oval,77
