Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
JWDernbach,England,South Africa,0,0,0,0,0,21,3,44,0,0,14.666666666666666,Zahur Ahmed Chowdhury Stadium,-6
JWDernbach,England,West Indies,1,1,0,0,100.0,23,3,37,0,0,12.333333333333334,Kensington Oval Bridgetown,-5
JWDernbach,England,West Indies,0,0,0,0,0,18,3,30,1,0,10.0,Kensington Oval Bridgetown,23
JWDernbach,England,West Indies,0,0,0,0,0,23,3,42,1,0,14.0,Pallekele International Cricket Stadium,19
JWDernbach,England,South Africa,0,0,0,0,0,13,2,14,0,0,7.0,Edgbaston,0
JWDernbach,England,West Indies,0,0,0,0,0,24,4,38,1,1,9.5,Kensington Oval Bridgetown,31
JWDernbach,England,Australia,0,0,0,0,0,26,4,23,3,0,5.75,Riverside Ground,77
JWDernbach,England,South Africa,0,0,0,0,0,21,3,44,0,0,14.666666666666666,Zahur Ahmed Chowdhury Stadium,-6
JWDernbach,England,West Indies,1,1,0,0,100.0,23,3,37,0,0,12.333333333333334,Kensington Oval Bridgetown,-5
JWDernbach,England,West Indies,0,0,0,0,0,18,3,30,1,0,10.0,Kensington Oval Bridgetown,23
JWDernbach,England,West Indies,0,0,0,0,0,23,3,42,1,0,14.0,Pallekele International Cricket Stadium,19
JWDernbach,England,South Africa,0,0,0,0,0,13,2,14,0,0,7.0,Edgbaston,0
JWDernbach,England,West Indies,0,0,0,0,0,24,4,38,1,1,9.5,Kensington Oval Bridgetown,31
JWDernbach,England,Australia,0,0,0,0,0,26,4,23,3,0,5.75,Riverside Ground,77
JWDernbach,England,South Africa,0,0,0,0,0,21,3,44,0,0,14.666666666666666,Zahur Ahmed Chowdhury Stadium,-6
JWDernbach,England,West Indies,1,1,0,0,100.0,23,3,37,0,0,12.333333333333334,Kensington Oval Bridgetown,-5
JWDernbach,England,West Indies,0,0,0,0,0,18,3,30,1,0,10.0,Kensington Oval Bridgetown,23
JWDernbach,England,West Indies,0,0,0,0,0,23,3,42,1,0,14.0,Pallekele International Cricket Stadium,19
JWDernbach,England,South Africa,0,0,0,0,0,13,2,14,0,0,7.0,Edgbaston,0
JWDernbach,England,West Indies,0,0,0,0,0,24,4,38,1,1,9.5,Kensington Oval Bridgetown,31
