Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
KMJarvis,Zimbabwe,Netherlands,1,2,0,0,50.0,11,1,18,1,0,18.0,Hazelaarweg,22
KMJarvis,Zimbabwe,Pakistan,0,0,0,0,0,23,3,15,3,0,5.0,Harare Sports Club,77
KMJarvis,Zimbabwe,South Africa,9,12,0,0,75.0,19,3,25,0,0,8.333333333333334,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,9
KMJarvis,Zimbabwe,Afghanistan,0,0,0,0,0,19,3,27,1,0,9.0,Zahur Ahmed Chowdhury Stadium,25
KMJarvis,Zimbabwe,Sri Lanka,0,3,0,0,0.0,25,4,40,0,0,10.0,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,-10
KMJarvis,Zimbabwe,Ireland,0,0,0,0,0,23,3,40,3,0,13.333333333333334,Bready,69
KMJarvis,Zimbabwe,New Zealand,0,0,0,0,0,21,3,32,2,0,10.666666666666666,Eden Park,46
KMJarvis,Zimbabwe,West Indies,0,0,0,0,0,18,3,39,0,0,13.0,Sir Vivian Richards Stadium North Sound,-6
KMJarvis,Zimbabwe,New Zealand,0,1,0,0,0.0,25,4,38,2,0,9.5,Harare Sports Club,40
KMJarvis,Zimbabwe,Afghanistan,15,10,0,2,150.0,23,3,53,0,0,17.666666666666668,Shere Bangla National Stadium Mirpur,13
KMJarvis,Zimbabwe,New Zealand,0,0,0,0,0,21,3,32,0,0,10.666666666666666,Harare Sports Club,-4
KMJarvis,Zimbabwe,New Zealand,0,0,0,0,0,23,3,35,2,0,11.666666666666666,Seddon Park,44
KMJarvis,Zimbabwe,Bangladesh,27,20,1,2,135.0,23,3,32,3,0,10.666666666666666,Zahur Ahmed Chowdhury Stadium,103
KMJarvis,Zimbabwe,Pakistan,0,2,0,0,0.0,24,4,30,1,0,7.5,Harare Sports Club,17
KMJarvis,Zimbabwe,Netherlands,2,5,0,0,40.0,19,3,40,1,0,13.333333333333334,Hazelaarweg,15
KMJarvis,Zimbabwe,Ireland,0,0,0,0,0,18,3,35,0,0,11.666666666666666,Bready Cricket Club Magheramason,-6
KMJarvis,Zimbabwe,Bangladesh,0,0,0,0,0,24,4,31,2,0,7.75,Shere Bangla National Stadium Mirpur,50
