Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
KuldeepYadav,India,West Indies,0,0,0,0,0,26,4,39,1,0,9.75,Sabina Park Kingston,0,0,2017,23
KuldeepYadav,India,Australia,0,0,0,0,0,53,8,55,0,0,6.875,Kennington Oval,0,0,2019,0
KuldeepYadav,India,West Indies,0,0,0,0,0,60,10,59,2,1,5.9,Queen's Park Oval Trinidad,0,0,2019,60
KuldeepYadav,India,West Indies,2,6,0,0,33.33333333333333,59,9,31,2,2,3.4444444444444446,Sir Vivian Richards Stadium North Sound,0,0,2017,68
KuldeepYadav,India,West Indies,0,1,0,0,0.0,55,9,36,1,1,4.0,Old Trafford,0,0,2019,29
KuldeepYadav,India,West Indies,0,0,0,0,0,11,1,3,1,0,3.0,Providence Stadium Guyana,0,0,2019,25
KuldeepYadav,India,West Indies,0,0,0,0,0,59,9,36,0,0,4.0,Sabina Park Kingston,0,1,2017,12
KuldeepYadav,India,South Africa,0,0,0,0,0,60,10,46,1,1,4.6,The Rose Bowl,0,0,2019,37
KuldeepYadav,India,Pakistan,0,0,0,0,0,53,8,32,2,1,4.0,Old Trafford,0,0,2019,62
KuldeepYadav,India,West Indies,0,0,0,0,0,59,9,41,3,1,4.555555555555555,Sir Vivian Richards Stadium North Sound,0,0,2017,87
KuldeepYadav,India,West Indies,0,0,0,0,0,53,8,50,3,0,6.25,Queen's Park Oval Port of Spain,0,0,2017,75
KuldeepYadav,India,Afghanistan,1,1,0,0,100.0,59,9,39,0,0,4.333333333333333,The Rose Bowl,0,0,2019,5
KuldeepYadav,India,Sri Lanka,0,0,0,0,0,60,10,59,1,0,5.9,Headingley,0,0,2019,27
