Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
MDGunathilaka,Sri Lanka,India,2,8,0,0,25.0,0,0,0,0,0,0,JSCA International Stadium Complex,0,1,2016,4
MDGunathilaka,Sri Lanka,England,26,17,4,0,152.94117647058823,5,0,9,0,0,0,The Rose Bowl,0,0,2016,30
MDGunathilaka,Sri Lanka,Pakistan,57,41,8,1,139.02439024390242,0,0,0,0,0,0,Gaddafi Stadium,0,3,2019,99
MDGunathilaka,Sri Lanka,New Zealand,30,25,4,0,120.0,5,0,7,0,0,0,Pallekele International Cricket Stadium,0,1,2019,42
MDGunathilaka,Sri Lanka,Australia,11,13,2,0,84.61538461538461,0,0,0,0,0,0,Adelaide Oval,0,0,2019,13
MDGunathilaka,Sri Lanka,Pakistan,8,10,1,0,80.0,5,0,15,0,0,0,Gaddafi Stadium,0,1,2019,17
MDGunathilaka,Sri Lanka,New Zealand,8,6,1,0,133.33333333333331,0,0,0,0,0,0,Eden Park,0,0,2016,9
MDGunathilaka,Sri Lanka,New Zealand,46,31,3,2,148.38709677419354,0,0,0,0,0,0,Bay Oval,0,0,2016,53
MDGunathilaka,Sri Lanka,India,9,18,0,1,50.0,0,0,0,0,0,0,Maharashtra Cricket Association Stadium,0,1,2016,15
MDGunathilaka,Sri Lanka,Pakistan,15,10,3,0,150.0,0,0,0,0,0,0,Gaddafi Stadium,0,0,2019,18
