Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
MJHenry,New Zealand,Pakistan,10,6,1,0,166.66666666666669,25,4,32,1,1,8.0,Eden Park,0,0,2016,44
MJHenry,New Zealand,Bangladesh,0,0,0,0,0,26,4,44,1,0,11.0,McLean Park,0,1,2017,29
MJHenry,New Zealand,Pakistan,0,0,0,0,0,11,1,14,1,0,14.0,Dubai International Cricket Stadium,0,0,2014,25
MJHenry,New Zealand,Pakistan,0,0,0,0,0,24,4,32,0,0,8.0,Dubai International Cricket Stadium,0,0,2014,0
MJHenry,New Zealand,England,0,0,0,0,0,23,3,33,1,0,11.0,Old Trafford,0,0,2015,21
MJHenry,New Zealand,Sri Lanka,0,0,0,0,0,24,4,44,3,0,11.0,Bay Oval,0,0,2016,71
MJHenry,New Zealand,England,4,3,0,0,133.33333333333331,59,9,40,1,2,4.444444444444445,Lord's,0,0,2019,49
MJHenry,New Zealand,Pakistan,0,0,0,0,0,60,10,73,1,0,7.3,Sheikh Zayed Stadium,0,0,2014,25
MJHenry,New Zealand,Bangladesh,6,9,1,0,66.66666666666666,56,9,48,4,1,5.333333333333333,Kennington Oval,0,0,2019,123
MJHenry,New Zealand,Ireland,0,0,0,0,0,47,7,40,3,1,5.714285714285714,Malahide,0,0,2017,85
MJHenry,New Zealand,South Africa,0,0,0,0,0,51,8,40,2,2,5.0,Seddon Park,0,0,2014,68
MJHenry,New Zealand,South Africa,0,0,0,0,0,59,9,35,0,2,3.888888888888889,Edgbaston,0,0,2019,22
MJHenry,New Zealand,South Africa,0,0,0,0,0,48,8,40,0,2,5.0,Eden Park,0,0,2015,18
MJHenry,New Zealand,India,6,12,0,0,50.0,59,9,51,1,0,5.666666666666667,Feroz Shah Kotla,0,0,2016,29
MJHenry,New Zealand,India,0,0,0,0,0,61,10,38,4,1,3.8,Westpac Stadium,0,0,2014,122
MJHenry,New Zealand,West Indies,0,0,0,0,0,55,9,78,1,0,8.666666666666666,Old Trafford,0,0,2019,25
MJHenry,New Zealand,Australia,7,13,0,0,53.84615384615385,63,10,93,0,0,9.3,Manuka Oval,0,0,2016,1
MJHenry,New Zealand,England,7,13,0,0,53.84615384615385,61,10,54,2,1,5.4,Riverside Ground,0,1,2019,71
MJHenry,New Zealand,England,12,7,1,1,171.42857142857142,32,5,37,1,0,7.4,Riverside Ground,0,0,2015,40
MJHenry,New Zealand,Pakistan,0,0,0,0,0,41,6,25,0,0,4.166666666666667,Edgbaston,1,0,2019,16
MJHenry,New Zealand,Afghanistan,0,0,0,0,0,47,7,50,0,0,7.142857142857143,The Cooper Associates County Ground,0,1,2019,8
MJHenry,New Zealand,Zimbabwe,0,0,0,0,0,56,9,58,0,0,6.444444444444445,Harare Sports Club,0,0,2015,0
MJHenry,New Zealand,Australia,0,2,0,0,0.0,59,9,57,2,3,6.333333333333333,Westpac Stadium,0,0,2016,66
MJHenry,New Zealand,England,0,0,0,0,0,65,10,69,2,0,6.9,The Rose Bowl,0,0,2015,50
MJHenry,New Zealand,India,1,2,0,0,50.0,62,10,39,3,1,3.9,Old Trafford,0,0,2019,86
MJHenry,New Zealand,Bangladesh,0,0,0,0,0,51,8,54,2,0,6.75,Saxton Oval,0,0,2016,50
MJHenry,New Zealand,Pakistan,1,3,0,0,33.33333333333333,55,9,69,3,0,7.666666666666667,Sharjah Cricket Stadium,0,0,2014,70
MJHenry,New Zealand,Pakistan,0,0,0,0,0,62,10,46,4,0,4.6,Sharjah Cricket Stadium,0,0,2014,112
MJHenry,New Zealand,Sri Lanka,0,0,0,0,0,57,9,37,4,2,4.111111111111111,Hagley Oval,0,1,2015,136
MJHenry,New Zealand,Australia,27,16,3,1,168.75,61,10,75,2,0,7.5,Sydney Cricket Ground,0,0,2016,82
MJHenry,New Zealand,Sri Lanka,0,0,0,0,0,63,10,40,5,2,4.0,Bay Oval,0,0,2016,161
MJHenry,New Zealand,Australia,0,7,0,0,0.0,56,9,46,2,1,5.111111111111111,Melbourne Cricket Ground,0,0,2015,52
MJHenry,New Zealand,Bangladesh,5,14,0,0,35.714285714285715,60,10,49,0,0,4.9,Clontarf Cricket Club Ground,0,0,2017,3
MJHenry,New Zealand,India,39,39,4,1,100.0,56,9,56,2,0,6.222222222222222,Punjab Cricket Association Stadium Mohali,0,0,2016,95
MJHenry,New Zealand,Australia,5,7,0,0,71.42857142857143,38,6,41,3,0,6.833333333333333,Eden Park,0,0,2016,80
MJHenry,New Zealand,Pakistan,0,0,0,0,0,62,10,44,2,1,4.4,Eden Park,0,0,2016,62
MJHenry,New Zealand,Pakistan,0,0,0,0,0,54,9,30,5,1,3.3333333333333335,Sheikh Zayed Stadium,0,0,2014,155
MJHenry,New Zealand,Sri Lanka,20,17,2,0,117.64705882352942,58,9,34,2,0,3.7777777777777777,Seddon Park,0,0,2015,78
MJHenry,New Zealand,Sri Lanka,0,0,0,0,0,42,7,29,3,0,4.142857142857143,Sophia Gardens,0,1,2019,87
MJHenry,New Zealand,England,0,5,0,0,0.0,62,10,73,0,0,7.3,Edgbaston,0,2,2015,8
MJHenry,New Zealand,England,0,0,0,0,0,59,9,78,2,0,8.666666666666666,Trent Bridge,0,1,2015,58
MJHenry,New Zealand,Zimbabwe,0,0,0,0,0,50,8,45,0,2,5.625,Harare Sports Club,0,0,2015,18
MJHenry,New Zealand,Pakistan,48,32,4,4,150.0,51,8,43,0,0,5.375,Basin Reserve,0,2,2016,78
