Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
MMuralitharan,Sri Lanka,West Indies,0,0,0,0,0,25,4,29,3,0,7.25,Kennington Oval,0,0,2009,75
MMuralitharan,Sri Lanka,New Zealand,0,0,0,0,0,23,3,18,1,0,6.0,Trent Bridge,0,0,2009,25
MMuralitharan,Sri Lanka,Pakistan,0,0,0,0,0,17,2,20,1,0,10.0,Lord's,0,0,2009,23
MMuralitharan,Sri Lanka,New Zealand,0,0,0,0,0,25,4,29,2,0,7.25,Westpac Stadium,0,0,2006,50
MMuralitharan,Sri Lanka,West Indies,0,0,0,0,0,24,4,25,1,0,6.25,Trent Bridge,0,0,2009,25
MMuralitharan,Sri Lanka,Australia,0,0,0,0,0,24,4,31,0,0,7.75,Western Australia Cricket Association Ground,0,1,2010,8
MMuralitharan,Sri Lanka,Australia,0,0,0,0,0,23,3,29,0,0,9.666666666666666,Trent Bridge,0,0,2009,-2
MMuralitharan,Sri Lanka,Pakistan,0,0,0,0,0,23,3,28,2,0,9.333333333333334,Lord's,0,0,2009,48
MMuralitharan,Sri Lanka,New Zealand,0,0,0,0,0,23,3,25,2,0,8.333333333333334,Providence Stadium,0,0,2010,50
MMuralitharan,Sri Lanka,West Indies,0,0,0,0,0,26,4,28,0,0,7.0,Kensington Oval Bridgetown,0,0,2010,0
MMuralitharan,Sri Lanka,Ireland,0,1,0,0,0.0,23,3,14,1,0,4.666666666666667,Lord's,0,0,2009,21
MMuralitharan,Sri Lanka,Pakistan,1,4,0,0,25.0,24,4,33,0,0,8.25,R Premadasa Stadium,0,0,2009,-5
