Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
MRGillespie,New Zealand,Pakistan,0,0,0,0,0,18,3,30,0,0,10.0,Newlands,-2
MRGillespie,New Zealand,Sri Lanka,0,0,0,0,0,17,2,30,0,0,15.0,New Wanderers Stadium,-6
MRGillespie,New Zealand,England,7,8,0,0,87.5,24,4,37,0,0,9.25,Kingsmead,5
MRGillespie,New Zealand,Pakistan,0,0,0,0,0,18,3,30,0,0,10.0,Newlands,-2
MRGillespie,New Zealand,Pakistan,0,0,0,0,0,18,3,30,0,0,10.0,Newlands,-2
MRGillespie,New Zealand,Sri Lanka,0,0,0,0,0,17,2,30,0,0,15.0,New Wanderers Stadium,-6
MRGillespie,New Zealand,England,7,8,0,0,87.5,24,4,37,0,0,9.25,Kingsmead,5
MRGillespie,New Zealand,Pakistan,0,0,0,0,0,18,3,30,0,0,10.0,Newlands,-2
MRGillespie,New Zealand,Sri Lanka,0,0,0,0,0,17,2,30,0,0,15.0,New Wanderers Stadium,-6
MRGillespie,New Zealand,England,7,8,0,0,87.5,24,4,37,0,0,9.25,Kingsmead,5
MRGillespie,New Zealand,South Africa,3,8,0,0,37.5,19,3,11,2,1,3.6666666666666665,Kingsmead,61
MRGillespie,New Zealand,Australia,4,7,0,0,57.14285714285714,24,4,39,2,1,9.75,Western Australia Cricket Association Ground,56
MRGillespie,New Zealand,England,0,0,0,0,0,23,3,25,0,1,8.333333333333334,Old Trafford,8
MRGillespie,New Zealand,India,0,1,0,0,0.0,25,4,44,0,0,11.0,New Wanderers Stadium,-12
MRGillespie,New Zealand,Kenya,0,0,0,0,0,18,3,7,4,0,2.3333333333333335,Kingsmead,114
MRGillespie,New Zealand,Sri Lanka,0,0,0,0,0,19,3,13,1,0,4.333333333333333,Eden Park,29
MRGillespie,New Zealand,Sri Lanka,3,2,0,0,150.0,0,0,0,0,0,0,Westpac Stadium,3
MRGillespie,New Zealand,South Africa,4,6,0,0,66.66666666666666,25,4,22,1,0,5.5,New Wanderers Stadium,29
MRGillespie,New Zealand,Pakistan,0,0,0,0,0,18,3,30,0,0,10.0,Newlands,-2
MRGillespie,New Zealand,Sri Lanka,0,0,0,0,0,17,2,30,0,0,15.0,New Wanderers Stadium,-6
MRGillespie,New Zealand,England,7,8,0,0,87.5,24,4,37,0,0,9.25,Kingsmead,5
MRGillespie,New Zealand,South Africa,3,8,0,0,37.5,19,3,11,2,1,3.6666666666666665,Kingsmead,61
MRGillespie,New Zealand,Australia,4,7,0,0,57.14285714285714,24,4,39,2,1,9.75,Western Australia Cricket Association Ground,56
