Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
MohammadAshraful,Bangladesh,West Indies,61,27,6,3,225.9259259259259,23,3,55,1,0,18.333333333333332,New Wanderers Stadium,0,0,2007,100
MohammadAshraful,Bangladesh,Pakistan,13,12,1,0,108.33333333333333,0,0,0,0,0,0,National Stadium,0,0,2008,14
MohammadAshraful,Bangladesh,South Africa,10,3,1,0,333.33333333333337,12,2,17,0,0,8.5,Newlands,0,0,2007,11
MohammadAshraful,Bangladesh,Sri Lanka,4,8,0,0,50.0,12,2,15,0,0,7.5,New Wanderers Stadium,0,0,2007,0
MohammadAshraful,Bangladesh,Pakistan,7,4,1,0,175.0,23,3,42,3,0,14.0,Gymkhana Club Ground,0,1,2007,85
MohammadAshraful,Bangladesh,Australia,7,6,1,0,116.66666666666667,0,0,0,0,0,0,Newlands,0,0,2007,8
MohammadAshraful,Bangladesh,New Zealand,11,14,1,0,78.57142857142857,0,0,0,0,0,0,Seddon Park,0,0,2010,12
MohammadAshraful,Bangladesh,Sri Lanka,43,28,4,2,153.57142857142858,0,0,0,0,0,0,Pallekele International Cricket Stadium,0,0,2013,51
MohammadAshraful,Bangladesh,Ireland,15,13,2,0,115.38461538461537,0,0,0,0,0,0,Civil Service Cricket Club Stormont,0,1,2012,25
MohammadAshraful,Bangladesh,Kenya,36,21,4,1,171.42857142857142,25,4,32,1,0,8.0,Gymkhana Club Ground,0,0,2007,67
MohammadAshraful,Bangladesh,West Indies,0,1,0,0,0.0,11,1,18,2,0,18.0,Warner Park Basseterre,0,0,2009,42
MohammadAshraful,Bangladesh,Ireland,14,10,1,1,140.0,0,0,0,0,0,0,Trent Bridge,0,1,2009,25
MohammadAshraful,Bangladesh,India,11,9,1,0,122.22222222222223,0,0,0,0,0,0,Trent Bridge,0,0,2009,12
MohammadAshraful,Bangladesh,South Africa,21,12,5,0,175.0,0,0,0,0,0,0,New Wanderers Stadium,0,1,2008,34
MohammadAshraful,Bangladesh,New Zealand,21,21,2,0,100.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,0,0,2012,23
MohammadAshraful,Bangladesh,Pakistan,5,4,0,0,125.0,0,0,0,0,0,0,Newlands,0,0,2007,5
MohammadAshraful,Bangladesh,West Indies,24,25,2,0,96.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2011,26
MohammadAshraful,Bangladesh,Australia,0,3,0,0,0.0,24,4,24,1,0,6.0,Kensington Oval Bridgetown,0,0,2010,17
MohammadAshraful,Bangladesh,Pakistan,14,13,3,0,107.6923076923077,0,0,0,0,0,0,Pallekele International Cricket Stadium,0,0,2012,17
MohammadAshraful,Bangladesh,Pakistan,65,51,4,3,127.45098039215685,5,0,8,0,0,0,Beausejour Stadium Gros Islet,0,0,2010,83
