Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
NNOdhiambo,Kenya,Netherlands,3,1,0,0,300.0,24,4,35,0,0,8.75,Wanderers Cricket Ground,0,0,2013,3
NNOdhiambo,Kenya,Scotland,26,14,3,1,185.71428571428572,13,2,13,1,1,6.5,ICC Academy,0,0,2013,64
NNOdhiambo,Kenya,Ireland,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Civil Service Cricket Club Stormont,0,0,2008,-5
NNOdhiambo,Kenya,Netherlands,0,0,0,0,0,11,1,15,2,0,15.0,Wanderers Cricket Ground,0,0,2013,50
NNOdhiambo,Kenya,Netherlands,0,1,0,0,0.0,19,3,28,1,0,9.333333333333334,ICC Academy,0,1,2013,23
NNOdhiambo,Kenya,Canada,15,15,3,0,100.0,12,2,14,0,0,7.0,Sharjah Cricket Stadium,0,0,2013,18
NNOdhiambo,Kenya,Afghanistan,0,1,0,0,0.0,11,1,23,0,0,23.0,Sharjah Cricket Stadium,0,0,2013,-8
NNOdhiambo,Kenya,Canada,0,0,0,0,0,11,1,16,3,0,16.0,Dubai International Cricket Stadium,0,1,2010,83
NNOdhiambo,Kenya,Ireland,1,1,0,0,100.0,17,2,30,0,0,15.0,Mombasa Sports Club Ground,0,0,2012,-5
NNOdhiambo,Kenya,New Zealand,0,6,0,0,0.0,5,0,8,0,0,0,Kingsmead,0,0,2007,-8
NNOdhiambo,Kenya,Afghanistan,7,4,0,0,175.0,20,3,33,1,0,11.0,Sharjah Cricket Stadium,0,1,2013,36
NNOdhiambo,Kenya,Canada,1,4,0,0,25.0,17,2,26,0,0,13.0,ICC Global Cricket Academy,0,0,2013,-11
NNOdhiambo,Kenya,Ireland,13,13,1,0,100.0,11,1,17,1,0,17.0,Mombasa Sports Club Ground,0,0,2012,39
NNOdhiambo,Kenya,Ireland,4,13,1,0,30.76923076923077,12,2,21,0,0,10.5,Dubai International Cricket Stadium,0,0,2012,-5
NNOdhiambo,Kenya,Afghanistan,41,33,4,2,124.24242424242425,18,3,20,1,0,6.666666666666667,Sharjah Cricket Stadium,0,1,2013,82
NNOdhiambo,Kenya,Sri Lanka,5,9,1,0,55.55555555555556,25,4,57,1,0,14.25,New Wanderers Stadium,0,0,2007,21
