Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
NRKumar,Canada,Oman,22,19,1,0,115.78947368421053,11,1,16,0,0,16.0,Sheikh Zayed Stadium,0,0,2019,23
NRKumar,Canada,Ireland,53,36,5,1,147.22222222222223,5,0,7,0,0,0,Sheikh Zayed Stadium,0,1,2019,76
NRKumar,Canada,Netherlands,1,4,0,0,25.0,0,0,0,0,0,0,Dubai International Cricket Stadium,1,0,2012,7
NRKumar,Canada,United States of America,14,10,1,1,140.0,11,1,5,1,0,5.0,White Hill Field Sandys Parish,0,0,2019,42
NRKumar,Canada,Kenya,19,12,3,0,158.33333333333331,0,0,0,0,0,0,ICC Global Cricket Academy,0,0,2013,22
NRKumar,Canada,Afghanistan,38,38,3,0,100.0,0,0,0,0,0,0,ICC Global Cricket Academy,0,0,2012,41
NRKumar,Canada,United Arab Emirates,11,9,0,0,122.22222222222223,0,0,0,0,0,0,Sheikh Zayed Stadium,0,1,2019,19
NRKumar,Canada,United States of America,0,3,0,0,0.0,17,2,23,2,0,11.5,White Hill Field Sandys Parish,0,1,2019,44
NRKumar,Canada,Ireland,17,15,3,0,113.33333333333333,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2012,20
NRKumar,Canada,Scotland,17,22,1,1,77.27272727272727,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2012,20
NRKumar,Canada,Cayman Islands,41,33,4,1,124.24242424242425,0,0,0,0,0,0,White Hill Field Sandys Parish,0,0,2019,47
NRKumar,Canada,Nigeria,57,36,5,1,158.33333333333331,11,1,15,0,0,15.0,Sheikh Zayed Stadium,0,0,2019,72
NRKumar,Canada,Hong Kong,19,28,1,0,67.85714285714286,23,3,19,1,0,6.333333333333333,Tolerance Oval,0,0,2019,43
NRKumar,Canada,Bermuda,0,0,0,0,0,17,2,22,0,0,11.0,National Stadium,0,0,2019,-4
NRKumar,Canada,Kenya,5,10,0,0,50.0,0,0,0,0,0,0,ICC Global Cricket Academy,0,0,2013,1
NRKumar,Canada,Cayman Islands,37,37,2,2,100.0,17,2,21,1,0,10.5,White Hill Field Sandys Parish,0,0,2019,64
NRKumar,Canada,Jersey,83,37,4,6,224.32432432432435,11,1,15,0,0,15.0,Tolerance Oval,0,2,2019,123
