Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
NSPoonia,Scotland,Netherlands,25,27,1,0,92.5925925925926,0,0,0,0,0,0,Civil Service Cricket Club Stormont,0,1,2008,34
NSPoonia,Scotland,South Africa,0,1,0,0,0.0,0,0,0,0,0,0,Kennington Oval,0,0,2009,-8
NSPoonia,Scotland,New Zealand,27,15,2,1,180.0,0,0,0,0,0,0,Kennington Oval,0,0,2009,31
NSPoonia,Scotland,Bermuda,38,55,0,0,69.0909090909091,0,0,0,0,0,0,Civil Service Cricket Club Stormont,0,0,2008,36
NSPoonia,Scotland,Pakistan,4,6,0,0,66.66666666666666,0,0,0,0,0,0,Kingsmead,0,0,2007,2
NSPoonia,Scotland,Netherlands,0,2,0,0,0.0,0,0,0,0,0,0,Warner Park Basseterre,0,0,2007,-8
NSPoonia,Scotland,Australia,1,4,0,0,25.0,0,0,0,0,0,0,Warner Park Basseterre,0,0,2007,-5
NSPoonia,Scotland,Ireland,2,10,0,0,20.0,0,0,0,0,0,0,Willowmoore Park,0,0,2009,-4
NSPoonia,Scotland,Canada,0,3,0,0,0.0,0,0,0,0,0,0,Willowmoore Park,0,0,2009,-8
NSPoonia,Scotland,Netherlands,8,15,0,0,53.333333333333336,0,0,0,0,0,0,Civil Service Cricket Club Stormont,0,0,2007,4
