Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
NaeemIslam,Bangladesh,New Zealand,5,11,0,0,45.45454545454545,0,0,0,0,0,0,Seddon Park,0,0,2010,-1
NaeemIslam,Bangladesh,West Indies,27,18,2,2,150.0,12,2,21,0,0,10.5,Warner Park Basseterre,0,0,2009,29
NaeemIslam,Bangladesh,Ireland,7,10,0,0,70.0,11,1,9,0,0,9.0,Trent Bridge,0,0,2009,7
NaeemIslam,Bangladesh,India,28,19,0,3,147.36842105263156,17,2,32,2,0,16.0,Trent Bridge,0,0,2009,78
NaeemIslam,Bangladesh,South Africa,15,17,1,0,88.23529411764706,11,1,20,0,0,20.0,New Wanderers Stadium,0,0,2008,16
NaeemIslam,Bangladesh,West Indies,10,9,1,0,111.11111111111111,24,4,23,1,0,5.75,Shere Bangla National Stadium,0,1,2011,46
NaeemIslam,Bangladesh,Australia,7,6,0,1,116.66666666666667,0,0,0,0,0,0,Kensington Oval Bridgetown,0,0,2010,9
NaeemIslam,Bangladesh,Pakistan,3,9,0,0,33.33333333333333,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2011,-3
NaeemIslam,Bangladesh,New Zealand,18,10,3,1,180.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,1,2013,31
NaeemIslam,Bangladesh,Pakistan,10,10,1,0,100.0,11,1,18,0,0,18.0,Beausejour Stadium Gros Islet,0,0,2010,11
