Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
NoorAliZadran,Afghanistan,Ireland,16,24,1,0,66.66666666666666,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2010,15
NoorAliZadran,Afghanistan,West Indies,6,6,1,0,100.0,0,0,0,0,0,0,Warner Park Basseterre,0,1,2017,15
NoorAliZadran,Afghanistan,Hong Kong,9,17,1,0,52.94117647058824,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2016,6
NoorAliZadran,Afghanistan,South Africa,25,25,1,1,100.0,0,0,0,0,0,0,Wankhede Stadium,0,1,2016,36
NoorAliZadran,Afghanistan,India,50,49,4,0,102.04081632653062,0,0,0,0,0,0,Beausejour Stadium Gros Islet,0,0,2010,62
NoorAliZadran,Afghanistan,Zimbabwe,10,15,1,0,66.66666666666666,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2016,9
NoorAliZadran,Afghanistan,Sri Lanka,20,24,3,0,83.33333333333334,0,0,0,0,0,0,Eden Gardens,0,0,2016,23
NoorAliZadran,Afghanistan,South Africa,0,4,0,0,0.0,0,0,0,0,0,0,Kensington Oval Bridgetown,0,0,2010,-8
NoorAliZadran,Afghanistan,Scotland,9,13,0,0,69.23076923076923,0,0,0,0,0,0,Sharjah Cricket Stadium,0,1,2013,15
NoorAliZadran,Afghanistan,Oman,63,44,8,0,143.1818181818182,0,0,0,0,0,0,Khan Shaheb Osman Ali Stadium,0,0,2016,79
NoorAliZadran,Afghanistan,Netherlands,18,25,0,0,72.0,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2010,18
NoorAliZadran,Afghanistan,Ireland,42,45,5,0,93.33333333333333,0,0,0,0,0,0,Dubai International Cricket Stadium,0,1,2010,55
NoorAliZadran,Afghanistan,Kenya,50,49,4,1,102.04081632653062,0,0,0,0,0,0,Sharjah Cricket Stadium,0,0,2013,64
NoorAliZadran,Afghanistan,England,17,20,0,0,85.0,0,0,0,0,0,0,Feroz Shah Kotla,0,0,2016,17
NoorAliZadran,Afghanistan,Netherlands,11,5,2,0,220.00000000000003,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2012,13
NoorAliZadran,Afghanistan,Hong Kong,35,38,1,0,92.10526315789474,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2016,36
NoorAliZadran,Afghanistan,Scotland,17,12,2,1,141.66666666666669,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2016,21
NoorAliZadran,Afghanistan,West Indies,35,20,5,2,175.0,0,0,0,0,0,0,Warner Park Basseterre,0,0,2017,44
