Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
RJTrott,Bermuda,Cayman Islands,0,0,0,0,0,23,3,26,1,0,8.666666666666666,White Hill Field Sandys Parish,0,0,2019,25
RJTrott,Bermuda,Papua New Guinea,19,29,2,0,65.51724137931035,5,0,8,0,0,0,ICC Academy,0,0,2019,19
RJTrott,Bermuda,United States of America,0,0,0,0,0,11,1,11,0,0,11.0,Bermuda National Stadium,0,0,2019,0
RJTrott,Bermuda,Namibia,0,3,0,0,0.0,11,1,22,1,0,22.0,ICC Academy Ground No 2,0,0,2019,17
RJTrott,Bermuda,Kenya,5,7,1,0,71.42857142857143,17,2,22,1,0,11.0,ICC Academy,0,0,2019,27
RJTrott,Bermuda,Singapore,0,0,0,0,0,17,2,20,1,0,10.0,ICC Academy Ground No 2,0,0,2019,23
RJTrott,Bermuda,Cayman Islands,5,7,0,0,71.42857142857143,23,3,15,2,1,5.0,White Hill Field Sandys Parish,0,0,2019,65
RJTrott,Bermuda,Scotland,1,2,0,0,50.0,17,2,26,1,0,13.0,Dubai International Cricket Stadium,0,0,2019,16
RJTrott,Bermuda,Netherlands,0,7,0,0,0.0,24,4,31,1,0,7.75,Dubai International Cricket Stadium,0,0,2019,17
RJTrott,Bermuda,Scotland,0,5,0,0,0.0,23,3,25,0,0,8.333333333333334,Civil Service Cricket Club Stormont,0,0,2008,-8
RJTrott,Bermuda,United States of America,0,0,0,0,0,23,3,31,0,0,10.333333333333334,White Hill Field Sandys Parish,0,0,2019,-4
RJTrott,Bermuda,Canada,48,101,3,0,47.524752475247524,55,9,44,2,1,4.888888888888889,Maple Leaf North-West Ground,0,1,2008,115
RJTrott,Bermuda,Kenya,22,48,2,0,45.83333333333333,31,5,33,1,0,6.6,Gymkhana Club Ground,0,0,2007,43
RJTrott,Bermuda,Kenya,25,43,2,0,58.139534883720934,54,9,35,1,0,3.888888888888889,Gymkhana Club Ground,0,1,2007,62
