Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
RMHira,New Zealand,South Africa,0,0,0,0,0,23,3,38,1,0,12.666666666666666,Buffalo Park,19
RMHira,New Zealand,India,0,0,0,0,0,11,1,20,0,0,20.0,MA Chidambaram Stadium Chepauk,0
RMHira,New Zealand,West Indies,0,0,0,0,0,15,2,22,0,0,11.0,Central Broward Regional Park Stadium Turf Ground,-4
RMHira,New Zealand,England,0,0,0,0,0,24,4,34,1,0,8.5,Kennington Oval,25
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,24,4,23,1,0,5.75,Eden Park,27
RMHira,New Zealand,South Africa,0,0,0,0,0,11,1,12,1,0,12.0,Westpac Stadium,25
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,17,2,31,1,0,15.5,Seddon Park,19
RMHira,New Zealand,South Africa,0,0,0,0,0,24,4,34,0,0,8.5,Seddon Park,0
RMHira,New Zealand,West Indies,0,0,0,0,0,25,4,24,1,0,6.0,Pallekele International Cricket Stadium,25
RMHira,New Zealand,England,20,11,1,1,181.8181818181818,23,3,42,2,0,14.0,Eden Park,67
RMHira,New Zealand,South Africa,5,13,0,0,38.46153846153847,17,2,15,1,0,7.5,Kingsmead,24
RMHira,New Zealand,South Africa,12,10,1,0,120.0,23,3,24,1,1,8.0,St George's Park,46
RMHira,New Zealand,South Africa,0,0,0,0,0,12,2,20,0,0,10.0,Eden Park,-2
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,24,4,23,1,0,5.75,Eden Park,27
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,17,2,31,1,0,15.5,Seddon Park,19
RMHira,New Zealand,England,0,0,0,0,0,24,4,34,1,0,8.5,Kennington Oval,25
RMHira,New Zealand,South Africa,5,13,0,0,38.46153846153847,17,2,15,1,0,7.5,Kingsmead,24
RMHira,New Zealand,South Africa,0,0,0,0,0,12,2,20,0,0,10.0,Eden Park,-2
RMHira,New Zealand,South Africa,0,0,0,0,0,11,1,12,1,0,12.0,Westpac Stadium,25
RMHira,New Zealand,India,0,0,0,0,0,11,1,20,0,0,20.0,MA Chidambaram Stadium Chepauk,0
RMHira,New Zealand,West Indies,0,0,0,0,0,25,4,24,1,0,6.0,Pallekele International Cricket Stadium,25
RMHira,New Zealand,South Africa,0,0,0,0,0,23,3,38,1,0,12.666666666666666,Buffalo Park,19
RMHira,New Zealand,South Africa,0,0,0,0,0,24,4,34,0,0,8.5,Seddon Park,0
RMHira,New Zealand,South Africa,12,10,1,0,120.0,23,3,24,1,1,8.0,St George's Park,46
RMHira,New Zealand,West Indies,0,0,0,0,0,15,2,22,0,0,11.0,Central Broward Regional Park Stadium Turf Ground,-4
RMHira,New Zealand,England,20,11,1,1,181.8181818181818,23,3,42,2,0,14.0,Eden Park,67
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,24,4,23,1,0,5.75,Eden Park,27
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,17,2,31,1,0,15.5,Seddon Park,19
RMHira,New Zealand,England,0,0,0,0,0,24,4,34,1,0,8.5,Kennington Oval,25
RMHira,New Zealand,South Africa,5,13,0,0,38.46153846153847,17,2,15,1,0,7.5,Kingsmead,24
RMHira,New Zealand,South Africa,0,0,0,0,0,12,2,20,0,0,10.0,Eden Park,-2
RMHira,New Zealand,South Africa,0,0,0,0,0,11,1,12,1,0,12.0,Westpac Stadium,25
RMHira,New Zealand,India,0,0,0,0,0,11,1,20,0,0,20.0,MA Chidambaram Stadium Chepauk,0
RMHira,New Zealand,West Indies,0,0,0,0,0,25,4,24,1,0,6.0,Pallekele International Cricket Stadium,25
RMHira,New Zealand,South Africa,0,0,0,0,0,23,3,38,1,0,12.666666666666666,Buffalo Park,19
RMHira,New Zealand,South Africa,0,0,0,0,0,24,4,34,0,0,8.5,Seddon Park,0
RMHira,New Zealand,South Africa,12,10,1,0,120.0,23,3,24,1,1,8.0,St George's Park,46
RMHira,New Zealand,West Indies,0,0,0,0,0,15,2,22,0,0,11.0,Central Broward Regional Park Stadium Turf Ground,-4
RMHira,New Zealand,England,20,11,1,1,181.8181818181818,23,3,42,2,0,14.0,Eden Park,67
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,24,4,23,1,0,5.75,Eden Park,27
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,17,2,31,1,0,15.5,Seddon Park,19
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,24,4,23,1,0,5.75,Eden Park,27
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,17,2,31,1,0,15.5,Seddon Park,19
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,24,4,23,1,0,5.75,Eden Park,27
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,17,2,31,1,0,15.5,Seddon Park,19
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,24,4,23,1,0,5.75,Eden Park,27
RMHira,New Zealand,Zimbabwe,0,0,0,0,0,17,2,31,1,0,15.5,Seddon Park,19
