Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
RRPant,India,West Indies,38,35,2,1,108.57142857142857,0,0,0,0,0,0,Sabina Park Kingston,42
RRPant,India,West Indies,4,6,0,0,66.66666666666666,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,2
RRPant,India,South Africa,19,20,1,1,95.0,0,0,0,0,0,0,M.Chinnaswamy Stadium,22
RRPant,India,West Indies,65,42,4,4,154.76190476190476,0,0,0,0,0,0,Providence Stadium Guyana,85
RRPant,India,South Africa,4,5,0,0,80.0,0,0,0,0,0,0,Punjab Cricket Association IS Bindra Stadium Mohali,4
RRPant,India,England,5,4,1,0,125.0,0,0,0,0,0,0,M Chinnaswamy Stadium,6
RRPant,India,West Indies,0,1,0,0,0.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,-8
RRPant,India,West Indies,65,42,4,4,154.76190476190476,0,0,0,0,0,0,Providence Stadium Guyana,85
RRPant,India,England,5,4,1,0,125.0,0,0,0,0,0,0,M Chinnaswamy Stadium,6
RRPant,India,West Indies,38,35,2,1,108.57142857142857,0,0,0,0,0,0,Sabina Park Kingston,42
RRPant,India,West Indies,4,6,0,0,66.66666666666666,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,2
RRPant,India,West Indies,0,1,0,0,0.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,-8
RRPant,India,South Africa,19,20,1,1,95.0,0,0,0,0,0,0,M.Chinnaswamy Stadium,22
RRPant,India,South Africa,4,5,0,0,80.0,0,0,0,0,0,0,Punjab Cricket Association IS Bindra Stadium Mohali,4
RRPant,India,West Indies,65,42,4,4,154.76190476190476,0,0,0,0,0,0,Providence Stadium Guyana,85
RRPant,India,England,5,4,1,0,125.0,0,0,0,0,0,0,M Chinnaswamy Stadium,6
RRPant,India,West Indies,38,35,2,1,108.57142857142857,0,0,0,0,0,0,Sabina Park Kingston,42
RRPant,India,West Indies,4,6,0,0,66.66666666666666,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,2
RRPant,India,West Indies,0,1,0,0,0.0,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,-8
RRPant,India,South Africa,19,20,1,1,95.0,0,0,0,0,0,0,M.Chinnaswamy Stadium,22
RRPant,India,South Africa,4,5,0,0,80.0,0,0,0,0,0,0,Punjab Cricket Association IS Bindra Stadium Mohali,4
