Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
RTPonting,Australia,England,0,3,0,0,0.0,0,0,0,0,0,0,The Rose Bowl,0,2,2005,8
RTPonting,Australia,South Africa,27,19,2,2,142.10526315789474,0,0,0,0,0,0,Brisbane Cricket Ground Woolloongabba,1,0,2006,45
RTPonting,Australia,England,47,26,4,2,180.76923076923077,0,0,0,0,0,0,Sydney Cricket Ground,0,0,2007,55
RTPonting,Australia,South Africa,21,20,1,0,105.0,0,0,0,0,0,0,Melbourne Cricket Ground,0,0,2009,22
RTPonting,Australia,New Zealand,98,55,8,5,178.1818181818182,0,0,0,0,0,0,Eden Park,0,1,2005,132
RTPonting,Australia,Bangladesh,6,8,0,0,75.0,0,0,0,0,0,0,Newlands,0,2,2007,22
RTPonting,Australia,South Africa,1,3,0,0,33.33333333333333,0,0,0,0,0,0,SuperSport Park,0,0,2009,-5
RTPonting,Australia,Zimbabwe,8,15,1,0,53.333333333333336,0,0,0,0,0,0,Newlands,0,0,2007,5
RTPonting,Australia,Sri Lanka,25,16,5,0,156.25,0,0,0,0,0,0,Trent Bridge,0,1,2009,38
RTPonting,Australia,Pakistan,27,26,3,0,103.84615384615385,0,0,0,0,0,0,New Wanderers Stadium,0,0,2007,30
RTPonting,Australia,South Africa,1,5,0,0,20.0,0,0,0,0,0,0,New Wanderers Stadium,0,1,2009,3
RTPonting,Australia,South Africa,6,8,1,0,75.0,0,0,0,0,0,0,New Wanderers Stadium,0,0,2006,7
RTPonting,Australia,India,76,54,13,0,140.74074074074073,0,0,0,0,0,0,Brabourne Stadium,0,1,2007,105
RTPonting,Australia,England,20,16,1,1,125.0,0,0,0,0,0,0,Newlands,0,0,2007,23
RTPonting,Australia,South Africa,38,34,3,1,111.76470588235294,0,0,0,0,0,0,Brisbane Cricket Ground Woolloongabba,0,0,2009,43
RTPonting,Australia,West Indies,0,3,0,0,0.0,0,0,0,0,0,0,Kennington Oval,0,0,2009,-8
