Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
RVinayKumar,India,England,0,0,0,0,0,11,1,19,0,0,19.0,Eden Gardens,0,0,2011,0
RVinayKumar,India,Sri Lanka,0,0,0,0,0,23,3,30,2,0,10.0,Beausejour Stadium Gros Islet,0,0,2010,48
RVinayKumar,India,Australia,0,0,0,0,0,24,4,25,1,0,6.25,Melbourne Cricket Ground,0,0,2012,25
RVinayKumar,India,South Africa,0,0,0,0,0,17,2,32,0,0,16.0,New Wanderers Stadium,0,0,2012,-6
RVinayKumar,India,England,2,4,0,0,50.0,21,3,36,0,0,12.0,Old Trafford,0,0,2011,-8
RVinayKumar,India,Zimbabwe,0,0,0,0,0,17,2,26,3,0,13.0,Harare Sports Club,0,0,2010,69
RVinayKumar,India,Zimbabwe,0,0,0,0,0,24,4,30,0,0,7.5,Harare Sports Club,0,0,2010,0
RVinayKumar,India,Australia,0,0,0,0,0,24,4,28,1,0,7.0,Stadium Australia,0,0,2012,25
RVinayKumar,India,Australia,0,0,0,0,0,24,4,26,3,0,6.5,Saurashtra Cricket Association Stadium,0,0,2013,75
RVinayKumar,India,England,1,1,0,0,100.0,19,3,15,0,1,5.0,Riverside Ground,0,0,2011,11
RVinayKumar,India,Zimbabwe,0,0,0,0,0,48,8,51,2,0,6.375,Queens Sports Club,0,0,2010,50
RVinayKumar,India,Australia,0,0,0,0,0,47,7,52,2,0,7.428571428571429,JSCA International Stadium Complex,0,0,2013,50
RVinayKumar,India,England,0,0,0,0,0,54,9,30,4,1,3.3333333333333335,Feroz Shah Kotla,0,0,2011,122
RVinayKumar,India,Sri Lanka,0,0,0,0,0,61,10,60,1,1,6.0,Western Australia Cricket Association Ground,0,0,2012,33
RVinayKumar,India,Australia,11,19,1,0,57.89473684210527,53,8,69,1,0,8.625,Maharashtra Cricket Association Stadium,0,1,2013,41
RVinayKumar,India,England,0,0,0,0,0,25,4,33,1,0,8.25,The Rose Bowl,0,0,2011,25
RVinayKumar,India,Australia,6,13,0,0,46.15384615384615,60,10,63,0,0,6.3,Brisbane Cricket Ground Woolloongabba,0,0,2012,0
RVinayKumar,India,Sri Lanka,0,0,0,0,0,56,9,56,3,0,6.222222222222222,Shere Bangla National Stadium,0,0,2012,75
RVinayKumar,India,Australia,0,0,0,0,0,54,9,77,2,0,8.555555555555555,Sawai Mansingh Stadium,0,0,2013,50
RVinayKumar,India,England,0,0,0,0,0,17,2,21,0,0,10.5,Eden Gardens,0,0,2011,-4
RVinayKumar,India,Australia,0,0,0,0,0,53,8,71,0,1,8.875,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,1,2010,16
RVinayKumar,India,Sri Lanka,1,2,0,0,50.0,60,10,46,3,1,4.6,Adelaide Oval,0,0,2012,84
RVinayKumar,India,Sri Lanka,5,16,0,0,31.25,35,5,16,0,1,3.2,Queen's Park Oval Port of Spain,0,2,2013,29
RVinayKumar,India,Australia,0,0,0,0,0,61,10,59,2,1,5.9,Adelaide Oval,0,1,2012,68
RVinayKumar,India,England,0,0,0,0,0,29,4,24,0,0,6.0,Rajiv Gandhi International Stadium Uppal,0,1,2011,8
RVinayKumar,India,West Indies,2,8,0,0,25.0,53,8,48,1,2,6.0,Sabina Park Kingston,0,0,2011,37
RVinayKumar,India,Australia,0,0,0,0,0,54,9,102,1,0,11.333333333333334,M Chinnaswamy Stadium,0,0,2013,19
RVinayKumar,India,Australia,0,1,0,0,0.0,53,8,55,2,0,6.875,Punjab Cricket Association Stadium Mohali,0,0,2013,42
RVinayKumar,India,England,0,0,0,0,0,37,6,42,1,0,7.0,Sophia Gardens,0,0,2011,25
RVinayKumar,India,West Indies,0,0,0,0,0,23,3,35,0,0,11.666666666666666,Holkar Cricket Stadium,0,0,2011,-6
RVinayKumar,India,England,0,0,0,0,0,41,6,41,1,1,6.833333333333333,Wankhede Stadium,0,0,2011,33
RVinayKumar,India,Zimbabwe,0,0,0,0,0,42,7,33,1,0,4.714285714285714,Harare Sports Club,0,0,2013,29
RVinayKumar,India,West Indies,0,0,0,0,0,60,10,44,2,2,4.4,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0,0,2011,70
RVinayKumar,India,Zimbabwe,27,12,2,2,225.0,53,8,49,0,3,6.125,Harare Sports Club,0,0,2013,57
RVinayKumar,India,Zimbabwe,0,0,0,0,0,54,9,57,1,1,6.333333333333333,Harare Sports Club,0,0,2013,33
RVinayKumar,India,West Indies,3,8,0,0,37.5,48,8,39,2,2,4.875,Sardar Patel Stadium Motera,0,0,2011,67
RVinayKumar,India,England,0,0,0,0,0,53,8,64,1,1,8.0,Punjab Cricket Association Stadium Mohali,0,0,2011,33
RVinayKumar,India,West Indies,18,51,1,0,35.294117647058826,36,6,27,1,1,4.5,Barabati Stadium,1,0,2011,62
