Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
SJBenn,West Indies,Sri Lanka,0,4,0,0,0.0,23,3,24,1,0,8.0,Kennington Oval,0,0,2009,17
SJBenn,West Indies,England,0,0,0,0,0,24,4,25,3,0,6.25,Queen's Park Oval Port of Spain,0,1,2009,83
SJBenn,West Indies,New Zealand,0,3,0,0,0.0,23,3,47,1,0,15.666666666666666,Seddon Park,0,0,2008,11
SJBenn,West Indies,India,0,0,0,0,0,5,0,2,1,0,0,Kensington Oval Bridgetown,0,1,2010,33
SJBenn,West Indies,New Zealand,5,2,0,0,250.0,28,4,35,3,0,8.75,Eden Park,0,2,2008,96
SJBenn,West Indies,Australia,9,16,0,1,56.25,23,3,12,1,1,4.0,Beausejour Stadium Gros Islet,0,0,2010,44
SJBenn,West Indies,South Africa,0,0,0,0,0,23,3,24,0,0,8.0,Vidarbha Cricket Association Stadium Jamtha,0,1,2016,8
SJBenn,West Indies,Afghanistan,0,0,0,0,0,23,3,18,1,0,6.0,Vidarbha Cricket Association Stadium Jamtha,0,1,2016,33
SJBenn,West Indies,England,0,0,0,0,0,17,2,40,0,0,20.0,Eden Gardens,0,1,2016,2
SJBenn,West Indies,Sri Lanka,0,0,0,0,0,23,3,25,0,0,8.333333333333334,Trent Bridge,0,1,2009,8
SJBenn,West Indies,England,0,0,0,0,0,17,2,24,0,0,12.0,Providence Stadium,0,0,2010,-6
SJBenn,West Indies,India,0,0,0,0,0,23,3,36,0,0,12.0,Wankhede Stadium,0,0,2016,-6
SJBenn,West Indies,South Africa,4,4,0,0,100.0,17,2,20,0,0,10.0,Sir Vivian Richards Stadium North Sound,0,0,2010,2
SJBenn,West Indies,South Africa,0,0,0,0,0,17,2,42,1,0,21.0,New Wanderers Stadium,0,0,2015,19
SJBenn,West Indies,Australia,0,0,0,0,0,12,2,19,0,0,9.5,Kensington Oval Bridgetown,0,0,2008,-2
SJBenn,West Indies,India,0,0,0,0,0,18,3,26,0,0,8.666666666666666,Lord's,0,0,2009,0
SJBenn,West Indies,Sri Lanka,6,4,1,0,150.0,25,4,41,0,0,10.25,Kensington Oval Bridgetown,0,0,2010,3
SJBenn,West Indies,South Africa,0,0,0,0,0,17,2,26,1,0,13.0,Sir Vivian Richards Stadium North Sound,0,0,2010,19
SJBenn,West Indies,England,0,0,0,0,0,23,3,31,1,0,10.333333333333334,Kennington Oval,0,0,2009,21
SJBenn,West Indies,England,0,0,0,0,0,17,2,23,1,0,11.5,Wankhede Stadium,0,0,2016,19
SJBenn,West Indies,Sri Lanka,0,0,0,0,0,23,3,14,0,0,4.666666666666667,M Chinnaswamy Stadium,0,0,2016,4
SJBenn,West Indies,Zimbabwe,0,0,0,0,0,23,3,6,4,2,2.0,Queen's Park Oval Port of Spain,0,0,2010,130
SJBenn,West Indies,South Africa,13,9,2,0,144.44444444444443,23,3,36,1,0,12.0,Kennington Oval,0,0,2009,34
SJBenn,West Indies,Australia,0,0,0,0,0,24,4,36,0,0,9.0,Kennington Oval,0,3,2009,24
SJBenn,West Indies,South Africa,0,0,0,0,0,62,10,60,1,0,6.0,Kingsmead,0,0,2015,25
SJBenn,West Indies,England,2,12,0,0,16.666666666666664,61,10,58,0,0,5.8,MA Chidambaram Stadium Chepauk,0,0,2011,-2
SJBenn,West Indies,England,1,6,0,0,16.666666666666664,53,8,38,0,0,4.75,County Ground,0,0,2009,-1
SJBenn,West Indies,Australia,3,7,0,0,42.857142857142854,35,5,21,1,0,4.2,Providence Stadium,0,0,2016,26
SJBenn,West Indies,New Zealand,9,5,2,0,180.0,61,10,66,0,1,6.6,Westpac Stadium,0,1,2015,27
SJBenn,West Indies,Australia,1,5,0,0,20.0,59,9,59,0,1,6.555555555555555,National Cricket Stadium St George's,0,0,2008,3
SJBenn,West Indies,South Africa,0,2,0,0,0.0,41,6,35,0,0,5.833333333333333,Warner Park Basseterre,0,0,2016,-6
SJBenn,West Indies,India,0,0,0,0,0,29,4,31,1,0,7.75,Beausejour Stadium Gros Islet,0,0,2009,25
SJBenn,West Indies,Australia,2,3,0,0,66.66666666666666,60,10,40,1,0,4.0,Kensington Oval Bridgetown,0,0,2016,29
SJBenn,West Indies,South Africa,18,19,2,1,94.73684210526315,17,2,23,0,0,11.5,Buffalo Park,0,0,2015,16
SJBenn,West Indies,South Africa,0,0,0,0,0,59,9,49,0,0,5.444444444444445,New Wanderers Stadium,0,1,2015,10
