Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
SSCottrell,West Indies,South Africa,0,1,0,0,0.0,23,3,33,1,0,11.0,Kingsmead,13
SSCottrell,West Indies,England,0,0,0,0,0,25,4,37,2,0,9.25,Kensington Oval Bridgetown,48
SSCottrell,West Indies,India,0,0,0,0,0,26,4,27,2,0,6.75,Central Broward Regional Park Stadium Turf Ground,50
SSCottrell,West Indies,South Africa,0,0,0,0,0,25,4,33,2,0,8.25,Newlands,50
SSCottrell,West Indies,Bangladesh,0,0,0,0,0,12,2,5,0,1,2.5,Warner Park Basseterre,14
SSCottrell,West Indies,India,0,0,0,0,0,23,3,26,0,0,8.666666666666666,Providence Stadium Guyana,0
SSCottrell,West Indies,South Africa,0,0,0,0,0,18,3,48,0,0,16.0,New Wanderers Stadium,-6
SSCottrell,West Indies,India,0,1,0,0,0.0,27,4,20,2,0,5.0,Central Broward Regional Park Stadium Turf Ground,44
SSCottrell,West Indies,New Zealand,0,0,0,0,0,18,3,28,3,0,9.333333333333334,Windsor Park Roseau,73
SSCottrell,West Indies,England,0,0,0,0,0,25,4,37,2,0,9.25,Kensington Oval Bridgetown,48
SSCottrell,West Indies,India,0,0,0,0,0,23,3,26,0,0,8.666666666666666,Providence Stadium Guyana,0
SSCottrell,West Indies,South Africa,0,1,0,0,0.0,23,3,33,1,0,11.0,Kingsmead,13
SSCottrell,West Indies,India,0,0,0,0,0,26,4,27,2,0,6.75,Central Broward Regional Park Stadium Turf Ground,50
SSCottrell,West Indies,India,0,1,0,0,0.0,27,4,20,2,0,5.0,Central Broward Regional Park Stadium Turf Ground,44
SSCottrell,West Indies,Bangladesh,0,0,0,0,0,12,2,5,0,1,2.5,Warner Park Basseterre,14
SSCottrell,West Indies,New Zealand,0,0,0,0,0,18,3,28,3,0,9.333333333333334,Windsor Park Roseau,73
SSCottrell,West Indies,South Africa,0,0,0,0,0,25,4,33,2,0,8.25,Newlands,50
SSCottrell,West Indies,South Africa,0,0,0,0,0,18,3,48,0,0,16.0,New Wanderers Stadium,-6
SSCottrell,West Indies,England,0,0,0,0,0,25,4,37,2,0,9.25,Kensington Oval Bridgetown,48
SSCottrell,West Indies,India,0,0,0,0,0,23,3,26,0,0,8.666666666666666,Providence Stadium Guyana,0
SSCottrell,West Indies,South Africa,0,1,0,0,0.0,23,3,33,1,0,11.0,Kingsmead,13
SSCottrell,West Indies,India,0,0,0,0,0,26,4,27,2,0,6.75,Central Broward Regional Park Stadium Turf Ground,50
SSCottrell,West Indies,India,0,1,0,0,0.0,27,4,20,2,0,5.0,Central Broward Regional Park Stadium Turf Ground,44
SSCottrell,West Indies,Bangladesh,0,0,0,0,0,12,2,5,0,1,2.5,Warner Park Basseterre,14
SSCottrell,West Indies,New Zealand,0,0,0,0,0,18,3,28,3,0,9.333333333333334,Windsor Park Roseau,73
SSCottrell,West Indies,South Africa,0,0,0,0,0,25,4,33,2,0,8.25,Newlands,50
SSCottrell,West Indies,South Africa,0,0,0,0,0,18,3,48,0,0,16.0,New Wanderers Stadium,-6
SSCottrell,West Indies,England,0,0,0,0,0,25,4,37,2,0,9.25,Kensington Oval Bridgetown,48
