Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
SWMasakadza,Zimbabwe,Pakistan,0,0,0,0,0,25,4,37,1,0,9.25,Harare Sports Club,23
SWMasakadza,Zimbabwe,New Zealand,8,7,1,0,114.28571428571428,18,3,26,0,0,8.666666666666666,Eden Park,9
SWMasakadza,Zimbabwe,New Zealand,0,0,0,0,0,9,1,31,0,0,31.0,Seddon Park,0
SWMasakadza,Zimbabwe,Bangladesh,9,12,0,0,75.0,12,2,32,0,0,16.0,Queens Sports Club,3
SWMasakadza,Zimbabwe,Pakistan,0,0,0,0,0,25,4,37,1,0,9.25,Harare Sports Club,23
SWMasakadza,Zimbabwe,New Zealand,8,7,1,0,114.28571428571428,18,3,26,0,0,8.666666666666666,Eden Park,9
SWMasakadza,Zimbabwe,New Zealand,0,0,0,0,0,9,1,31,0,0,31.0,Seddon Park,0
SWMasakadza,Zimbabwe,Bangladesh,9,12,0,0,75.0,12,2,32,0,0,16.0,Queens Sports Club,3
SWMasakadza,Zimbabwe,Pakistan,0,0,0,0,0,25,4,37,1,0,9.25,Harare Sports Club,23
SWMasakadza,Zimbabwe,New Zealand,8,7,1,0,114.28571428571428,18,3,26,0,0,8.666666666666666,Eden Park,9
SWMasakadza,Zimbabwe,New Zealand,0,0,0,0,0,9,1,31,0,0,31.0,Seddon Park,0
SWMasakadza,Zimbabwe,Bangladesh,9,12,0,0,75.0,12,2,32,0,0,16.0,Queens Sports Club,3
SWMasakadza,Zimbabwe,West Indies,0,2,0,0,0.0,6,1,6,0,0,6.0,Queen's Park Oval Port of Spain,-8
SWMasakadza,Zimbabwe,Pakistan,0,1,0,0,0.0,23,3,42,1,0,14.0,Harare Sports Club,11
SWMasakadza,Zimbabwe,South Africa,1,2,0,0,50.0,24,4,39,2,0,9.75,De Beers Diamond Oval,45
SWMasakadza,Zimbabwe,Pakistan,0,0,0,0,0,25,4,37,1,0,9.25,Harare Sports Club,23
SWMasakadza,Zimbabwe,New Zealand,8,7,1,0,114.28571428571428,18,3,26,0,0,8.666666666666666,Eden Park,9
SWMasakadza,Zimbabwe,New Zealand,0,0,0,0,0,9,1,31,0,0,31.0,Seddon Park,0
SWMasakadza,Zimbabwe,Bangladesh,9,12,0,0,75.0,12,2,32,0,0,16.0,Queens Sports Club,3
