Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
SikandarRaza,Zimbabwe,Netherlands,7,11,0,0,63.63636363636363,23,3,25,1,0,8.333333333333334,Hazelaarweg,30
SikandarRaza,Zimbabwe,Bangladesh,6,8,0,0,75.0,5,0,16,0,0,0,Sheikh Abu Naser Stadium,6
SikandarRaza,Zimbabwe,Bangladesh,31,33,0,2,93.93939393939394,0,0,0,0,0,0,Queens Sports Club,35
SikandarRaza,Zimbabwe,India,10,18,0,0,55.55555555555556,5,0,6,0,0,0,Harare Sports Club,6
SikandarRaza,Zimbabwe,Hong Kong,3,4,0,0,75.0,12,2,12,1,0,6.0,Vidarbha Cricket Association Stadium Jamtha,28
SikandarRaza,Zimbabwe,Afghanistan,15,17,0,0,88.23529411764706,14,2,16,0,0,8.0,Vidarbha Cricket Association Stadium Jamtha,15
SikandarRaza,Zimbabwe,New Zealand,8,11,2,0,72.72727272727273,17,2,32,0,0,16.0,Harare Sports Club,4
SikandarRaza,Zimbabwe,Bangladesh,4,5,1,0,80.0,0,0,0,0,0,0,Shere Bangla National Stadium,5
SikandarRaza,Zimbabwe,Scotland,9,9,1,0,100.0,12,2,19,0,0,9.5,Vidarbha Cricket Association Stadium Jamtha,8
SikandarRaza,Zimbabwe,Pakistan,0,0,0,0,0,11,1,19,1,0,19.0,Gaddafi Stadium,25
SikandarRaza,Zimbabwe,Pakistan,36,36,1,0,100.0,0,0,0,0,0,0,Harare Sports Club,37
SikandarRaza,Zimbabwe,Afghanistan,1,5,0,0,20.0,6,1,17,0,0,17.0,Sharjah Cricket Stadium,-5
SikandarRaza,Zimbabwe,India,20,18,2,0,111.11111111111111,18,3,18,0,0,6.0,Harare Sports Club,22
SikandarRaza,Zimbabwe,Bangladesh,2,6,0,0,33.33333333333333,20,3,32,2,0,10.666666666666666,Sheikh Abu Naser Stadium,42
SikandarRaza,Zimbabwe,Bangladesh,7,6,1,0,116.66666666666667,12,2,8,2,0,4.0,Sheikh Abu Naser Stadium,62
SikandarRaza,Zimbabwe,Ireland,10,8,2,0,125.0,0,0,0,0,0,0,Sylhet Stadium,12
SikandarRaza,Zimbabwe,Bangladesh,14,14,0,0,100.0,0,0,0,0,0,0,Queens Sports Club,14
