Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
SoumyaSarkar,Bangladesh,Sri Lanka,29,22,3,1,131.8181818181818,0,0,0,0,0,0,R Premadasa Stadium,0,1,2017,42
SoumyaSarkar,Bangladesh,Zimbabwe,7,5,1,0,140.0,0,0,0,0,0,0,Sheikh Abu Naser Stadium,0,0,2016,8
SoumyaSarkar,Bangladesh,Pakistan,48,49,5,1,97.95918367346938,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2016,55
SoumyaSarkar,Bangladesh,India,14,9,2,0,155.55555555555557,0,0,0,0,0,0,Shere Bangla National Stadium,0,2,2016,32
SoumyaSarkar,Bangladesh,South Africa,7,7,1,0,100.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2015,8
SoumyaSarkar,Bangladesh,New Zealand,0,1,0,0,0.0,5,0,17,0,0,0,McLean Park,0,0,2017,-8
SoumyaSarkar,Bangladesh,Pakistan,0,2,0,0,0.0,0,0,0,0,0,0,Eden Gardens,0,1,2016,0
SoumyaSarkar,Bangladesh,United Arab Emirates,21,15,2,1,140.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2016,25
SoumyaSarkar,Bangladesh,India,21,21,1,1,100.0,0,0,0,0,0,0,M Chinnaswamy Stadium,0,1,2016,32
SoumyaSarkar,Bangladesh,South Africa,37,23,6,1,160.8695652173913,5,0,11,0,0,0,Shere Bangla National Stadium,0,0,2015,45
SoumyaSarkar,Bangladesh,Australia,1,6,0,0,16.666666666666664,0,0,0,0,0,0,M Chinnaswamy Stadium,0,1,2016,3
SoumyaSarkar,Bangladesh,New Zealand,6,9,0,0,66.66666666666666,0,0,0,0,0,0,Eden Gardens,0,0,2016,4
SoumyaSarkar,Bangladesh,Sri Lanka,34,19,3,2,178.94736842105263,0,0,0,0,0,0,R Premadasa Stadium,0,1,2017,49
SoumyaSarkar,Bangladesh,Oman,12,22,2,0,54.54545454545454,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,1,0,2016,22
SoumyaSarkar,Bangladesh,India,11,14,1,0,78.57142857142857,0,0,0,0,0,0,Shere Bangla National Stadium,0,2,2016,28
SoumyaSarkar,Bangladesh,Netherlands,15,13,2,0,115.38461538461537,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,0,0,2016,17
SoumyaSarkar,Bangladesh,Zimbabwe,11,7,0,1,157.14285714285714,0,0,0,0,0,0,Sheikh Abu Naser Stadium,0,0,2016,13
SoumyaSarkar,Bangladesh,Zimbabwe,25,21,3,1,119.04761904761905,0,0,0,0,0,0,Sheikh Abu Naser Stadium,0,1,2016,38
SoumyaSarkar,Bangladesh,Afghanistan,0,1,0,0,0.0,12,2,31,0,0,15.5,Shere Bangla National Stadium Mirpur,0,1,2019,-6
SoumyaSarkar,Bangladesh,Ireland,20,14,3,0,142.85714285714286,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,0,0,2016,23
SoumyaSarkar,Bangladesh,New Zealand,42,30,5,0,140.0,5,0,21,0,0,0,Bay Oval,0,1,2017,55
SoumyaSarkar,Bangladesh,Zimbabwe,43,35,4,3,122.85714285714286,0,0,0,0,0,0,Sheikh Abu Naser Stadium,0,2,2016,69
SoumyaSarkar,Bangladesh,Sri Lanka,0,3,0,0,0.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,2,2016,8
SoumyaSarkar,Bangladesh,New Zealand,39,26,3,2,150.0,0,0,0,0,0,0,Bay Oval,0,0,2017,46
SoumyaSarkar,Bangladesh,Zimbabwe,4,7,0,0,57.14285714285714,0,0,0,0,0,0,Shere Bangla National Stadium Mirpur,0,0,2019,0
SoumyaSarkar,Bangladesh,New Zealand,25,25,3,0,100.0,0,0,0,0,0,0,Kennington Oval,0,1,2019,36
SoumyaSarkar,Bangladesh,Sri Lanka,15,22,1,0,68.18181818181817,29,4,17,1,0,4.25,R.Premadasa Stadium Khettarama,0,3,2019,67
SoumyaSarkar,Bangladesh,Afghanistan,3,10,0,0,30.0,0,0,0,0,0,0,The Rose Bowl,0,0,2019,-3
SoumyaSarkar,Bangladesh,South Africa,27,28,4,0,96.42857142857143,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2015,31
SoumyaSarkar,Bangladesh,Afghanistan,11,11,1,0,100.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2016,12
SoumyaSarkar,Bangladesh,India,54,41,8,1,131.70731707317074,0,0,0,0,0,0,Shere Bangla National Stadium,0,1,2015,80
SoumyaSarkar,Bangladesh,Scotland,2,5,0,0,40.0,0,0,0,0,0,0,Saxton Oval,0,4,2015,28
SoumyaSarkar,Bangladesh,New Zealand,51,59,7,0,86.4406779661017,24,4,19,0,0,4.75,Seddon Park,0,1,2015,78
SoumyaSarkar,Bangladesh,South Africa,42,30,9,0,140.0,0,0,0,0,0,0,Kennington Oval,0,1,2019,59
SoumyaSarkar,Bangladesh,Sri Lanka,10,13,2,0,76.92307692307693,0,0,0,0,0,0,Rangiri Dambulla International Stadium,0,1,2017,20
SoumyaSarkar,Bangladesh,Afghanistan,0,3,0,0,0.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,1,2016,0
SoumyaSarkar,Bangladesh,New Zealand,3,13,0,0,23.076923076923077,0,0,0,0,0,0,Sophia Gardens,0,0,2017,-3
SoumyaSarkar,Bangladesh,Sri Lanka,38,46,3,1,82.6086956521739,0,0,0,0,0,0,Sinhalese Sports Club Ground,0,0,2017,43
