Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
TLBest,West Indies,Zimbabwe,0,0,0,0,0,25,4,20,3,0,5.0,Sir Vivian Richards Stadium North Sound,0,0,2013,77
TLBest,West Indies,Pakistan,17,9,0,1,188.88888888888889,12,2,20,0,0,10.0,Arnos Vale Ground Kingstown,0,0,2013,17
TLBest,West Indies,New Zealand,0,0,0,0,0,18,3,39,0,0,13.0,Westpac Stadium,0,0,2014,-6
TLBest,West Indies,New Zealand,0,0,0,0,0,23,3,41,3,0,13.666666666666666,Eden Park,0,0,2014,69
TLBest,West Indies,Australia,0,0,0,0,0,19,3,22,0,0,7.333333333333333,Brisbane Cricket Ground Woolloongabba,1,0,2013,12
TLBest,West Indies,Pakistan,0,0,0,0,0,24,4,25,0,0,6.25,Arnos Vale Ground Kingstown,0,0,2013,0
TLBest,West Indies,Sri Lanka,5,12,1,0,41.66666666666667,40,6,43,0,0,7.166666666666667,Queen's Park Oval Port of Spain,0,0,2013,0
TLBest,West Indies,Zimbabwe,0,0,0,0,0,56,9,40,2,0,4.444444444444445,National Cricket Stadium St George's,0,0,2013,54
TLBest,West Indies,New Zealand,0,0,0,0,0,54,9,70,1,0,7.777777777777778,Saxton Oval,0,0,2014,25
TLBest,West Indies,Pakistan,8,19,1,0,42.10526315789473,44,7,50,0,0,7.142857142857143,New Wanderers Stadium,0,0,2009,3
TLBest,West Indies,India,3,10,0,0,30.0,65,10,57,2,0,5.7,Sabina Park Kingston,0,0,2013,49
TLBest,West Indies,New Zealand,5,9,0,0,55.55555555555556,63,10,58,2,0,5.8,Warner Park Basseterre,0,0,2012,53
TLBest,West Indies,Australia,1,3,0,0,33.33333333333333,61,10,44,2,0,4.4,Sydney Cricket Ground,0,0,2013,49
TLBest,West Indies,Pakistan,0,0,0,0,0,61,10,48,3,4,4.8,Beausejour Stadium Gros Islet,0,0,2013,111
TLBest,West Indies,Australia,0,3,0,0,0.0,64,10,77,2,1,7.7,Melbourne Cricket Ground,0,0,2013,50
TLBest,West Indies,Zimbabwe,0,0,0,0,0,64,10,38,1,1,3.8,National Cricket Stadium St George's,0,0,2013,39
TLBest,West Indies,South Africa,0,0,0,0,0,31,5,35,0,0,7.0,Sophia Gardens,0,0,2013,0
TLBest,West Indies,New Zealand,3,6,0,0,50.0,63,10,52,4,1,5.2,Warner Park Basseterre,0,0,2012,117
TLBest,West Indies,India,0,0,0,0,0,64,10,56,2,0,5.6,Queen's Park Oval Port of Spain,0,0,2013,52
