Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
TPVisee,Netherlands,Zimbabwe,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Hazelaarweg,0,0,2019,-5
TPVisee,Netherlands,Papua New Guinea,12,8,1,1,150.0,0,0,0,0,0,0,ICC Academy,0,0,2019,15
TPVisee,Netherlands,Singapore,5,5,1,0,100.0,0,0,0,0,0,0,ICC Academy,0,0,2019,6
TPVisee,Netherlands,Oman,11,10,2,0,110.00000000000001,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),0,0,2019,13
TPVisee,Netherlands,Ireland,9,5,1,0,180.0,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),0,0,2019,10
TPVisee,Netherlands,Hong Kong,0,1,0,0,0.0,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2017,-8
TPVisee,Netherlands,Scotland,0,2,0,0,0.0,0,0,0,0,0,0,The Village Malahide,0,0,2019,-8
TPVisee,Netherlands,Namibia,9,14,1,0,64.28571428571429,0,0,0,0,0,0,ICC Academy,0,0,2019,8
TPVisee,Netherlands,Nepal,4,11,0,0,36.36363636363637,0,0,0,0,0,0,VRA Ground,0,0,2015,-2
TPVisee,Netherlands,Scotland,2,5,0,0,40.0,0,0,0,0,0,0,Dubai International Cricket Stadium,0,1,2019,4
TPVisee,Netherlands,Scotland,0,2,0,0,0.0,0,0,0,0,0,0,Sheikh Zayed Stadium,0,0,2017,-8
TPVisee,Netherlands,Scotland,27,22,4,1,122.72727272727273,0,0,0,0,0,0,The Village Malahide,0,0,2019,33
TPVisee,Netherlands,Hong Kong,68,44,9,3,154.54545454545453,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),0,1,2019,99
TPVisee,Netherlands,Zimbabwe,5,5,1,0,100.0,0,0,0,0,0,0,Hazelaarweg,0,0,2019,6
TPVisee,Netherlands,Kenya,20,11,1,2,181.8181818181818,0,0,0,0,0,0,ICC Academy,0,0,2019,25
TPVisee,Netherlands,Nepal,4,4,0,0,100.0,0,0,0,0,0,0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),0,1,2019,12
TPVisee,Netherlands,Zimbabwe,41,33,6,2,124.24242424242425,0,0,0,0,0,0,Sportpark Het Schootsveld,0,1,2019,59
