Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
TShamsi,South Africa,England,0,0,0,0,0,17,2,23,0,0,11.5,The Rose Bowl,0,0,2017,-6
TShamsi,South Africa,India,0,0,0,0,0,23,3,24,1,0,8.0,M.Chinnaswamy Stadium,0,0,2019,25
TShamsi,South Africa,England,0,0,0,0,0,17,2,24,0,0,12.0,County Ground,0,0,2017,-6
TShamsi,South Africa,India,0,0,0,0,0,18,3,19,1,0,6.333333333333333,Punjab Cricket Association IS Bindra Stadium Mohali,0,1,2019,33
TShamsi,South Africa,Australia,0,0,0,0,0,47,7,36,1,2,5.142857142857143,Providence Stadium,0,0,2016,43
TShamsi,South Africa,New Zealand,0,0,0,0,0,41,6,39,1,1,6.5,Seddon Park,0,0,2017,33
TShamsi,South Africa,West Indies,0,0,0,0,0,56,9,41,2,0,4.555555555555555,Warner Park Basseterre,0,1,2016,62
TShamsi,South Africa,Australia,0,0,0,0,0,60,10,36,3,1,3.6,St George's Park,0,0,2016,89
TShamsi,South Africa,India,0,0,0,0,0,54,9,55,0,0,6.111111111111111,The Rose Bowl,0,0,2019,0
TShamsi,South Africa,Sri Lanka,0,0,0,0,0,59,9,60,0,0,6.666666666666667,Newlands,0,0,2017,0
