Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
TTBresnan,England,South Africa,17,4,1,2,425.0,17,2,28,1,0,14.0,Zahur Ahmed Chowdhury Stadium,41
TTBresnan,England,West Indies,47,29,5,1,162.06896551724137,23,3,37,0,0,12.333333333333334,Kensington Oval Bridgetown,48
TTBresnan,England,West Indies,7,3,0,0,233.33333333333334,23,3,51,2,0,17.0,Kensington Oval Bridgetown,51
TTBresnan,England,South Africa,1,1,0,0,100.0,11,1,14,2,0,14.0,Edgbaston,51
TTBresnan,England,Netherlands,5,6,0,0,83.33333333333334,12,2,11,0,0,5.5,Zahur Ahmed Chowdhury Stadium,7
TTBresnan,England,Sri Lanka,0,0,0,0,0,27,4,41,1,0,10.25,Beausejour Stadium Gros Islet,21
TTBresnan,England,South Africa,17,4,1,2,425.0,17,2,28,1,0,14.0,Zahur Ahmed Chowdhury Stadium,41
TTBresnan,England,West Indies,47,29,5,1,162.06896551724137,23,3,37,0,0,12.333333333333334,Kensington Oval Bridgetown,48
TTBresnan,England,West Indies,7,3,0,0,233.33333333333334,23,3,51,2,0,17.0,Kensington Oval Bridgetown,51
TTBresnan,England,South Africa,1,1,0,0,100.0,11,1,14,2,0,14.0,Edgbaston,51
TTBresnan,England,Netherlands,5,6,0,0,83.33333333333334,12,2,11,0,0,5.5,Zahur Ahmed Chowdhury Stadium,7
TTBresnan,England,Sri Lanka,0,0,0,0,0,27,4,41,1,0,10.25,Beausejour Stadium Gros Islet,21
TTBresnan,England,South Africa,17,4,1,2,425.0,17,2,28,1,0,14.0,Zahur Ahmed Chowdhury Stadium,41
TTBresnan,England,West Indies,47,29,5,1,162.06896551724137,23,3,37,0,0,12.333333333333334,Kensington Oval Bridgetown,48
TTBresnan,England,West Indies,7,3,0,0,233.33333333333334,23,3,51,2,0,17.0,Kensington Oval Bridgetown,51
TTBresnan,England,South Africa,1,1,0,0,100.0,11,1,14,2,0,14.0,Edgbaston,51
TTBresnan,England,Netherlands,5,6,0,0,83.33333333333334,12,2,11,0,0,5.5,Zahur Ahmed Chowdhury Stadium,7
TTBresnan,England,Sri Lanka,0,0,0,0,0,27,4,41,1,0,10.25,Beausejour Stadium Gros Islet,21
TTBresnan,England,Pakistan,0,0,0,0,0,23,3,30,2,0,10.0,Dubai International Cricket Stadium,48
TTBresnan,England,India,0,1,0,0,0.0,18,3,26,2,0,8.666666666666666,Subrata Roy Sahara Stadium,42
TTBresnan,England,South Africa,3,3,0,0,100.0,11,1,25,0,0,25.0,New Wanderers Stadium,3
TTBresnan,England,Sri Lanka,0,0,0,0,0,23,3,48,0,0,16.0,Zahur Ahmed Chowdhury Stadium,-6
TTBresnan,England,Pakistan,0,0,0,0,0,28,4,36,1,0,9.0,Kensington Oval Bridgetown,25
TTBresnan,England,South Africa,0,3,0,0,0.0,23,3,48,0,0,16.0,SuperSport Park,-14
TTBresnan,England,West Indies,2,4,0,0,50.0,18,3,12,0,0,4.0,Kennington Oval,2
TTBresnan,England,New Zealand,23,11,3,0,209.0909090909091,23,3,22,1,0,7.333333333333333,Beausejour Stadium Gros Islet,51
TTBresnan,England,Ireland,5,6,1,0,83.33333333333334,12,2,5,0,0,2.5,Providence Stadium,12
TTBresnan,England,Pakistan,0,0,0,0,0,21,3,10,3,0,3.3333333333333335,Sophia Gardens,81
TTBresnan,England,India,1,8,0,0,12.5,24,4,35,0,0,8.75,R Premadasa Stadium,-5
TTBresnan,England,South Africa,13,13,1,0,100.0,17,2,14,0,0,7.0,Kensington Oval Bridgetown,14
TTBresnan,England,New Zealand,0,0,0,0,0,24,4,30,0,0,7.5,Pallekele International Cricket Stadium,0
TTBresnan,England,New Zealand,17,8,2,1,212.5,5,0,10,0,0,0,Zahur Ahmed Chowdhury Stadium,21
TTBresnan,England,West Indies,0,0,0,0,0,12,2,26,0,0,13.0,Kennington Oval,-6
TTBresnan,England,Pakistan,0,1,0,0,0.0,18,3,25,0,0,8.333333333333334,Dubai International Cricket Stadium,-8
TTBresnan,England,India,0,0,0,0,0,25,4,35,1,0,8.75,Old Trafford,25
TTBresnan,England,India,0,0,0,0,0,24,4,28,1,0,7.0,Wankhede Stadium,25
TTBresnan,England,Australia,0,0,0,0,0,24,4,36,0,0,9.0,Kensington Oval Bridgetown,0
TTBresnan,England,Australia,11,11,0,0,100.0,23,3,30,1,0,10.0,Adelaide Oval,34
TTBresnan,England,West Indies,0,0,0,0,0,7,1,7,0,0,7.0,Providence Stadium,0
TTBresnan,England,Australia,18,19,1,0,94.73684210526315,18,3,11,1,0,3.6666666666666665,Melbourne Cricket Ground,50
TTBresnan,England,Australia,15,13,0,0,115.38461538461537,23,3,29,1,0,9.666666666666666,Melbourne Cricket Ground,38
TTBresnan,England,India,0,0,0,0,0,23,3,19,2,1,6.333333333333333,Eden Gardens,58
TTBresnan,England,Australia,11,15,0,0,73.33333333333333,25,4,40,0,0,10.0,Bellerive Oval,9
TTBresnan,England,Pakistan,0,0,0,0,0,17,2,18,1,0,9.0,Sophia Gardens,25
TTBresnan,England,Sri Lanka,6,6,0,0,100.0,14,2,20,0,0,10.0,The Rose Bowl,4
TTBresnan,England,Australia,14,7,1,1,200.0,23,3,42,1,0,14.0,Stadium Australia,36
TTBresnan,England,South Africa,17,4,1,2,425.0,17,2,28,1,0,14.0,Zahur Ahmed Chowdhury Stadium,41
TTBresnan,England,West Indies,47,29,5,1,162.06896551724137,23,3,37,0,0,12.333333333333334,Kensington Oval Bridgetown,48
TTBresnan,England,West Indies,7,3,0,0,233.33333333333334,23,3,51,2,0,17.0,Kensington Oval Bridgetown,51
TTBresnan,England,South Africa,1,1,0,0,100.0,11,1,14,2,0,14.0,Edgbaston,51
TTBresnan,England,Netherlands,5,6,0,0,83.33333333333334,12,2,11,0,0,5.5,Zahur Ahmed Chowdhury Stadium,7
TTBresnan,England,Sri Lanka,0,0,0,0,0,27,4,41,1,0,10.25,Beausejour Stadium Gros Islet,21
TTBresnan,England,Pakistan,0,0,0,0,0,23,3,30,2,0,10.0,Dubai International Cricket Stadium,48
TTBresnan,England,India,0,1,0,0,0.0,18,3,26,2,0,8.666666666666666,Subrata Roy Sahara Stadium,42
TTBresnan,England,South Africa,3,3,0,0,100.0,11,1,25,0,0,25.0,New Wanderers Stadium,3
