Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
UmarGul,Pakistan,Bangladesh,0,0,0,0,0,19,3,19,0,0,6.333333333333333,National Stadium,0,1,2008,8
UmarGul,Pakistan,India,0,0,0,0,0,17,2,21,3,0,10.5,M Chinnaswamy Stadium,0,0,2012,71
UmarGul,Pakistan,Sri Lanka,2,7,0,0,28.57142857142857,19,3,26,1,0,8.666666666666666,R Premadasa Stadium,0,0,2012,21
UmarGul,Pakistan,New Zealand,1,1,0,0,100.0,23,3,38,2,0,12.666666666666666,Eden Park,0,0,2016,45
UmarGul,Pakistan,Australia,0,0,0,0,0,11,1,11,0,0,11.0,R Premadasa Stadium,0,0,2012,0
UmarGul,Pakistan,South Africa,1,4,0,0,25.0,13,2,6,5,0,3.0,SuperSport Park,0,0,2013,142
UmarGul,Pakistan,Sri Lanka,0,0,0,0,0,18,3,14,4,0,4.666666666666667,Maple Leaf North-West Ground,0,0,2008,112
UmarGul,Pakistan,India,12,10,1,1,120.0,19,3,30,0,0,10.0,R Premadasa Stadium,0,1,2012,21
UmarGul,Pakistan,South Africa,0,5,0,0,0.0,19,3,17,0,0,5.666666666666667,Sheikh Zayed Stadium,0,0,2010,-6
UmarGul,Pakistan,England,0,0,0,0,0,23,3,19,3,0,6.333333333333333,Dubai International Cricket Stadium,0,0,2012,75
UmarGul,Pakistan,Netherlands,0,0,0,0,0,15,2,14,1,0,7.0,Lord's,0,0,2009,25
UmarGul,Pakistan,Australia,0,0,0,0,0,23,3,29,2,0,9.666666666666666,Shere Bangla National Stadium,0,0,2014,48
UmarGul,Pakistan,South Africa,0,0,0,0,0,18,3,22,0,0,7.333333333333333,Trent Bridge,0,0,2009,0
UmarGul,Pakistan,New Zealand,30,33,3,1,90.9090909090909,12,2,20,0,0,10.0,Eden Park,0,0,2010,33
UmarGul,Pakistan,England,1,2,0,0,50.0,20,3,41,0,0,13.666666666666666,Dubai International Cricket Stadium,0,0,2010,-9
UmarGul,Pakistan,England,0,0,0,0,0,12,2,17,1,0,8.5,Sophia Gardens,0,0,2010,25
UmarGul,Pakistan,Ireland,0,0,0,0,0,25,4,21,2,0,5.25,Kennington Oval,1,0,2009,64
UmarGul,Pakistan,Sri Lanka,5,11,0,0,45.45454545454545,25,4,44,0,0,11.0,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,0,2,2012,11
UmarGul,Pakistan,Australia,0,0,0,0,0,23,3,20,1,0,6.666666666666667,Dubai International Cricket Stadium,0,0,2012,25
UmarGul,Pakistan,West Indies,4,7,0,0,57.14285714285714,12,2,29,0,0,14.5,Shere Bangla National Stadium,1,0,2014,6
UmarGul,Pakistan,New Zealand,0,2,0,0,0.0,24,4,24,2,0,6.0,Dubai International Cricket Stadium,0,0,2014,42
UmarGul,Pakistan,Kenya,0,0,0,0,0,18,3,8,0,1,2.6666666666666665,Gymkhana Club Ground,0,0,2007,14
UmarGul,Pakistan,Sri Lanka,0,0,0,0,0,26,4,30,1,0,7.5,Lord's,0,0,2009,25
UmarGul,Pakistan,New Zealand,0,0,0,0,0,11,1,17,0,0,17.0,Dubai International Cricket Stadium,0,2,2009,16
UmarGul,Pakistan,South Africa,32,18,2,3,177.77777777777777,11,1,19,1,0,19.0,R Premadasa Stadium,0,0,2012,65
UmarGul,Pakistan,Australia,0,0,0,0,0,24,4,8,4,1,2.0,Dubai International Cricket Stadium,0,1,2009,130
UmarGul,Pakistan,India,0,0,0,0,0,21,3,35,1,0,11.666666666666666,Shere Bangla National Stadium,0,0,2014,19
UmarGul,Pakistan,England,10,4,1,1,250.0,23,3,32,2,0,10.666666666666666,Dubai International Cricket Stadium,0,2,2012,75
UmarGul,Pakistan,Australia,0,0,0,0,0,23,3,29,0,0,9.666666666666666,New Wanderers Stadium,0,0,2007,-2
UmarGul,Pakistan,Bangladesh,0,0,0,0,0,24,4,31,3,0,7.75,Shere Bangla National Stadium,0,0,2014,75
UmarGul,Pakistan,Sri Lanka,9,4,0,1,225.0,25,4,34,2,0,8.5,Lord's,0,0,2009,61
UmarGul,Pakistan,South Africa,0,1,0,0,0.0,22,3,32,0,0,10.666666666666666,Sheikh Zayed Stadium,0,0,2010,-12
UmarGul,Pakistan,England,0,0,0,0,0,26,4,43,1,0,10.75,Dubai International Cricket Stadium,0,0,2010,21
UmarGul,Pakistan,England,0,0,0,0,0,26,4,39,0,0,9.75,Sheikh Zayed Stadium,0,0,2012,-2
UmarGul,Pakistan,Australia,0,1,0,0,0.0,22,3,36,1,0,12.0,Edgbaston,1,1,2010,31
UmarGul,Pakistan,Bangladesh,0,0,0,0,0,22,3,18,1,0,6.0,Newlands,1,0,2007,37
UmarGul,Pakistan,Australia,10,9,0,0,111.11111111111111,22,3,20,3,0,6.666666666666667,Melbourne Cricket Ground,0,0,2010,85
UmarGul,Pakistan,India,0,0,0,0,0,24,4,28,0,0,7.0,Kingsmead,0,0,2007,0
UmarGul,Pakistan,England,8,6,0,0,133.33333333333331,26,4,39,2,0,9.75,Kennington Oval,0,1,2009,64
UmarGul,Pakistan,New Zealand,0,0,0,0,0,23,3,15,3,0,5.0,Newlands,0,0,2007,77
UmarGul,Pakistan,New Zealand,0,0,0,0,0,12,2,19,0,0,9.5,Seddon Park,0,0,2016,-2
UmarGul,Pakistan,England,16,15,1,1,106.66666666666667,13,2,23,0,0,11.5,Sophia Gardens,0,0,2010,13
UmarGul,Pakistan,Bangladesh,4,3,1,0,133.33333333333331,13,2,7,1,0,3.5,Shere Bangla National Stadium,0,0,2011,36
UmarGul,Pakistan,Bangladesh,0,0,0,0,0,11,1,23,1,0,23.0,Shere Bangla National Stadium,0,0,2015,25
UmarGul,Pakistan,Sri Lanka,2,1,0,0,200.0,21,3,29,1,0,9.666666666666666,Maple Leaf North-West Ground,0,0,2008,25
UmarGul,Pakistan,Bangladesh,0,0,0,0,0,18,3,43,0,0,14.333333333333334,Pallekele International Cricket Stadium,0,0,2012,-6
UmarGul,Pakistan,New Zealand,0,0,0,0,0,24,4,42,1,0,10.5,Pallekele International Cricket Stadium,0,1,2012,29
UmarGul,Pakistan,Sri Lanka,0,0,0,0,0,24,4,14,2,0,3.5,New Wanderers Stadium,0,1,2007,64
UmarGul,Pakistan,Australia,3,6,0,0,50.0,23,3,30,2,0,10.0,Dubai International Cricket Stadium,0,1,2012,55
UmarGul,Pakistan,Sri Lanka,0,0,0,0,0,18,3,16,2,0,5.333333333333333,Sheikh Zayed Stadium,0,0,2011,52
UmarGul,Pakistan,India,5,6,1,0,83.33333333333334,24,4,41,4,0,10.25,Sardar Patel Stadium Motera,0,0,2012,110
