Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
VKohli,India,West Indies,16,9,3,0,177.77777777777777,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,0,0,2016,19
VKohli,India,England,40,32,6,0,125.0,0,0,0,0,0,0,R Premadasa Stadium,0,1,2012,54
VKohli,India,Pakistan,9,11,1,0,81.81818181818183,11,1,21,0,0,21.0,M Chinnaswamy Stadium,0,0,2012,10
VKohli,India,West Indies,39,25,6,1,156.0,0,0,0,0,0,0,Sabina Park Kingston,0,0,2017,47
VKohli,India,England,29,27,4,0,107.40740740740742,0,0,0,0,0,0,Green Park,0,0,2017,33
VKohli,India,Sri Lanka,56,47,7,0,119.14893617021276,0,0,0,0,0,0,Shere Bangla National Stadium,1,0,2016,83
VKohli,India,England,15,16,3,0,93.75,15,2,14,1,0,7.0,Eden Gardens,0,0,2011,43
VKohli,India,Bangladesh,41,28,5,0,146.42857142857142,0,0,0,0,0,0,Shere Bangla National Stadium,1,1,2016,66
VKohli,India,Australia,82,52,9,2,157.69230769230768,0,0,0,0,0,0,Punjab Cricket Association IS Bindra Stadium Mohali,0,1,2016,111
VKohli,India,New Zealand,70,41,10,1,170.73170731707316,17,2,27,0,0,13.5,MA Chidambaram Stadium Chepauk,0,0,2012,84
VKohli,India,Pakistan,78,61,8,2,127.86885245901641,18,3,22,1,0,7.333333333333333,R Premadasa Stadium,0,0,2012,123
VKohli,India,Australia,59,33,7,1,178.78787878787878,0,0,0,0,0,0,Melbourne Cricket Ground,0,0,2016,76
VKohli,India,England,21,15,2,1,140.0,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2017,25
VKohli,India,West Indies,28,23,1,1,121.73913043478262,0,0,0,0,0,0,Central Broward Regional Park Stadium Turf Ground,0,0,2019,31
VKohli,India,Australia,31,25,3,0,124.0,5,0,7,0,0,0,Melbourne Cricket Ground,0,0,2012,34
VKohli,India,England,21,18,2,0,116.66666666666667,5,0,10,0,0,0,Subrata Roy Sahara Stadium,0,1,2012,31
VKohli,India,South Africa,9,15,0,0,60.0,0,0,0,0,0,0,M.Chinnaswamy Stadium,0,1,2019,15
VKohli,India,Pakistan,49,52,7,0,94.23076923076923,0,0,0,0,0,0,Shere Bangla National Stadium,1,0,2016,68
VKohli,India,Australia,15,13,1,0,115.38461538461537,5,0,10,0,0,0,R Premadasa Stadium,0,0,2012,16
VKohli,India,West Indies,59,45,6,0,131.11111111111111,0,0,0,0,0,0,Providence Stadium Guyana,0,0,2019,73
VKohli,India,South Africa,0,0,0,0,0,5,0,15,0,0,0,New Wanderers Stadium,0,0,2012,0
VKohli,India,Bangladesh,24,24,0,1,100.0,0,0,0,0,0,0,M Chinnaswamy Stadium,0,1,2016,34
VKohli,India,Pakistan,36,34,4,1,105.88235294117648,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2014,42
