Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
WIAFernando,Sri Lanka,New Zealand,37,25,3,1,148.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,42
WIAFernando,Sri Lanka,Pakistan,33,34,3,0,97.05882352941177,0,0,0,0,0,0,Gaddafi Stadium,36
WIAFernando,Sri Lanka,New Zealand,10,17,0,0,58.82352941176471,0,0,0,0,0,0,Pallekele International Cricket Stadium,6
WIAFernando,Sri Lanka,New Zealand,6,12,1,0,50.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,3
WIAFernando,Sri Lanka,Pakistan,8,10,1,0,80.0,0,0,0,0,0,0,Gaddafi Stadium,9
WIAFernando,Sri Lanka,Pakistan,8,10,1,0,80.0,0,0,0,0,0,0,Gaddafi Stadium,9
WIAFernando,Sri Lanka,New Zealand,10,17,0,0,58.82352941176471,0,0,0,0,0,0,Pallekele International Cricket Stadium,6
WIAFernando,Sri Lanka,Pakistan,33,34,3,0,97.05882352941177,0,0,0,0,0,0,Gaddafi Stadium,36
WIAFernando,Sri Lanka,New Zealand,37,25,3,1,148.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,42
WIAFernando,Sri Lanka,New Zealand,6,12,1,0,50.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,3
WIAFernando,Sri Lanka,Pakistan,8,10,1,0,80.0,0,0,0,0,0,0,Gaddafi Stadium,9
WIAFernando,Sri Lanka,New Zealand,10,17,0,0,58.82352941176471,0,0,0,0,0,0,Pallekele International Cricket Stadium,6
WIAFernando,Sri Lanka,Pakistan,33,34,3,0,97.05882352941177,0,0,0,0,0,0,Gaddafi Stadium,36
WIAFernando,Sri Lanka,New Zealand,37,25,3,1,148.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,42
WIAFernando,Sri Lanka,New Zealand,6,12,1,0,50.0,0,0,0,0,0,0,Pallekele International Cricket Stadium,3
WIAFernando,Sri Lanka,Pakistan,8,10,1,0,80.0,0,0,0,0,0,0,Gaddafi Stadium,9
WIAFernando,Sri Lanka,Pakistan,8,10,1,0,80.0,0,0,0,0,0,0,Gaddafi Stadium,9
WIAFernando,Sri Lanka,Pakistan,8,10,1,0,80.0,0,0,0,0,0,0,Gaddafi Stadium,9
WIAFernando,Sri Lanka,Pakistan,8,10,1,0,80.0,0,0,0,0,0,0,Gaddafi Stadium,9
WIAFernando,Sri Lanka,New Zealand,10,17,0,0,58.82352941176471,0,0,0,0,0,0,Pallekele International Cricket Stadium,6
