Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
ZeeshanMaqsood,Oman,Ireland,7,10,1,0,70.0,11,1,23,0,0,23.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),8
ZeeshanMaqsood,Oman,Hong Kong,15,18,3,0,83.33333333333334,23,3,14,1,0,4.666666666666667,Sheikh Zayed Stadium,47
ZeeshanMaqsood,Oman,Bangladesh,0,3,0,0,0.0,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,-8
ZeeshanMaqsood,Oman,Canada,6,7,1,0,85.71428571428571,23,3,25,3,0,8.333333333333334,Sheikh Zayed Stadium,82
ZeeshanMaqsood,Oman,Hong Kong,24,28,4,0,85.71428571428571,5,0,7,0,0,0,Sheikh Zayed Stadium,28
ZeeshanMaqsood,Oman,Ireland,7,10,1,0,70.0,11,1,23,0,0,23.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),8
ZeeshanMaqsood,Oman,Hong Kong,15,18,3,0,83.33333333333334,23,3,14,1,0,4.666666666666667,Sheikh Zayed Stadium,47
ZeeshanMaqsood,Oman,Bangladesh,0,3,0,0,0.0,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,-8
ZeeshanMaqsood,Oman,Canada,6,7,1,0,85.71428571428571,23,3,25,3,0,8.333333333333334,Sheikh Zayed Stadium,82
ZeeshanMaqsood,Oman,Hong Kong,24,28,4,0,85.71428571428571,5,0,7,0,0,0,Sheikh Zayed Stadium,28
ZeeshanMaqsood,Oman,Ireland,7,10,1,0,70.0,11,1,23,0,0,23.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),8
ZeeshanMaqsood,Oman,Hong Kong,15,18,3,0,83.33333333333334,23,3,14,1,0,4.666666666666667,Sheikh Zayed Stadium,47
ZeeshanMaqsood,Oman,Bangladesh,0,3,0,0,0.0,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,-8
ZeeshanMaqsood,Oman,Canada,6,7,1,0,85.71428571428571,23,3,25,3,0,8.333333333333334,Sheikh Zayed Stadium,82
ZeeshanMaqsood,Oman,Hong Kong,24,28,4,0,85.71428571428571,5,0,7,0,0,0,Sheikh Zayed Stadium,28
ZeeshanMaqsood,Oman,Afghanistan,24,15,4,1,160.0,23,3,20,2,0,6.666666666666667,Sheikh Zayed Stadium,80
ZeeshanMaqsood,Oman,Nigeria,0,0,0,0,0,23,3,14,0,0,4.666666666666667,Tolerance Oval,4
ZeeshanMaqsood,Oman,Ireland,38,33,6,0,115.15151515151516,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,44
ZeeshanMaqsood,Oman,Scotland,17,23,3,0,73.91304347826086,23,3,22,1,0,7.333333333333333,Dubai International Cricket Stadium,45
ZeeshanMaqsood,Oman,Jersey,56,47,6,0,119.14893617021276,23,3,29,1,0,9.666666666666666,Sheikh Zayed Stadium,93
ZeeshanMaqsood,Oman,Afghanistan,52,43,5,2,120.93023255813952,0,0,0,0,0,0,Khan Shaheb Osman Ali Stadium,69
ZeeshanMaqsood,Oman,Netherlands,34,31,4,0,109.6774193548387,23,3,19,0,0,6.333333333333333,Sheikh Zayed Stadium,38
ZeeshanMaqsood,Oman,Hong Kong,23,16,5,0,143.75,11,1,23,0,0,23.0,Sheikh Zayed Stadium,28
ZeeshanMaqsood,Oman,Ireland,3,5,0,0,60.0,11,1,23,0,0,23.0,Tolerance Oval,1
ZeeshanMaqsood,Oman,Hong Kong,17,13,1,1,130.76923076923077,23,3,54,1,0,18.0,Khan Shaheb Osman Ali Stadium,39
ZeeshanMaqsood,Oman,Afghanistan,33,41,2,1,80.48780487804879,23,3,13,0,0,4.333333333333333,Dubai International Cricket Stadium,41
ZeeshanMaqsood,Oman,United Arab Emirates,46,44,5,1,104.54545454545455,11,1,18,0,0,18.0,Shere Bangla National Stadium,53
ZeeshanMaqsood,Oman,United Arab Emirates,16,16,1,1,100.0,0,0,0,0,0,0,Sheikh Zayed Stadium,19
ZeeshanMaqsood,Oman,Netherlands,0,0,0,0,0,17,2,7,4,1,3.5,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),122
ZeeshanMaqsood,Oman,United Arab Emirates,44,35,7,0,125.71428571428571,11,1,24,1,0,24.0,Sheikh Zayed Stadium,76
ZeeshanMaqsood,Oman,Afghanistan,6,4,0,1,150.0,0,0,0,0,0,0,Clontarf Cricket Club Ground,8
ZeeshanMaqsood,Oman,Hong Kong,0,2,0,0,0.0,23,3,22,3,0,7.333333333333333,Sheikh Zayed Stadium,67
ZeeshanMaqsood,Oman,Ireland,7,10,1,0,70.0,11,1,23,0,0,23.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),8
ZeeshanMaqsood,Oman,Hong Kong,15,18,3,0,83.33333333333334,23,3,14,1,0,4.666666666666667,Sheikh Zayed Stadium,47
ZeeshanMaqsood,Oman,Bangladesh,0,3,0,0,0.0,0,0,0,0,0,0,Himachal Pradesh Cricket Association Stadium,-8
ZeeshanMaqsood,Oman,Canada,6,7,1,0,85.71428571428571,23,3,25,3,0,8.333333333333334,Sheikh Zayed Stadium,82
ZeeshanMaqsood,Oman,Hong Kong,24,28,4,0,85.71428571428571,5,0,7,0,0,0,Sheikh Zayed Stadium,28
ZeeshanMaqsood,Oman,Afghanistan,24,15,4,1,160.0,23,3,20,2,0,6.666666666666667,Sheikh Zayed Stadium,80
