Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,Total Score
ADMathews,Sri Lanka,West Indies,12,5,1,1,240.0,23,3,16,3,0,5.333333333333333,Kennington Oval,92
ADMathews,Sri Lanka,United Arab Emirates,8,9,0,0,88.88888888888889,22,3,25,0,0,8.333333333333334,Shere Bangla National Stadium,8
ADMathews,Sri Lanka,Bangladesh,11,11,0,0,100.0,0,0,0,0,0,0,Zahur Ahmed Chowdhury Stadium,11
ADMathews,Sri Lanka,New Zealand,27,33,1,1,81.81818181818183,17,2,17,1,0,8.5,Central Broward Regional Park Stadium Turf Ground,55
ADMathews,Sri Lanka,Pakistan,10,6,1,0,166.66666666666669,23,3,27,2,0,9.0,R Premadasa Stadium,61
ADMathews,Sri Lanka,India,15,4,0,2,375.0,24,4,30,2,0,7.5,Vidarbha Cricket Association Stadium Jamtha,69
ADMathews,Sri Lanka,Australia,35,27,3,1,129.62962962962962,24,4,40,0,0,10.0,Stadium Australia,38
ADMathews,Sri Lanka,New Zealand,6,4,0,0,150.0,0,0,0,0,0,0,Trent Bridge,6
ADMathews,Sri Lanka,India,18,19,3,0,94.73684210526315,17,2,16,0,0,8.0,Shere Bangla National Stadium,21
ADMathews,Sri Lanka,Australia,8,4,1,0,200.0,23,3,25,2,0,8.333333333333334,Kensington Oval Bridgetown,59
ADMathews,Sri Lanka,South Africa,6,8,0,0,75.0,13,2,29,0,0,14.5,SuperSport Park,0
ADMathews,Sri Lanka,South Africa,1,3,0,0,33.33333333333333,23,3,32,0,0,10.666666666666666,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,-9
ADMathews,Sri Lanka,Zimbabwe,0,0,0,0,0,12,2,9,0,0,4.5,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,4
ADMathews,Sri Lanka,West Indies,0,0,0,0,0,23,3,32,1,0,10.666666666666666,Pallekele International Cricket Stadium,21
ADMathews,Sri Lanka,England,58,49,3,1,118.36734693877551,5,0,14,0,0,0,Beausejour Stadium Gros Islet,71
