Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
AShahzad,England,Australia,0,3,0,0,0.0,24,4,25,0,0,6.25,Adelaide Oval,0,1,2011,0
AShahzad,England,Australia,0,0,0,0,0,17,2,34,1,0,17.0,Melbourne Cricket Ground,0,0,2011,19
AShahzad,England,Pakistan,0,0,0,0,0,23,3,42,2,0,14.0,Dubai International Cricket Stadium,0,0,2010,44
AShahzad,England,Bangladesh,0,0,0,0,0,56,9,55,1,0,6.111111111111111,Zohur Ahmed Chowdhury Stadium,0,1,2010,33
AShahzad,England,Bangladesh,1,3,0,0,33.33333333333333,64,10,44,3,1,4.4,Zahur Ahmed Chowdhury Stadium,0,0,2011,82
AShahzad,England,Bangladesh,5,9,0,0,55.55555555555556,61,10,42,3,1,4.2,County Ground,0,0,2010,88
AShahzad,England,Australia,9,24,0,1,37.5,51,8,48,0,1,6.0,Brisbane Cricket Ground Woolloongabba,0,0,2011,13
AShahzad,England,Australia,9,7,0,1,128.57142857142858,55,9,52,1,0,5.777777777777778,Melbourne Cricket Ground,0,2,2011,54
AShahzad,England,Australia,2,3,0,0,66.66666666666666,64,10,47,3,3,4.7,Bellerive Oval,0,1,2011,111
AShahzad,England,India,6,2,0,0,300.0,49,8,54,0,0,6.75,M Chinnaswamy Stadium,0,0,2011,6
AShahzad,England,Bangladesh,0,0,0,0,0,24,4,24,2,1,6.0,Edgbaston,0,0,2010,58
AShahzad,England,Australia,4,5,0,0,80.0,60,10,58,1,0,5.8,Adelaide Oval,0,0,2011,31
