Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
DJGSammy,West Indies,Sri Lanka,1,4,0,0,25.0,23,3,19,0,0,6.333333333333333,Kennington Oval,0,1,2009,3
DJGSammy,West Indies,England,30,10,2,3,300.0,5,0,17,0,0,0,Kensington Oval Bridgetown,0,1,2014,46
DJGSammy,West Indies,Australia,26,12,1,2,216.66666666666666,6,1,14,0,0,14.0,Sydney Cricket Ground,0,0,2010,31
DJGSammy,West Indies,Bangladesh,14,5,2,0,280.0,5,0,6,0,0,0,Shere Bangla National Stadium,0,1,2014,24
DJGSammy,West Indies,Australia,3,5,0,0,60.0,17,2,36,1,0,18.0,Bellerive Oval,0,0,2010,20
DJGSammy,West Indies,New Zealand,0,0,0,0,0,11,1,13,1,0,13.0,Central Broward Regional Park Stadium Turf Ground,1,0,2012,37
DJGSammy,West Indies,South Africa,8,9,0,0,88.88888888888889,0,0,0,0,0,0,Kingsmead,0,0,2015,8
DJGSammy,West Indies,Zimbabwe,19,14,2,1,135.71428571428572,11,1,13,0,0,13.0,Sir Vivian Richards Stadium North Sound,0,1,2013,31
DJGSammy,West Indies,England,0,0,0,0,0,23,3,19,1,0,6.333333333333333,Queen's Park Oval Port of Spain,0,0,2009,25
DJGSammy,West Indies,England,4,3,0,0,133.33333333333331,5,0,13,0,0,0,Pallekele International Cricket Stadium,0,0,2012,4
DJGSammy,West Indies,Sri Lanka,1,1,0,0,100.0,24,4,30,0,0,7.5,Pallekele International Cricket Stadium,0,0,2012,1
DJGSammy,West Indies,England,15,8,1,1,187.5,11,1,14,0,0,14.0,Kensington Oval Bridgetown,0,1,2014,26
DJGSammy,West Indies,South Africa,14,17,1,1,82.35294117647058,23,3,21,3,0,7.0,New Wanderers Stadium,0,0,2008,92
DJGSammy,West Indies,Zimbabwe,0,0,0,0,0,25,4,35,0,0,8.75,Sir Vivian Richards Stadium North Sound,0,0,2013,0
DJGSammy,West Indies,India,19,10,2,1,190.0,19,3,16,1,0,5.333333333333333,Kensington Oval Bridgetown,0,1,2010,58
DJGSammy,West Indies,Australia,12,7,1,1,171.42857142857142,11,1,15,0,0,15.0,R Premadasa Stadium,0,0,2012,15
DJGSammy,West Indies,Pakistan,42,20,5,2,210.0,0,0,0,0,0,0,Shere Bangla National Stadium,0,1,2014,59
DJGSammy,West Indies,South Africa,0,0,0,0,0,11,1,17,0,0,17.0,Newlands,0,1,2015,8
DJGSammy,West Indies,Pakistan,1,2,0,0,50.0,17,2,26,1,0,13.0,Beausejour Stadium Gros Islet,1,2,2011,44
DJGSammy,West Indies,Australia,0,1,0,0,0.0,5,0,3,0,0,0,Beausejour Stadium Gros Islet,0,1,2010,0
DJGSammy,West Indies,England,0,0,0,0,0,17,2,23,0,0,11.5,Trent Bridge,0,0,2012,-6
DJGSammy,West Indies,South Africa,0,1,0,0,0.0,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,1,2016,0
DJGSammy,West Indies,Pakistan,1,4,0,0,25.0,23,3,20,1,0,6.666666666666667,Arnos Vale Ground Kingstown,0,0,2013,20
DJGSammy,West Indies,Sri Lanka,12,7,1,0,171.42857142857142,11,1,18,0,0,18.0,R Premadasa Stadium,0,0,2015,13
DJGSammy,West Indies,Ireland,0,0,0,0,0,17,2,23,1,0,11.5,R Premadasa Stadium,0,0,2012,19
DJGSammy,West Indies,Afghanistan,6,10,0,0,60.0,11,1,17,1,0,17.0,Vidarbha Cricket Association Stadium Jamtha,0,1,2016,37
DJGSammy,West Indies,Australia,7,8,1,0,87.5,12,2,22,0,0,11.0,Beausejour Stadium Gros Islet,0,0,2012,4
DJGSammy,West Indies,England,2,3,0,0,66.66666666666666,5,0,14,0,0,0,Eden Gardens,0,0,2016,0
DJGSammy,West Indies,Bangladesh,6,2,0,0,300.0,24,4,33,2,0,8.25,Warner Park Basseterre,2,0,2009,80
DJGSammy,West Indies,England,0,0,0,0,0,24,4,22,2,0,5.5,Providence Stadium,0,0,2010,52
DJGSammy,West Indies,Ireland,7,8,1,0,87.5,17,2,17,0,0,8.5,Sabina Park Kingston,0,0,2014,8
DJGSammy,West Indies,South Africa,0,0,0,0,0,11,1,11,1,0,11.0,St George's Park,0,0,2007,25
DJGSammy,West Indies,England,0,0,0,0,0,5,0,12,0,0,0,Kensington Oval Bridgetown,0,0,2014,0
DJGSammy,West Indies,Ireland,30,17,2,2,176.47058823529412,21,3,9,3,0,3.0,Providence Stadium,0,4,2010,149
DJGSammy,West Indies,New Zealand,11,12,1,0,91.66666666666666,24,4,35,1,0,8.75,Pallekele International Cricket Stadium,0,0,2012,37
DJGSammy,West Indies,South Africa,17,36,1,0,47.22222222222222,11,1,11,0,0,11.0,Sir Vivian Richards Stadium North Sound,0,0,2010,12
DJGSammy,West Indies,England,5,6,0,0,83.33333333333334,17,2,20,0,0,10.0,Kennington Oval,0,0,2011,3
