Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
HMCMBandara,Sri Lanka,New Zealand,1,2,0,0,50.0,23,3,20,0,0,6.666666666666667,Eden Park,1,0,2006,9
HMCMBandara,Sri Lanka,India,0,0,0,0,0,24,4,32,3,0,8.0,R Premadasa Stadium,0,0,2009,75
HMCMBandara,Sri Lanka,New Zealand,4,4,0,0,100.0,11,1,20,0,0,20.0,R Premadasa Stadium,0,0,2009,4
HMCMBandara,Sri Lanka,New Zealand,7,9,0,0,77.77777777777779,24,4,25,1,0,6.25,R Premadasa Stadium,0,1,2009,40
HMCMBandara,Sri Lanka,South Africa,0,0,0,0,0,49,8,31,3,0,3.875,Brisbane Cricket Ground Woolloongabba,0,0,2006,81
HMCMBandara,Sri Lanka,Bangladesh,0,0,0,0,0,63,10,41,1,0,4.1,R Premadasa Stadium,0,0,2007,29
HMCMBandara,Sri Lanka,Bangladesh,3,3,0,0,100.0,60,10,56,1,0,5.6,Chittagong Divisional Stadium,0,1,2006,38
HMCMBandara,Sri Lanka,India,5,6,0,0,83.33333333333334,23,3,37,0,0,12.333333333333334,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,1,0,2007,11
HMCMBandara,Sri Lanka,England,0,0,0,0,0,42,7,50,0,0,7.142857142857143,Headingley,0,0,2006,0
HMCMBandara,Sri Lanka,Pakistan,31,44,1,0,70.45454545454545,36,6,39,0,0,6.5,R Premadasa Stadium,0,0,2009,32
HMCMBandara,Sri Lanka,South Africa,0,0,0,0,0,54,9,31,4,0,3.4444444444444446,Bellerive Oval,0,0,2006,114
HMCMBandara,Sri Lanka,Australia,0,0,0,0,0,59,9,61,4,0,6.777777777777778,Sydney Cricket Ground,0,0,2006,108
HMCMBandara,Sri Lanka,Bangladesh,0,0,0,0,0,60,10,45,0,0,4.5,Shere Bangla National Stadium,0,1,2010,12
HMCMBandara,Sri Lanka,India,2,7,0,0,28.57142857142857,59,9,46,1,0,5.111111111111111,Nehru Stadium Fatorda,1,0,2007,35
HMCMBandara,Sri Lanka,Australia,0,6,0,0,0.0,30,5,37,0,0,7.4,Sydney Cricket Ground,0,0,2006,-8
HMCMBandara,Sri Lanka,Australia,0,0,0,0,0,59,9,51,1,0,5.666666666666667,Adelaide Oval,0,0,2006,27
HMCMBandara,Sri Lanka,Bangladesh,0,0,0,0,0,29,4,9,0,1,2.25,Shaheed Chandu Stadium,0,0,2006,14
HMCMBandara,Sri Lanka,Bangladesh,0,0,0,0,0,53,8,64,2,0,8.0,P Saravanamuttu Stadium,0,0,2007,50
HMCMBandara,Sri Lanka,South Africa,11,23,0,1,47.82608695652174,59,9,50,2,0,5.555555555555555,Western Australia Cricket Association Ground,0,0,2006,59
HMCMBandara,Sri Lanka,Australia,17,19,0,2,89.47368421052632,57,9,53,1,1,5.888888888888889,National Cricket Stadium St George's,0,0,2007,56
HMCMBandara,Sri Lanka,England,28,23,3,1,121.73913043478262,60,10,43,2,1,4.3,Old Trafford,0,1,2006,103
HMCMBandara,Sri Lanka,Bangladesh,18,23,2,0,78.26086956521739,47,7,42,1,1,6.0,Shaheed Chandu Stadium,0,1,2006,61
HMCMBandara,Sri Lanka,New Zealand,12,22,0,0,54.54545454545454,0,0,0,0,0,0,Westpac Stadium,0,0,2006,8
HMCMBandara,Sri Lanka,Pakistan,0,5,0,0,0.0,59,9,44,2,0,4.888888888888889,R Premadasa Stadium,0,0,2009,46
HMCMBandara,Sri Lanka,England,0,0,0,0,0,48,8,35,1,0,4.375,Riverside Ground,0,0,2006,29
HMCMBandara,Sri Lanka,South Africa,0,1,0,0,0.0,0,0,0,0,0,0,Adelaide Oval,0,0,2006,-8
HMCMBandara,Sri Lanka,India,3,3,0,0,100.0,60,10,37,2,0,3.7,Madhavrao Scindia Cricket Ground,0,0,2007,59
