Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
IJLTrott,England,Pakistan,4,11,0,0,36.36363636363637,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2010,-2
IJLTrott,England,Australia,0,5,0,0,0.0,0,0,0,0,0,0,Old Trafford,0,0,2009,-8
IJLTrott,England,Pakistan,39,51,3,0,76.47058823529412,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2010,42
IJLTrott,England,South Africa,33,27,5,0,122.22222222222223,0,0,0,0,0,0,New Wanderers Stadium,0,0,2009,38
IJLTrott,England,West Indies,9,9,0,0,100.0,0,0,0,0,0,0,Kennington Oval,0,0,2007,9
IJLTrott,England,West Indies,2,5,0,0,40.0,0,0,0,0,0,0,Kennington Oval,0,0,2007,-4
IJLTrott,England,South Africa,51,41,1,3,124.39024390243902,0,0,0,0,0,0,SuperSport Park,0,0,2009,66
IJLTrott,England,India,14,14,3,0,100.0,12,2,14,0,0,7.0,Riverside Ground,0,0,2011,17
IJLTrott,England,Australia,43,58,1,0,74.13793103448276,0,0,0,0,0,0,Edgbaston,0,0,2013,44
IJLTrott,England,India,23,27,4,0,85.18518518518519,0,0,0,0,0,0,Lord's,0,0,2011,27
IJLTrott,England,Australia,28,44,2,0,63.63636363636363,0,0,0,0,0,0,Edgbaston,0,0,2013,28
IJLTrott,England,South Africa,52,95,3,0,54.736842105263165,0,0,0,0,0,0,MA Chidambaram Stadium Chepauk,0,0,2011,59
IJLTrott,England,Australia,14,26,1,0,53.84615384615385,5,0,12,0,0,0,Western Australia Cricket Association Ground,0,0,2011,11
IJLTrott,England,West Indies,47,38,6,0,123.6842105263158,0,0,0,0,0,0,MA Chidambaram Stadium Chepauk,1,0,2011,65
IJLTrott,England,Pakistan,69,79,4,0,87.34177215189874,0,0,0,0,0,0,Riverside Ground,0,0,2010,81
IJLTrott,England,Netherlands,62,66,4,0,93.93939393939394,0,0,0,0,0,0,Vidarbha Cricket Association Stadium Jamtha,0,0,2011,74
IJLTrott,England,South Africa,52,79,7,0,65.82278481012658,0,0,0,0,0,0,St George's Park,0,0,2009,65
IJLTrott,England,Australia,10,21,2,0,47.61904761904761,0,0,0,0,0,0,Old Trafford,0,0,2012,6
IJLTrott,England,Pakistan,2,10,0,0,20.0,0,0,0,0,0,0,Kennington Oval,0,0,2010,-4
IJLTrott,England,India,34,37,7,0,91.8918918918919,0,0,0,0,0,0,Feroz Shah Kotla,0,0,2011,41
IJLTrott,England,Australia,54,72,3,0,75.0,0,0,0,0,0,0,Lord's,0,0,2012,65
IJLTrott,England,Australia,17,23,2,0,73.91304347826086,0,0,0,0,0,0,Kennington Oval,0,0,2012,19
IJLTrott,England,South Africa,71,127,2,0,55.90551181102362,0,0,0,0,0,0,Kennington Oval,0,0,2012,77
IJLTrott,England,Sri Lanka,2,13,0,0,15.384615384615385,0,0,0,0,0,0,Lord's,0,0,2011,-4
IJLTrott,England,New Zealand,37,53,4,0,69.81132075471697,0,0,0,0,0,0,Trent Bridge,0,1,2013,47
IJLTrott,England,Australia,137,128,11,0,107.03125,23,3,29,0,0,9.666666666666666,Sydney Cricket Ground,1,1,2011,182
IJLTrott,England,New Zealand,8,6,1,0,133.33333333333331,0,0,0,0,0,0,Sophia Gardens,0,1,2013,17
IJLTrott,England,New Zealand,38,44,4,0,86.36363636363636,0,0,0,0,0,0,Eden Park,0,0,2013,42
IJLTrott,England,India,20,18,2,0,111.11111111111111,0,0,0,0,0,0,Edgbaston,0,0,2013,22
IJLTrott,England,New Zealand,68,90,5,0,75.55555555555556,0,0,0,0,0,0,Seddon Park,0,0,2013,81
IJLTrott,England,South Africa,9,14,1,0,64.28571428571429,5,0,8,0,0,0,Newlands,0,1,2009,16
IJLTrott,England,Bangladesh,67,100,2,0,67.0,0,0,0,0,0,0,Zahur Ahmed Chowdhury Stadium,0,0,2011,75
IJLTrott,England,Sri Lanka,39,55,3,0,70.9090909090909,0,0,0,0,0,0,Headingley,0,0,2011,42
IJLTrott,England,New Zealand,109,105,5,1,103.80952380952382,0,0,0,0,0,0,The Rose Bowl,0,0,2013,132
IJLTrott,England,Pakistan,4,16,0,0,25.0,0,0,0,0,0,0,Lord's,0,1,2010,6
