Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
MohammadRizwan,Pakistan,England,24,24,3,0,100.0,0,0,0,0,0,0,Sharjah Cricket Stadium,1,0,2015,39
MohammadRizwan,Pakistan,Zimbabwe,6,7,0,0,85.71428571428571,0,0,0,0,0,0,Gaddafi Stadium,0,0,2015,6
MohammadRizwan,Pakistan,Zimbabwe,16,16,0,0,100.0,0,0,0,0,0,0,Harare Sports Club,0,0,2015,16
MohammadRizwan,Pakistan,Zimbabwe,33,32,1,1,103.125,0,0,0,0,0,0,Harare Sports Club,1,0,2015,48
MohammadRizwan,Pakistan,Sri Lanka,17,18,1,0,94.44444444444444,0,0,0,0,0,0,R Premadasa Stadium,1,0,2015,30
MohammadRizwan,Pakistan,New Zealand,4,4,1,0,100.0,0,0,0,0,0,0,Westpac Stadium,1,0,2016,17
MohammadRizwan,Pakistan,England,6,9,1,0,66.66666666666666,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2015,5
MohammadRizwan,Pakistan,England,34,34,4,0,100.0,0,0,0,0,0,0,Sophia Gardens,0,1,2016,46
MohammadRizwan,Pakistan,Sri Lanka,35,23,2,1,152.17391304347828,0,0,0,0,0,0,R Premadasa Stadium,0,0,2015,39
MohammadRizwan,Pakistan,Australia,14,19,1,0,73.68421052631578,0,0,0,0,0,0,Western Australia Cricket Association Ground,0,3,2017,39
MohammadRizwan,Pakistan,Australia,6,7,0,0,85.71428571428571,0,0,0,0,0,0,Adelaide Oval,1,0,2017,18
MohammadRizwan,Pakistan,Sri Lanka,20,34,2,0,58.82352941176471,0,0,0,0,0,0,Rangiri Dambulla International Stadium,0,3,2015,42
MohammadRizwan,Pakistan,Australia,10,12,1,0,83.33333333333334,0,0,0,0,0,0,Sydney Cricket Ground,0,2,2017,27
MohammadRizwan,Pakistan,West Indies,6,4,0,0,150.0,0,0,0,0,0,0,Sharjah Cricket Stadium,0,0,2016,6
MohammadRizwan,Pakistan,Zimbabwe,75,76,4,2,98.68421052631578,0,0,0,0,0,0,Harare Sports Club,0,1,2015,99
MohammadRizwan,Pakistan,England,6,14,0,0,42.857142857142854,0,0,0,0,0,0,Headingley,0,1,2016,8
MohammadRizwan,Pakistan,England,11,9,0,1,122.22222222222223,0,0,0,0,0,0,Dubai International Cricket Stadium,0,0,2015,13
MohammadRizwan,Pakistan,Sri Lanka,52,42,5,1,123.80952380952381,0,0,0,0,0,0,Pallekele International Cricket Stadium,0,0,2015,67
MohammadRizwan,Pakistan,Sri Lanka,29,34,3,0,85.29411764705883,0,0,0,0,0,0,Mahinda Rajapaksa International Cricket Stadium Sooriyawewa,0,1,2015,40
MohammadRizwan,Pakistan,West Indies,11,12,1,0,91.66666666666666,0,0,0,0,0,0,Sharjah Cricket Stadium,0,0,2016,12
MohammadRizwan,Pakistan,England,1,3,0,0,33.33333333333333,0,0,0,0,0,0,Sharjah Cricket Stadium,0,1,2015,3
MohammadRizwan,Pakistan,Bangladesh,13,23,1,0,56.52173913043478,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2015,10
MohammadRizwan,Pakistan,Australia,21,44,0,0,47.72727272727273,0,0,0,0,0,0,Brisbane Cricket Ground Woolloongabba,0,4,2017,47
MohammadRizwan,Pakistan,England,17,38,1,0,44.73684210526316,0,0,0,0,0,0,Sheikh Zayed Stadium,0,0,2015,12
MohammadRizwan,Pakistan,New Zealand,16,18,1,0,88.88888888888889,0,0,0,0,0,0,Eden Park,0,0,2016,17
MohammadRizwan,Pakistan,West Indies,4,3,0,0,133.33333333333331,0,0,0,0,0,0,Sheikh Zayed Stadium,1,0,2016,16
MohammadRizwan,Pakistan,Bangladesh,67,59,8,0,113.55932203389831,0,0,0,0,0,0,Shere Bangla National Stadium,0,1,2015,91
MohammadRizwan,Pakistan,Bangladesh,4,6,0,0,66.66666666666666,0,0,0,0,0,0,Shere Bangla National Stadium,0,0,2015,2
