Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
REvanderMerwe,Netherlands,Ireland,2,2,0,0,100.0,5,0,3,2,0,0,Himachal Pradesh Cricket Association Stadium,0,1,2016,60
REvanderMerwe,Netherlands,Zimbabwe,12,11,0,0,109.09090909090908,23,3,35,4,0,11.666666666666666,Hazelaarweg,1,1,2019,134
REvanderMerwe,Netherlands,Papua New Guinea,5,12,0,0,41.66666666666667,24,4,27,2,0,6.75,ICC Academy,0,0,2019,49
REvanderMerwe,South Africa,England,0,0,0,0,0,25,4,32,2,0,8.0,Trent Bridge,0,1,2009,58
REvanderMerwe,Netherlands,United Arab Emirates,0,0,0,0,0,23,3,10,2,1,3.3333333333333335,Grange Cricket Club Ground Raeburn Place,0,0,2015,64
REvanderMerwe,Netherlands,Scotland,24,18,0,2,133.33333333333331,23,3,22,2,0,7.333333333333333,Grange Cricket Club Ground Raeburn Place,0,2,2015,94
REvanderMerwe,South Africa,India,0,0,0,0,0,5,0,13,0,0,0,Beausejour Stadium Gros Islet,0,1,2010,8
REvanderMerwe,South Africa,India,0,0,0,0,0,23,3,15,1,0,5.0,Trent Bridge,0,0,2009,27
REvanderMerwe,Netherlands,Ireland,0,0,0,0,0,23,3,25,1,0,8.333333333333334,The Village Malahide,0,0,2015,25
REvanderMerwe,Netherlands,Singapore,19,14,2,0,135.71428571428572,24,4,22,3,0,5.5,ICC Academy,0,0,2019,98
REvanderMerwe,South Africa,Pakistan,0,0,0,0,0,23,3,29,1,0,9.666666666666666,Trent Bridge,0,1,2009,31
REvanderMerwe,Netherlands,Oman,0,1,0,0,0.0,18,3,13,0,0,4.333333333333333,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),0,0,2019,-4
REvanderMerwe,Netherlands,Ireland,22,20,1,0,110.00000000000001,17,2,32,0,0,16.0,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),0,1,2019,25
REvanderMerwe,Netherlands,Hong Kong,8,8,1,0,100.0,23,3,30,0,0,10.0,Dubai International Cricket Stadium,0,0,2017,7
