Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
RPBurl,Zimbabwe,Netherlands,23,15,2,1,153.33333333333334,23,3,24,1,0,8.0,Hazelaarweg,0,2,2019,68
RPBurl,Zimbabwe,Singapore,0,0,0,0,0,24,4,24,1,0,6.0,Indian Association Ground,0,0,2019,25
RPBurl,Zimbabwe,Afghanistan,0,0,0,0,0,5,0,13,0,0,0,Zahur Ahmed Chowdhury Stadium,0,1,2019,8
RPBurl,Zimbabwe,Afghanistan,25,26,0,2,96.15384615384616,5,0,4,0,0,0,Shere Bangla National Stadium Mirpur,0,2,2019,45
RPBurl,Zimbabwe,Nepal,28,24,1,1,116.66666666666667,12,2,8,1,0,4.0,Indian Association Ground,0,0,2019,60
RPBurl,Zimbabwe,Singapore,5,8,0,0,62.5,17,2,24,3,0,12.0,Indian Association Ground,1,0,2019,84
RPBurl,Zimbabwe,Bangladesh,1,3,0,0,33.33333333333333,5,0,13,1,0,0,Zahur Ahmed Chowdhury Stadium,0,0,2019,20
RPBurl,Zimbabwe,Nepal,41,37,3,2,110.8108108108108,11,1,19,1,0,19.0,Indian Association Ground,0,0,2019,73
RPBurl,Zimbabwe,Netherlands,4,4,0,0,100.0,23,3,39,1,0,13.0,Hazelaarweg,0,0,2019,23
RPBurl,Zimbabwe,Ireland,13,8,2,0,162.5,5,0,19,0,0,0,Bready Cricket Club Magheramason,0,0,2019,15
RPBurl,Zimbabwe,Bangladesh,57,34,5,4,167.64705882352942,18,3,27,1,0,9.0,Shere Bangla National Stadium Mirpur,0,1,2019,111
RPBurl,Zimbabwe,Sri Lanka,9,14,0,0,64.28571428571429,11,1,15,0,0,15.0,Galle International Stadium,0,0,2017,7
RPBurl,Zimbabwe,Ireland,49,44,3,4,111.36363636363636,23,3,27,0,0,9.0,Bready Cricket Club Magheramason,0,1,2019,68
RPBurl,Zimbabwe,Scotland,8,9,1,0,88.88888888888889,0,0,0,0,0,0,Grange Cricket Club Ground Raeburn Place,0,0,2017,9
RPBurl,Zimbabwe,Ireland,1,7,0,0,14.285714285714285,23,3,21,1,0,7.0,Civil Service Cricket Club Stormont,0,1,2019,28
RPBurl,Zimbabwe,Afghanistan,27,45,2,0,60.0,0,0,0,0,0,0,Harare Sports Club,0,0,2017,27
RPBurl,Zimbabwe,Afghanistan,3,9,0,0,33.33333333333333,0,0,0,0,0,0,Harare Sports Club,0,0,2017,-3
RPBurl,Zimbabwe,Afghanistan,28,46,3,0,60.86956521739131,0,0,0,0,0,0,Harare Sports Club,0,1,2017,37
RPBurl,Zimbabwe,Ireland,53,79,3,0,67.08860759493672,23,3,27,0,0,9.0,Civil Service Cricket Club Stormont,0,0,2019,62
RPBurl,Zimbabwe,Afghanistan,11,14,1,0,78.57142857142857,0,0,0,0,0,0,Harare Sports Club,0,1,2017,20
