Player name,Country,Opponent team,Runs Scored,Balls played,Four,Six,Strike Rate,Balls bowled,over,Runs Given,Wickets,Maiden Over,Economy,Venue,runout,catch,year,Total Score
WKMcCallan,Ireland,New Zealand,0,2,0,0,0.0,23,3,33,2,0,11.0,Trent Bridge,0,0,2009,38
WKMcCallan,Ireland,India,9,7,1,0,128.57142857142858,21,3,28,1,0,9.333333333333334,Trent Bridge,0,0,2009,33
WKMcCallan,Ireland,Kenya,0,0,0,0,0,1,0,0,0,0,0,Civil Service Cricket Club Stormont,0,1,2008,8
WKMcCallan,Ireland,Pakistan,2,6,0,0,33.33333333333333,23,3,26,2,0,8.666666666666666,Kennington Oval,0,1,2009,54
WKMcCallan,Ireland,Bangladesh,0,0,0,0,0,23,3,17,1,0,5.666666666666667,Trent Bridge,0,0,2009,27
WKMcCallan,Ireland,Sri Lanka,0,0,0,0,0,23,3,34,2,0,11.333333333333334,Lord's,0,0,2009,44
WKMcCallan,Ireland,Scotland,0,0,0,0,0,42,7,11,3,1,1.5714285714285714,Clontarf Cricket Club Ground,0,0,2008,89
WKMcCallan,Ireland,Pakistan,0,1,0,0,0.0,33,5,12,2,1,2.4,Sabina Park Kingston,0,0,2007,56
WKMcCallan,Ireland,Bangladesh,0,0,0,0,0,47,7,27,2,1,3.857142857142857,Kensington Oval Bridgetown,0,0,2007,64
WKMcCallan,Ireland,England,5,6,0,0,83.33333333333334,61,10,38,1,0,3.8,Providence Stadium,0,0,2007,36
WKMcCallan,Ireland,West Indies,20,24,2,0,83.33333333333334,60,10,35,1,2,3.5,Sabina Park Kingston,0,0,2007,69
WKMcCallan,Ireland,Zimbabwe,0,3,0,0,0.0,52,8,56,2,1,7.0,Sabina Park Kingston,1,0,2007,62
WKMcCallan,Ireland,Australia,5,19,0,0,26.31578947368421,5,0,5,0,0,0,Kensington Oval Bridgetown,0,0,2007,-1
WKMcCallan,Ireland,Sri Lanka,0,9,0,0,0.0,0,0,0,0,0,0,National Cricket Stadium St George's,0,0,2007,-8
WKMcCallan,Ireland,Zimbabwe,25,29,4,0,86.20689655172413,59,9,48,0,0,5.333333333333333,Gymkhana Club Ground,0,0,2008,31
WKMcCallan,Ireland,England,24,46,2,0,52.17391304347826,29,4,26,0,0,6.5,Civil Service Cricket Club Stormont,0,0,2006,22
WKMcCallan,Ireland,New Zealand,0,8,0,0,0.0,60,10,35,2,0,3.5,Providence Stadium,0,0,2007,48
WKMcCallan,Ireland,India,4,7,0,0,57.14285714285714,49,8,33,0,0,4.125,Civil Service Cricket Club Stormont,0,0,2007,4
WKMcCallan,Ireland,England,5,6,1,0,83.33333333333334,37,6,40,0,0,6.666666666666667,Civil Service Cricket Club Stormont,0,0,2009,6
